Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
EFAJOM,90.37,-3.1044,0.4028,1.8968,6.3715,12.4665,9.7592,1.9001,1.5862,0.08,15.2
EFUSIK,66.92,-2.6831,0.2276,2.1468,6.4594,12.5264,9.7866,1.9348,1.2356,0.0172,26.9
EGINEQ,88.95,-3.1016,0.506,2.2845,6.3341,12.4833,9.6766,1.9434,1.5369,0.0727,22.5
EHOQIE,80.54,-3.2902,0.2492,1.9805,6.4547,12.5252,9.7709,1.9053,1.277,0.0163,25.4
EHUJAT,82.5,-3.6911,0.3819,2.2284,6.3702,12.5127,9.7352,1.9042,1.5534,0.0871,13.1
EINACN10,82.46,-3.5175,0.325,2.1648,6.3929,12.5467,9.7354,1.9311,1.534,0.0895,19.4
EJEXAT,83.1,-2.9816,0.1571,2.1501,6.4337,12.6204,9.7888,1.9506,1.4127,0.012,30.5
EKEYOL,79.06,-3.6455,0.2115,2.0918,6.4674,12.5584,9.7627,1.9492,1.2744,0.0189,24.7
ELOJUM,81.89,-3.4231,0.3549,2.1386,6.38,12.505,9.7601,1.9266,1.4372,0.0189,11.6
EMAWUL,92.95,-3.3161,0.4748,2.1722,6.3264,12.4923,9.7066,1.9213,1.5561,0.0912,18.6
EMIKUG,78.15,-3.0413,0.1604,1.9634,6.4481,12.5652,9.8263,1.9388,1.4261,0.0164,27.4
EMOLEZ,78.02,-3.716,0.3114,1.9745,6.4973,12.4657,9.7256,1.9039,1.2644,0.0228,26.5
ENEBOQ,69.4,-3.2124,0.2419,1.8141,6.5553,12.4406,9.7622,1.955,1.7215,0.0362,28.2
EPYROA,79.26,-3.1393,0.2365,1.9172,6.4751,12.5076,9.7807,1.8933,1.5019,0.0839,28.8
EQIZUZ01,95.88,-2.5438,0.2436,1.9705,6.4028,12.5536,9.8,1.8985,1.3999,0.0191,24.2
EQUTAL,96.51,-2.6728,0.4068,2.161,6.3874,12.4712,9.7347,1.9727,1.5322,0.1067,27.1
ERAVAU,82.95,-2.9228,0.2708,2.0533,6.4102,12.5584,9.7606,1.9507,1.212,0.0225,22.2
EROGAU,83.27,-3.5266,0.3174,2.1381,6.3888,12.5531,9.7406,1.9403,1.2182,0.0181,16.3
ESASUO,76.94,-2.6514,0.1844,1.849,6.4946,12.5281,9.7928,1.9492,1.6623,0.0845,25
ESERUP,89.43,-2.9463,0.3963,1.7829,6.3822,12.4268,9.7946,1.9379,1.5746,0.0919,12.7
ETIGEV01,89.76,-3.3167,0.5203,2.3442,6.3313,12.4742,9.6742,1.9719,1.5074,0.0991,20.2
ETIGOD,83.61,-3.2655,0.4512,1.9459,6.3814,12.4108,9.7566,1.906,1.5719,0.059,13.7
EVAMEU,83.38,-3.6115,0.2834,2.3416,6.3966,12.5968,9.7232,1.9433,1.1523,0.0315,18.8
EVIQAB,53.49,-3.0055,0.2001,1.6663,6.6049,12.4095,9.7855,1.8908,1.2954,0.0154,26.8
EVOJIJ,89.96,-2.9077,0.4468,2.0853,6.3621,12.4623,9.7288,1.9591,1.5761,0.0856,20.3
EVOXOE,73.25,-3.2973,0.4372,1.7241,6.3048,12.4106,9.8474,1.9451,1.5709,0.0814,40.5
EVUYIF,92.03,-2.9514,0.4423,2.1446,6.3651,12.4687,9.7239,1.9685,1.5579,0.0906,20.3
EWEVIM02,63.83,-3.1263,0.4147,1.9979,6.4243,12.4152,9.7457,1.9189,1.452,0.0827,20.3
EWIREJ,87.48,-3.2698,0.5146,2.4688,6.3264,12.4967,9.6624,1.8935,1.7144,0.0703,28.3
EYIPUZ,88.61,-3.2875,0.4934,2.2828,6.3498,12.4607,9.696,1.9697,1.4648,0.1043,21.1
EZAFAM,82.18,-2.6077,0.3567,1.9272,6.4186,12.4646,9.7601,1.9383,1.5499,0.0999,22
EZAFEQ,74.77,-3.0669,0.5018,2.5441,6.3277,12.4994,9.6712,1.9587,1.4963,0.0986,26.7
EZAYAF,66.8,-2.6483,0.2443,2.1749,6.4643,12.5246,9.7668,1.913,1.2735,0.0084,30.7
EZOMEM,83.69,-3.6142,0.3435,2.1544,6.4127,12.5125,9.7313,1.8764,1.342,0.0118,19.1
EZUKEQ,85.27,-2.5742,0.4205,2.0039,6.3781,12.442,9.7595,1.9519,1.5621,0.0983,16.9
FABRAD,95.91,-2.6751,0.3217,2.1572,6.3788,12.5307,9.7688,1.916,1.6604,0.0648,22.6
FADHOJ,79.76,-3.2245,0.343,2.0199,6.3973,12.4921,9.7676,1.9165,1.5575,0.0882,16.3
FAJXIX,92.55,-2.9887,0.4708,2.2084,6.346,12.4801,9.7032,1.9448,1.5489,0.0778,21.1
FAKTUH,97.23,-2.8293,0.3673,2.2917,6.366,12.54,9.7267,1.9229,1.2799,0.0166,18.6
FAKVOD,97.63,-2.8175,0.3987,2.3218,6.3522,12.5232,9.7259,1.9492,1.4199,0.0146,15.6
FAPLUD,49.25,-2.8471,0.2479,1.5965,6.5804,12.3848,9.7868,1.9562,1.7004,0.0643,11.3
FAQSEV,80.63,-3.2904,0.2485,1.9771,6.4535,12.5274,9.7705,1.896,1.4971,0.079,26.4
FARXOO,79.53,-2.6784,0.3333,1.7571,6.4647,12.417,9.785,1.8692,1.4948,0.0767,23.9
FAWKAR,79.5,-2.5742,0.2855,1.684,6.4858,12.4354,9.7933,1.8961,1.5269,0.095,24.1
FAXRII,91.56,-2.7581,0.1804,2.8874,6.3453,12.7173,9.7571,1.9913,1.421,0.0164,29.8
FAXWIL,83.99,-2.8398,0.4313,2.0267,6.3813,12.432,9.7554,1.9542,1.4154,0.0897,20.4
FEBDOH,79.82,-2.559,0.302,1.7322,6.4621,12.4428,9.7931,1.8998,1.5132,0.0857,21.4
FEHBIG,88.65,-2.5448,0.4743,2.3579,6.2983,12.4717,9.7557,1.9771,1.6049,0.068,13.7
FERFOZ,72.57,-3.5961,0.2747,1.9802,6.5285,12.4665,9.7303,1.8961,1.2022,0.0197,26.9
FESYIM,83.57,-3.2582,0.4214,2.2611,6.3615,12.5087,9.7083,1.8738,1.604,0.0772,26
FEXGUL,65.68,-2.8864,0.3213,1.5859,6.5456,12.3638,9.7694,1.8977,1.7176,0.1254,36
FEZXOA,84.71,-3.537,0.3142,2.1063,6.3921,12.5177,9.776,1.9046,1.5333,0.0683,14.8
FICPIR,93.3,-3.381,0.4358,1.9484,6.342,12.4608,9.7614,1.924,1.6217,0.069,12.4
FIFKUD,81.23,-3.2877,0.2564,2.139,6.4194,12.5532,9.771,1.9356,1.2058,0.0219,19
FIHSAT,64.4,-3.1519,0.4629,2.0816,6.4078,12.4043,9.725,1.9188,1.4791,0.0637,19.6
FIHZUT,93.36,-2.7624,0.2429,1.9791,6.4119,12.5392,9.806,1.9592,1.3383,0.0293,24.2
FIMREB,79.66,-2.6768,0.3015,1.7113,6.4709,12.4387,9.7889,1.8855,1.471,0.0818,22.9
FIRKID,93.46,-3.4137,0.4925,2.102,6.3351,12.452,9.7205,1.9477,1.6557,0.0736,14.7
FIVHAT,85.62,-2.7376,0.3839,1.925,6.4104,12.4359,9.7698,1.8883,1.5708,0.0912,21.3
FIVHUN,84.9,-2.7312,0.3824,1.9212,6.4125,12.4345,9.7706,1.8922,1.5927,0.091,21.8
FOBCOP,95.75,-3.0678,0.4538,2.2729,6.3556,12.4862,9.7044,1.97,1.5356,0.1036,20.7
FOCZAZ,82.18,-3.4578,0.25,2.2222,6.4119,12.5818,9.7563,1.9235,1.2102,0.0217,16.4
FODLER,73.7,-3.9085,0.3046,1.9617,6.5245,12.4656,9.7053,1.9637,1.3021,0.0182,22.5
FODTEX,56,-2.9273,0.269,1.8622,6.5165,12.4324,9.7821,1.9012,1.3508,0.0119,109.4
FOFWAB,90.92,-3.4084,0.4664,2.0068,6.369,12.4264,9.7382,1.8955,1.5025,0.0675,15.2
FOGDOW,79.11,-3.401,0.2673,1.9768,6.4813,12.5068,9.7446,1.9061,1.5258,0.0773,27.4
FOGSEA,83.3,-3.1179,0.226,2.2323,6.4291,12.5908,9.7542,1.9414,1.3439,0.0132,21.3
FOKGUJ,81.97,-2.8959,0.202,1.9364,6.465,12.5432,9.7898,1.9414,1.2568,0.0184,24
FORBZA,63.82,-3.0737,0.3571,1.9201,6.4425,12.4333,9.7671,1.901,1.5585,0.0626,21.2
FORHAV,86.29,-3.2395,0.2975,2.0621,6.4577,12.49,9.7548,1.9629,1.4932,0.0891,9.7
FOZHEK,92.33,-2.4071,0.2912,2.0284,6.3808,12.5196,9.8084,1.9394,1.3767,0.0229,21.8
FOZLEM,89.36,-2.5391,0.1118,1.9419,6.4648,12.5874,9.836,1.9132,1.3854,0.0107,29.1
FUCKOD01,84.13,-3.0939,0.3111,2.1458,6.4055,12.5437,9.7396,1.9608,1.1836,0.0223,20.2
FUDGUG,70.65,-3.5364,0.2863,1.9184,6.5367,12.451,9.726,1.8997,1.4861,0.0726,32.5
FUFLEX,75.25,-2.8174,0.3179,1.5981,6.5365,12.3784,9.7672,1.8732,1.7185,0.0851,26.3
FUFPIG,84.47,-3.2557,0.3375,2.2742,6.41,12.535,9.7176,1.862,1.2555,0.0159,17.5
FUGTUW,95.16,-2.7768,0.4175,2.1108,6.3796,12.4523,9.7507,1.9351,1.6,0.0735,30.3
FUGVUB,81.95,-3.785,0.3503,2.1972,6.3927,12.5337,9.7233,1.8871,1.4989,0.0742,24.6
FUMPOV,92.82,-2.9596,0.4663,2.1999,6.3469,12.4788,9.7081,1.9692,1.5597,0.0919,22.2
FURDCB,47.95,-3.0248,0.3159,1.6003,6.5417,12.3891,9.7534,1.8774,1.6068,0.0622,26.9
GADZER02,81.45,-3.5186,0.4995,2.0803,6.3552,12.4157,9.7296,1.9542,1.5892,0.0737,13.4
GAHPEK,46.09,-3.0145,0.3053,1.5839,6.5553,12.3752,9.7642,1.9146,1.7238,0.0951,26.4
GAJNAK,82.44,-2.8588,0.3494,2.0474,6.4209,12.4572,9.7726,1.9715,1.2572,0.0162,23.1
GAKQIT,82.33,-3.3423,0.3443,2.1245,6.3835,12.5017,9.7706,1.923,1.4051,0.0166,11.7
GAKQUF,82.4,-3.4679,0.3564,2.1513,6.3793,12.5024,9.7619,1.9228,1.4094,0.0165,12.1
GALHEJ,83.19,-2.8661,0.335,2.0616,6.3974,12.5061,9.7615,1.9087,1.438,0.0122,-18.8
GANMEO,92.68,-2.7082,0.4393,2.2467,6.3645,12.4773,9.719,1.9597,1.507,0.1128,20.4
GAPNIW,80.64,-3.2349,0.3235,2.0237,6.3944,12.4964,9.7857,1.9192,1.5567,0.0847,14.9
GAQZAB,80.75,-3.3367,0.3741,2.0571,6.377,12.4893,9.7596,1.914,1.3451,0.0144,13.2
GAWSED,81.59,-3.3303,0.3522,2.1293,6.3817,12.5033,9.7628,1.9245,1.4279,0.0173,11.9
GEKROG,83.42,-2.8036,0.4084,1.7642,6.3935,12.3963,9.8017,1.9667,1.6407,0.0897,14.9
GEMYIG,95.81,-2.5944,0.2461,1.9984,6.4057,12.5523,9.7958,1.9579,1.6528,0.1013,25.6
GENZEF,82.93,-2.9622,0.2051,2.2521,6.4279,12.6113,9.7556,1.9126,1.1954,0.0195,16.8
GEQQUO,88.88,-3.33,0.4182,1.9777,6.354,12.4179,9.8099,1.9437,1.6567,0.0544,13
GEQWIL,84.41,-3.2122,0.3713,1.8444,6.3949,12.4574,9.7764,1.9093,1.4969,0.0722,15.5
GESJET,100.91,-3.2654,0.5719,2.643,6.2721,12.5069,9.649,1.9928,1.4487,0.0792,25.5
GEVBIT,81.31,-3.3341,0.3513,2.1189,6.3833,12.4986,9.7669,1.913,1.5355,0.0815,13
GICNOV,80,-2.5325,0.2962,1.7154,6.4898,12.4314,9.7826,1.9156,1.6538,0.077,23.3
GIGNUH,84.12,-3.3083,0.4944,2.3109,6.3406,12.4956,9.6693,1.9385,1.4863,0.0808,23.8
GIGVID,103.2,-3.2326,0.4767,2.1478,6.3217,12.4703,9.7313,1.9217,1.5665,0.0537,16.6
GIHCOQ01,55.7,-3.0588,0.2424,1.7636,6.5606,12.4316,9.7654,1.9126,1.3182,0.0099,27.7
GINCAI01,85.76,-2.5388,0.4037,1.9766,6.3873,12.4389,9.7701,1.9205,1.6226,0.0686,17
GIQNUQ,81.15,-3.3179,0.3287,2.0972,6.3948,12.5189,9.7576,1.9052,1.5591,0.0837,14
GIRZUD,84.4,-2.9699,0.2494,2.0516,6.4148,12.5592,9.7766,1.9068,1.3418,0.0086,23.7
GIVWOA,81.65,-3.129,0.4496,1.9531,6.3884,12.3974,9.7646,1.9297,1.4544,0.0819,14.3
GIVYES,48.15,-2.8935,0.317,1.5086,6.5602,12.3543,9.7685,1.8832,1.5099,0.0645,8.7
GIXQIQ,81.12,-3.191,0.3414,2.8879,6.3173,12.67,9.6713,1.8361,1.329,0.0234,24.5
GIYMOT,80.11,-3.1978,0.3403,2.0274,6.3976,12.4935,9.7686,1.9368,1.5727,0.0936,14.5
GIZYIY01,83.58,-2.9921,0.2796,2.2038,6.4144,12.5718,9.7341,1.973,1.6198,0.1054,22.5
GOCHUC,82.47,-3.5183,0.2608,2.472,6.4098,12.6247,9.7046,1.854,1.3859,0.0144,23.5
GOCJUG,86.45,-2.6444,0.3945,1.9231,6.4083,12.4245,9.7727,1.9007,1.5503,0.0601,19.8
GOHVUU,92.78,-3.2351,0.4474,1.8431,6.383,12.3929,9.7768,1.9216,1.5694,0.0567,11.5
GOJROM01,63.16,-2.9045,0.4172,1.9262,6.438,12.387,9.7579,1.9147,1.4631,0.0775,18.2
GOKSAC,83.05,-3.4216,0.4929,2.1295,6.3522,12.4373,9.7176,1.9612,1.6732,0.0858,17
GOLDOA,82.38,-3.2646,0.2707,2.2186,6.4052,12.575,9.749,1.9465,1.2045,0.0229,19.5
GOLWUZ,97.93,-2.8447,0.4511,2.3276,6.3525,12.4882,9.7083,1.9657,1.409,0.103,26.8
GOMSAC,46.52,-2.983,0.3032,1.5761,6.5583,12.3733,9.7652,1.897,1.5086,0.0956,4.1
GOXNIT,53.45,-2.8364,0.2724,1.7874,6.5389,12.404,9.7847,1.9042,1.3679,0.0119,27.1
GOZDAA,84.93,-2.7836,0.4651,2.1208,6.3579,12.4351,9.7419,1.9378,1.6239,0.0704,13.7
GOZQIX01,101.56,-3.1744,0.3105,1.8402,6.3468,12.499,9.8438,1.9846,1.3071,0.0326,37.1
GUACET,81.17,-2.387,0.2514,1.7105,6.4615,12.4569,9.8302,1.9263,1.5947,0.0752,23.2
GUDQUR,100.87,-3.0961,0.4359,1.9924,6.3491,12.429,9.7859,1.9136,1.7178,0.0436,13.5
GUDWUZ,83.82,-3.4269,0.4155,2.213,6.382,12.4792,9.7233,1.9511,1.7079,0.1005,25.8
GUHRIK,83.29,-3.5742,0.2248,2.2124,6.4137,12.6092,9.7524,1.9471,1.2055,0.0209,17.9
GUHXOZ,85.47,-2.3578,0.256,2.1382,6.4058,12.5639,9.7743,1.96,1.1846,0.0217,23.6
GULMUY,80.44,-3.214,0.3521,2.0432,6.3865,12.4958,9.7656,1.9167,1.5233,0.0776,20.1
GUMJIJ,67.88,-3.2628,0.233,1.8428,6.5671,12.4483,9.7517,1.9528,1.2905,0.0182,28.7
GUQLIN,82.59,-3.8133,0.4421,1.9323,6.3485,12.4769,9.7326,1.9271,1.4903,0.08,12.9
GURGAB,81.94,-3.2739,0.3818,1.9082,6.3787,12.474,9.7655,1.9155,1.4801,0.0865,17.5
GURLOV,83.94,-2.6828,0.4023,1.947,6.406,12.4224,9.7693,1.8956,1.6016,0.0786,19.8
GUVQOE,88.83,-2.7892,0.375,2.1476,6.3829,12.4811,9.761,1.9681,1.5619,0.0905,18.2
GUVZON,89.47,-3.4415,0.4581,1.9355,6.3419,12.4536,9.7465,1.9308,1.6043,0.0793,15.5
GUXVIF,87.54,-3.1364,0.5106,2.4066,6.3359,12.5014,9.6521,1.8998,1.5137,0.0711,25
GUZZAD,87.92,-2.396,0.4097,2.0255,6.3939,12.4378,9.7586,1.8972,1.527,0.0667,16.7
HABVAJ,84.42,-3.0139,0.3092,2.11,6.3947,12.5343,9.7619,1.9172,1.368,0.0086,21.6
HACFEW,95.41,-3.5244,0.5404,2.4486,6.3132,12.5092,9.6372,1.9834,1.4408,0.097,26.5
HACMUT,78.89,-2.6611,0.1743,1.8722,6.4925,12.5403,9.7929,1.9358,1.4542,0.0242,26.7
HAGZOH01,92.47,-2.9571,0.4639,2.2106,6.3505,12.4788,9.7067,1.9756,1.4438,0.1042,22.4
HAHGAA,85.79,-2.538,0.3309,1.985,6.4061,12.4791,9.7839,1.9317,1.2098,0.0202,20.3
HAKCON,82.37,-3.2651,0.3304,2.1362,6.3964,12.5104,9.7628,1.9083,1.5337,0.0804,17.8
HALJUB,47.56,-2.8973,0.2941,1.5509,6.5625,12.3777,9.7657,1.8935,1.5952,0.0196,27.2
HAMBUA,78.42,-3.0049,0.3484,1.6665,6.4248,12.4243,9.8025,1.9609,1.6816,0.0809,30.7
HARZUY,89.76,-3.4047,0.4095,1.9226,6.3833,12.4621,9.7452,1.8924,1.5282,0.0651,18.4
HAXLOJ,59.29,-3.0714,0.2188,1.8094,6.5456,12.4585,9.7772,1.8987,1.313,0.0212,25
HEBGEA,84.11,-3.7551,0.5223,2.1538,6.3409,12.4297,9.7071,1.9059,1.5447,0.0605,13.8
HECPAJ02,81.18,-3.2773,0.2172,2.1912,6.4166,12.5886,9.7776,1.9509,1.1948,0.0214,20.8
HEFXIB,46.73,-2.9522,0.2886,1.581,6.5648,12.3807,9.7659,1.8942,1.6074,0.0357,24.2
HEJBIH,73.51,-2.7362,0.2823,1.6188,6.5599,12.3936,9.7642,1.8967,1.7079,0.0739,31.9
HEKTUM,82.27,-3.8668,0.447,1.9437,6.3474,12.4762,9.7295,1.9302,1.4987,0.0821,13.4
HELZAC,81.23,-3.313,0.3426,2.102,6.3856,12.4912,9.7805,1.906,1.4436,0.0146,14.2
HESRUS10,80.13,-3.3051,0.2248,2.0527,6.4258,12.5441,9.8053,1.9335,1.0681,0.0301,7.4
HETTUY,81.03,-3.6769,0.3018,2.3433,6.4058,12.5742,9.7183,1.9314,1.3903,0.0142,23.7
HEYJIE,65.74,-2.9755,0.4131,2.5601,6.3314,12.5393,9.7162,1.9705,1.6276,0.0657,18.1
HEZNAE,78.57,-3.3532,0.2771,2.0259,6.4489,12.508,9.766,1.9033,1.3735,0.0136,21.4
HIGCAB,84.15,-2.6886,0.3681,2.0585,6.3957,12.4574,9.7788,1.9029,1.3573,0.0236,25.7
HIHCAF,96.78,-2.8773,0.4349,2.2295,6.3689,12.484,9.7122,1.9706,1.3975,0.096,21.3
HILVAA,80.96,-3.2393,0.3207,2.0526,6.4176,12.4978,9.7639,1.9166,1.5316,0.0896,17.7
HIMMAL,81.28,-2.8677,0.2389,2.2155,6.4397,12.5684,9.7531,1.945,1.2173,0.0187,18.7
HINBAJ,74.39,-3.0475,0.2147,1.8126,6.5512,12.4573,9.7768,1.9489,1.3713,0.011,28.2
HIRBAM,76.37,-2.9351,0.2954,1.6588,6.4575,12.4477,9.7995,1.907,1.1195,0.0306,15.4
HITPEI,81.76,-2.9905,0.2256,1.8916,6.4641,12.5185,9.7919,1.9371,1.56,0.079,27.8
HITQUW,82.8,-2.8001,0.159,2.0629,6.4393,12.5977,9.8041,1.9549,1.3454,0.0162,20.3
HIVTEM,84.73,-2.7316,0.2449,1.8077,6.497,12.4575,9.8006,1.9721,1.567,0.072,23.3
HIWREM,85.35,-2.6026,0.4418,2.074,6.374,12.4376,9.7467,1.9577,1.6754,0.0811,20.8
HODXAA,81.68,-3.2572,0.3314,2.1239,6.3903,12.5057,9.7726,1.9278,1.4283,0.0179,15.9
HOHRIF,80.53,-3.3099,0.3792,2.1244,6.3822,12.4908,9.7477,1.9156,1.5565,0.0814,16.2
HOMSOT,68.2,-3.7691,0.3999,2.525,6.39,12.5787,9.6314,1.9637,1.2642,0.0105,31
HONJAX,85.24,-3.8722,0.3534,2.1955,6.3954,12.529,9.7222,1.9632,1.2218,0.0194,19.9
HOSWAQ,92.19,-3.5565,0.4791,2.1739,6.324,12.4837,9.7132,1.9226,1.5492,0.0809,16.2
HOWSOD,91.61,-3.4404,0.4802,1.999,6.3542,12.4284,9.7372,1.9247,1.5139,0.0754,13.1
HTCDOD,97.23,-2.6944,0.408,2.1522,6.3835,12.4731,9.7354,1.9408,1.5998,0.0845,27.2
HUBCUF,84.69,-2.9253,0.1401,2.0933,6.4423,12.6172,9.8005,1.9293,1.2003,0.0179,31
HUBTON,78.04,-3.2406,0.2906,1.9052,6.4357,12.4865,9.7872,1.9567,1.2607,0.009,11.1
HUDHUK01,80.65,-3.2285,0.3638,2.0967,6.3875,12.4943,9.7544,1.9124,1.4198,0.0168,16.6
HUDWEK,82.67,-3.5839,0.2928,2.2962,6.3992,12.5804,9.7276,1.9229,1.4354,0.012,17.2
HUFYAI,84.74,-2.6855,0.4236,2.0018,6.3791,12.4427,9.7546,1.9595,1.6157,0.1023,18.4
HUKGUP,80.72,-2.7049,0.1241,1.9115,6.4687,12.5709,9.8363,1.9388,1.1834,0.0198,24.5
HUKHUQ,80.71,-2.7095,0.1343,1.9217,6.4601,12.5684,9.8371,1.9302,1.373,0.0127,25.1
HUKKED,81.23,-2.9309,0.2187,1.915,6.4731,12.5242,9.784,1.9485,1.6436,0.0677,25.2
HUKPUY,82.29,-3.0755,0.3609,1.9076,6.4148,12.465,9.7593,1.9311,1.5123,0.0825,23.2
HUNNOU,74.1,-2.7284,0.322,1.6143,6.5391,12.3701,9.7688,1.8642,1.6826,0.075,31.1
HUPNUE,81.36,-3.337,0.327,2.0869,6.3993,12.4949,9.7788,1.9154,1.5568,0.0809,15.7
HXOXAM10,80.51,-2.7983,0.2247,1.8663,6.4659,12.5029,9.8065,1.94,1.3202,0.0169,26.8
IBOGUE,86.94,-3.4096,0.2698,2.1224,6.4219,12.5467,9.7616,1.9508,1.2906,0.0152,22.8
IBUMAT,85.83,-2.6693,0.4112,1.9102,6.3909,12.4256,9.7723,1.9169,1.593,0.0768,19.9
ICAPOU,80.4,-2.5359,0.3399,1.7959,6.4344,12.4358,9.79,1.9248,1.4904,0.0818,26.1
ICIGAC,81.06,-3.5622,0.3007,2.1054,6.4237,12.5303,9.7453,1.9081,1.1362,0.0179,24.3
IDADEX,81.53,-2.8281,0.2055,2.0818,6.4245,12.5853,9.7847,1.947,1.4418,0.0141,24.1
IDALEE,61.44,-3.0798,0.2244,1.9013,6.5261,12.477,9.7725,1.9042,1.27,0.0163,29.5
IDUQEF,67.89,-3.2616,0.2329,1.8429,6.5672,12.4481,9.7518,1.9517,1.2981,0.0177,28.8
IFEREQ,87.97,-3.0259,0.3618,2.0313,6.3963,12.4813,9.7606,1.9338,1.3118,0.0229,14.7
IFOYIM,90.07,-3.8544,0.4585,1.7026,6.3009,12.3845,9.8562,1.9765,1.5323,0.0877,25.2
IGAJOQ,81.24,-3.2433,0.3376,2.0921,6.3923,12.5011,9.7691,1.9082,1.3983,0.0136,16.5
IGEGEI,89.98,-3.4788,0.4671,1.9541,6.3382,12.4522,9.7426,1.9446,1.5593,0.0812,15.2
IGOVAC,87.63,-3.1428,0.4484,1.9585,6.3767,12.4134,9.7615,1.9719,1.659,0.0742,15
IHIPOG,88.86,-3.4667,0.4582,1.936,6.3391,12.4601,9.7426,1.9329,1.5743,0.0971,13.2
IJUVIS,90.52,-3.0069,0.4467,1.9247,6.3623,12.426,9.7651,1.9204,1.57,0.0684,14.8
IKATIY,46.64,-3.0874,0.3092,1.5991,6.548,12.3808,9.762,1.9015,1.7305,0.0993,27.4
IKAWOH,97.03,-3.1454,0.4907,2.1438,6.3312,12.4776,9.7005,1.8999,1.6152,0.0709,21.5
IKEGAH,76.95,-2.9325,0.2817,1.6288,6.4616,12.4493,9.8075,1.9007,1.612,0.0752,16
IKIZOT,91.86,-2.6403,0.368,1.8981,6.3738,12.4771,9.7812,1.9678,1.6402,0.0749,16.4
IKUPAI,82.12,-3.3298,0.2978,2.034,6.3972,12.523,9.782,1.9176,1.5327,0.0831,14.4
ILAKAJ,74.49,-3.5103,0.2822,1.9615,6.5259,12.4707,9.7213,1.896,1.2782,0.0189,30.4
ILAZAX,85.15,-3.8759,0.3668,1.7019,6.3697,12.4053,9.8582,1.9595,1.4028,0.0135,45.7
ILICOX,89.56,-3.4456,0.4553,1.9379,6.342,12.4543,9.7484,1.9385,1.6115,0.0835,14.5
IMENIN10,84.57,-3.6631,0.3653,2.2646,6.3674,12.5589,9.7083,1.9493,1.655,0.0796,17.1
IMITOO01,86.01,-2.6258,0.4223,2.037,6.3802,12.4421,9.7555,1.913,1.57,0.0652,17
IMUFEC,84.96,-2.8939,0.3008,2.1794,6.3988,12.5482,9.7522,1.9041,1.5757,0.0838,17.8
INACUW,80.92,-3.2011,0.2352,2.8093,6.3291,12.6973,9.7384,1.9916,1.2516,0.0218,21.7
INIDAM,87.19,-3.4224,0.5045,2.2071,6.339,12.4365,9.7201,1.8881,1.6075,0.0546,15.5
IPUHEG,81.96,-3.0356,0.4426,1.9448,6.3765,12.4163,9.7645,1.9234,1.6081,0.0545,13.4
IPUMUC,78.74,-2.7832,0.3249,1.5868,6.4626,12.4108,9.8017,1.8655,1.6073,0.0907,24.1
IPUWAS,81.84,-3.3166,0.3651,2.1011,6.3846,12.4915,9.7587,1.89,1.2845,0.0165,14.1
IPUWIA,82.13,-3.5255,0.348,2.1203,6.3891,12.5028,9.7601,1.9184,1.3108,0.0123,12.7
IQENEY,82.05,-2.7768,0.2453,1.8642,6.4314,12.511,9.8123,1.8948,1.4871,0.0775,21.2
IQICOB,87.61,-3.2259,0.4596,1.9239,6.3527,12.4322,9.7555,1.9382,1.6528,0.0921,13.7
IQIYEN,50.13,-2.9786,0.2529,1.7142,6.5629,12.4009,9.7833,1.894,1.2809,0.0144,28
IRABIO,63.9,-3.3056,0.3733,1.8862,6.4348,12.4399,9.7521,1.9106,1.3933,0.0688,22.4
IROMIN,82.1,-3.2063,0.2243,2.1948,6.4303,12.5605,9.7849,1.9278,1.2237,0.017,24.8
ISAYUX,82.85,-2.7615,0.3343,2.0344,6.4089,12.4683,9.7885,1.906,1.6859,0.0879,25.4
ISOXAQ,91.38,-3.4748,0.5312,2.3935,6.3221,12.4842,9.6625,1.959,1.5106,0.0752,22
ISUMUG,81.08,-2.657,0.3435,1.8207,6.4154,12.4394,9.8017,1.9048,1.693,0.088,23.8
ITAJEU,81.13,-3.5453,0.3144,2.1138,6.4054,12.5255,9.7547,1.9197,1.5099,0.0856,17
IXAKAV,94.02,-2.9953,0.4026,2.2972,6.3736,12.5054,9.7184,1.9713,1.3032,0.0169,26
IXEWOY,79.49,-3.2814,0.2063,2.0944,6.4291,12.5709,9.7937,1.9375,1.204,0.026,17.8
IXIMEI,96.28,-2.7372,0.3953,2.0217,6.3961,12.446,9.7626,1.9742,1.4927,0.1012,18.7
IZARAC,64.21,-3.76,0.4172,1.8222,6.4811,12.414,9.6878,1.9041,1.497,0.0663,23.3
IZCEPL,89.96,-2.9989,0.4846,2.1955,6.3013,12.4556,9.7584,1.9439,1.6056,0.0617,11.2
IZOMEP,95.9,-3.4431,0.3222,2.2568,6.4012,12.5346,9.7421,1.8797,1.6748,0.0766,15.6
JABCUN,84.39,-3.6465,0.424,2.0365,6.3796,12.4744,9.7221,1.8917,1.4934,0.0724,18.5
JADJAA,81.14,-3.3034,0.4671,1.986,6.3746,12.4082,9.75,1.9102,1.6582,0.0689,11.5
