Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA)
MOYWUU,0,-7.9,11.1,9.8,-63,19,17.7,Minimum,Minimum,Correct TS
MOYXAB01,0,-7.8,11.2,9.8,-63,19,17.6,Minimum,Minimum,Correct TS
MOZQEY,0,-4.8,14.6,11.3,-63,19.5,16.1,Minimum,Minimum,Correct TS
MPYDCX01,0,0.1,20.9,14.5,-63,20.9,14.5,Minimum,Minimum,Correct TS
MRUBFN,0,-3.6,13.6,11.6,-63,17.1,15.2,Minimum,Minimum,Correct TS
MUCHUO,0,-3.4,14.2,13.5,-63,17.6,16.9,Minimum,Minimum,Correct TS
MUCWUF,0,-4.9,15.6,12.9,-63,20.6,17.8,Minimum,Minimum,Correct TS
MUDBEV,0,-5.1,17.9,13,-63,23.1,18.1,Minimum,Minimum,Correct TS
MUDKAZ,0,-7.4,10.3,9.9,-63,17.7,17.3,Minimum,Minimum,Correct TS
MUFLAA,0,-4.5,11.3,12.6,-63,15.8,17.1,Minimum,Minimum,Correct TS
MUFSIP,0,-15.6,44,2.1,-63,59.6,17.6,Minimum,Minimum,Correct TS
MUGCUO,0,-7.7,21.1,8.9,-63,28.8,16.5,Minimum,Minimum,Correct TS
MUGQOW,0,-1.7,16.3,11.6,-63,18,13.3,Minimum,Minimum,Correct TS
MUGRAI,0,-10.1,8.7,8.4,-63,18.8,18.5,Minimum,Minimum,Correct TS
MUHZUK,0,-13.9,1.2,7.3,-63,15.1,21.2,Minimum,Minimum,Correct TS
MULHEH,0,-6,15,14.5,-63,21,20.5,Minimum,Minimum,Correct TS
MULMIR,0,-4.9,16.3,12.4,-63,21.2,17.3,Minimum,Minimum,Correct TS
MUMNOZ,0,-46.1,18.2,11.6,-63,64.3,57.6,Minimum,Minimum,Correct TS
MUQXIH,0,-14,4.6,9.2,-63,18.5,23.2,Minimum,Minimum,Correct TS
MURDOS,0,-5.7,16.5,12.6,-63,22.2,18.3,Minimum,Minimum,Correct TS
MURDUY,0,-10.7,10.8,11.2,-63,21.5,21.9,Minimum,Minimum,Correct TS
MUSVUR,0,0.8,19.9,17.5,-63,19.9,17.5,Minimum,Minimum,Correct TS
MUTWON,0,-7.7,6.7,12.9,-63,14.4,20.5,Minimum,Minimum,Correct TS
MUTXAA,0,0.3,14.3,12.3,-63,14.3,12.3,Minimum,Minimum,Correct TS
MUZSUW,0,-10,11.4,11,-63,21.4,21,Minimum,Minimum,Correct TS
MXNSAC20,0,-9.9,9,7.9,-63,18.9,17.8,Minimum,Minimum,Correct TS
MXZTCE10,0,-5.7,7.9,11.8,-63,13.7,17.6,Minimum,Minimum,Correct TS
NACVAL,0,-11.5,18,12.6,-63,29.5,24.1,Minimum,Minimum,Correct TS
NADVIB,0,-9.1,9.8,9.1,-63,18.9,18.3,Minimum,Minimum,Correct TS
NADVUN,0,-9,9.9,13.2,-63,18.9,22.2,Minimum,Minimum,Correct TS
NAFTEU,0,-3.8,19.1,28.3,-63,22.9,32.1,Minimum,Minimum,Correct TS
NAHTAS,0,-4.9,17.5,13.3,-63,22.5,18.2,Minimum,Minimum,Correct TS
NAKKIX,0,-3.3,14.8,11.2,-63,18.1,14.5,Minimum,Minimum,Correct TS
NAMPIB,0,-6.2,11.9,10.5,-63,18,16.6,Minimum,Minimum,Correct TS
NAQXEL,0,-7.4,11.4,12.8,-63,18.8,20.2,Minimum,Minimum,Correct TS
NARBAJ,0,-2.4,17.2,23.5,-63,19.6,25.8,Minimum,Minimum,Correct TS
NARCAN,0,-3.8,33.9,28.7,-63,37.7,32.5,Minimum,Minimum,Correct TS
NASREE,0,-11,15.9,13.6,-63,26.9,24.6,Minimum,Minimum,Correct TS
NATHOG,0,-17.1,3.6,4.9,-63,20.7,21.9,Minimum,Minimum,Correct TS
NATHQU,0,-3.9,19.2,13.8,-63,23.1,17.7,Minimum,Minimum,Correct TS
NATSEJ,0,-8.8,11.4,8.1,-63,20.2,16.9,Minimum,Minimum,Correct TS
NATSIN,0,-9,11.9,8.5,-63,21,17.5,Minimum,Minimum,Correct TS
NATTIO,0,-8.2,11.8,8.5,-63,20,16.7,Minimum,Minimum,Correct TS
NAWHID,0,-6.8,14.3,12.3,-63,21.1,19,Minimum,Minimum,Correct TS
NAXCIY,0,-6.3,14,12.2,-63,20.3,18.5,Minimum,Minimum,Correct TS
NAXJIH,0,-10.2,28.2,7.2,-63,38.4,17.5,Minimum,Minimum,Correct TS
NAYTAJ,0,-6.9,14.2,10.5,-63,21.1,17.4,Minimum,Minimum,Correct TS
NBZOAO03,0,-8.8,12.9,11.7,-63,21.8,20.5,Minimum,Minimum,Correct TS
NEBPIW,0,-12.4,-31.3,6.9,-63,-18.9,19.2,Minimum,Minimum,Correct TS
NECCAC,0,-11.3,5.5,9.8,-63,16.8,21.1,Minimum,Minimum,Correct TS
NECCEG,0,-11.3,6,9.5,-63,17.3,20.8,Minimum,Minimum,Correct TS
NEHFIP,0,-8.8,10.2,8.7,-63,19,17.5,Minimum,Minimum,Correct TS
NEHKIV,0,-6.8,4.2,9.7,-63,10.9,16.4,Minimum,Minimum,Correct TS
NEKNIA,0,-4.6,9.7,10.6,-63,14.3,15.1,Minimum,Minimum,Correct TS
NELNID,0,-5.7,11.1,13.3,-63,16.8,19,Minimum,Minimum,Correct TS
NENKOH,0,-11.6,7.9,6.5,-63,19.5,18,Minimum,Minimum,Correct TS
NEPNTH,0,-13.5,9.5,10.1,-63,23,23.5,Minimum,Minimum,Correct TS
NERDOE,0,-14.3,13,7.7,-63,27.2,22,Minimum,Minimum,Correct TS
NERLUS,0,-10.2,9.6,11,-63,19.8,21.2,Minimum,Minimum,Correct TS
NERPUX,0,-15.5,4,4.6,-63,19.5,20.2,Minimum,Minimum,Correct TS
NESTEL,0,-9,11.2,12,-63,20.2,21,Minimum,Minimum,Correct TS
NETJUR04,0,-17.2,-1.9,4.2,-63,15.3,21.4,Minimum,Minimum,Correct TS
NETZEU,0,-9.7,10.9,10.8,-63,20.6,20.5,Minimum,Minimum,Correct TS
NEVLUX,0,-12.3,15.3,11.2,-63,27.6,23.5,Minimum,Minimum,Correct TS
NEWLIK,0,-4.2,15.8,15.4,-63,20,19.7,Minimum,Minimum,Correct TS
NEYKIN,0,-10.8,8.4,7.6,-63,19.3,18.4,Minimum,Minimum,Correct TS
NHQUSA,0,-8.6,14.1,13.9,-63,22.7,22.5,Minimum,Minimum,Correct TS
NICCEH,0,-6.5,9.8,9.9,-63,16.3,16.3,Minimum,Minimum,Correct TS
NICNOE,0,-3.2,14.1,14.1,-63,17.4,17.4,Minimum,Minimum,Correct TS
NIFHES,0,-6.6,15.3,10.3,-63,21.9,16.8,Minimum,Minimum,Correct TS
NIFJOB,0,-3.4,19.9,13.7,-63,23.3,17.1,Minimum,Minimum,Correct TS
NIFVAC,0,-10.4,9.5,9.8,-63,19.9,20.2,Minimum,Minimum,Correct TS
NIFVEG,0,-4,16.6,12.5,-63,20.6,16.5,Minimum,Minimum,Correct TS
NIFVIK,0,-11.4,9.3,9.2,-63,20.7,20.6,Minimum,Minimum,Correct TS
NIGMUO,0,1.8,15,10.5,-63,15,10.5,Minimum,Minimum,Correct TS
NIGVIK,0,-7.3,2.3,7.8,-63,9.6,15.1,Minimum,Minimum,Correct TS
NIKBAN,0,-4.6,21,15.1,-63,25.6,19.7,Minimum,Minimum,Correct TS
NIKJID,0,-0.5,20.3,14.4,-63,20.8,14.8,Minimum,Minimum,Correct TS
NIKJUP,0,-1.3,19.8,19,-63,21.1,20.3,Minimum,Minimum,Correct TS
NILLEB,0,-5.7,17,11.1,-63,22.6,16.8,Minimum,Minimum,Correct TS
NILQUW,0,-5.1,17.2,13.1,-63,22.3,18.2,Minimum,Minimum,Correct TS
NILZAM,0,-14.3,10.3,9.7,-63,24.6,24,Minimum,Minimum,Correct TS
NINHYD01,0,-8.4,13.3,13.1,-63,21.6,21.5,Minimum,Minimum,Correct TS
NINJOJ,0,-17.5,2.9,-4.9,-63,20.4,12.6,Minimum,Minimum,Correct TS
NINLEB,0,-10,13.6,9.1,-63,23.6,19.1,Minimum,Minimum,Correct TS
NIPGAW,0,-10.3,9.1,8.5,-63,19.4,18.8,Minimum,Minimum,Correct TS
NIPLED01,0,-8,13.9,12.2,-63,21.9,20.2,Minimum,Minimum,Correct TS
NIPVEO,0,-7,17.1,12.5,-63,24.1,19.5,Minimum,Minimum,Correct TS
NIPVUG,0,-9.6,15,9.2,-63,24.6,18.8,Minimum,Minimum,Correct TS
NIQNUX,0,-7.8,6.6,9.4,-63,14.4,17.2,Minimum,Minimum,Correct TS
NIRJII04,0,0.3,18.9,18.5,-63,18.9,18.5,Minimum,Minimum,Correct TS
NIVJIM,0,-24.2,18.6,15.5,-63,42.8,39.8,Minimum,Minimum,Correct TS
NIYKAK,0,-11.3,-2.7,4.4,-63,8.6,15.7,Minimum,Minimum,Correct TS
NIYSUL,0,-7.9,13.4,8.4,-63,21.3,16.3,Minimum,Minimum,Correct TS
NIZYAY,0,-1.2,11.6,8.2,-63,12.8,9.4,Minimum,Minimum,Correct TS
NOBYEI,0,-6.7,19.4,12.9,-63,26.1,19.6,Minimum,Minimum,Correct TS
NOCNEA,0,-7.3,18.6,7.7,-63,25.9,15,Minimum,Minimum,Correct TS
NODHAR,0,-9.7,5.7,7.8,-63,15.3,17.4,Minimum,Minimum,Correct TS
NODHOG,0,-3.6,18.7,14.3,-63,22.3,17.9,Minimum,Minimum,Correct TS
NODJUM01,0,-18.2,4.3,3.4,-63,22.5,21.7,Minimum,Minimum,Correct TS
NODRUW,0,0.2,18.6,15.9,-63,18.6,15.9,Minimum,Minimum,Correct TS
NOGGOH,0,-4.5,10.7,17.8,-63,15.2,22.3,Minimum,Minimum,Correct TS
NOGMIF,0,-8.7,9.6,6.8,-63,18.3,15.4,Minimum,Minimum,Correct TS
NOGREI,0,-1.3,20.6,14.8,-63,21.9,16.2,Minimum,Minimum,Correct TS
NOHROT,0,-13.5,1.6,7.9,-63,15.1,21.4,Minimum,Minimum,Correct TS
NOJGOI,0,-10.3,5,8.1,-63,15.3,18.4,Minimum,Minimum,Correct TS
NOKHEA,0,-10.3,4.1,6,-63,14.4,16.3,Minimum,Minimum,Correct TS
NOKLAB,0,-1.6,17.1,13.6,-63,18.7,15.2,Minimum,Minimum,Correct TS
NOLCAT,0,-10.1,4.5,6.2,-63,14.5,16.3,Minimum,Minimum,Correct TS
NOLFIF,0,-18.6,-3.1,7.3,-63,15.5,25.9,Minimum,Minimum,Correct TS
NOPSOA,0,-4.7,18.7,12.6,-63,23.4,17.3,Minimum,Minimum,Correct TS
NOQTET,0,-8.3,8.3,7.4,-63,16.6,15.7,Minimum,Minimum,Correct TS
NOTLAL01,0,-1.6,17,15.4,-63,18.5,17,Minimum,Minimum,Correct TS
NOXXIH01,0,-8.9,10,8.5,-63,19,17.5,Minimum,Minimum,Correct TS
NOYYEI,0,-4.4,15.8,10.8,-63,20.1,15.1,Minimum,Minimum,Correct TS
NUDMOO,0,-21.4,3.1,3,-63,24.5,24.4,Minimum,Minimum,Correct TS
NUDYIV,0,-9,8.3,8.4,-63,17.3,17.4,Minimum,Minimum,Correct TS
NUGVER,0,-7.8,9.8,14.2,-63,17.6,22,Minimum,Minimum,Correct TS
NUGYIY,0,-5.9,5.2,11.5,-63,11.1,17.3,Minimum,Minimum,Correct TS
NUHHEE,0,-0.7,21.5,13.5,-63,22.2,14.2,Minimum,Minimum,Correct TS
NUHSUH,0,-8.5,8.6,8.8,-63,17.1,17.3,Minimum,Minimum,Correct TS
NUJDUT,0,-2,15.8,14.3,-63,17.7,16.2,Minimum,Minimum,Correct TS
NUJKEJ02,0,-9,8,7.6,-63,17.1,16.6,Minimum,Minimum,Correct TS
NUJLUB,0,-3.2,15.3,11.4,-63,18.5,14.6,Minimum,Minimum,Correct TS
NUKGIL,0,-6.2,13.3,13.3,-63,19.5,19.5,Minimum,Minimum,Correct TS
NULGIN,0,-6.2,14.2,9.5,-63,20.4,15.8,Minimum,Minimum,Correct TS
NULMOY,0,-10.3,15.1,10.8,-63,25.4,21.1,Minimum,Minimum,Correct TS
NUMDOQ,0,-10.8,17.9,10.4,-63,28.7,21.2,Minimum,Minimum,Correct TS
NUNHAG,0,-12.7,19.4,12.8,-63,32.1,25.5,Minimum,Minimum,Correct TS
NUPREW,0,-15.4,3.1,2,-63,18.5,17.4,Minimum,Minimum,Correct TS
NUPTEY,0,-14.6,4.4,6.2,-63,19,20.7,Minimum,Minimum,Correct TS
NUQMAO,0,-5.7,15.3,12.3,-63,21,18,Minimum,Minimum,Correct TS
NUQYUU,0,-11.8,4.5,-0.7,-63,16.3,11.1,Minimum,Minimum,Correct TS
NUQZIJ,0,-6.8,-21.2,8.1,-63,-14.5,14.9,Minimum,Minimum,Correct TS
NUSRID,0,-3.7,15.5,12.5,-63,19.2,16.2,Minimum,Minimum,Correct TS
NUVXAE,0,-10.8,3.6,10.8,-63,14.4,21.7,Minimum,Minimum,Correct TS
NUVZAG,0,-13.9,13,11.1,-63,26.9,25,Minimum,Minimum,Correct TS
NUWPOL,0,0.9,19.6,12.6,-63,19.6,12.6,Minimum,Minimum,Correct TS
NUWPUR,0,1,18.7,12.8,-63,18.7,12.8,Minimum,Minimum,Correct TS
NUXROQ,0,-5.9,17.3,14.7,-63,23.2,20.6,Minimum,Minimum,Correct TS
NUYYOX,0,-11.7,7.9,6.5,-63,19.6,18.2,Minimum,Minimum,Correct TS
NUZCOA,0,-9.3,5.4,8.9,-63,14.6,18.1,Minimum,Minimum,Correct TS
NUZDUK,0,-6.4,8.4,7.7,-63,14.8,14.1,Minimum,Minimum,Correct TS
NUZGOE,0,-5.2,15.2,13.7,-63,20.3,18.9,Minimum,Minimum,Correct TS
NUZLID,0,-4.8,14.7,14,-63,19.5,18.9,Minimum,Minimum,Correct TS
OBEREV,0,-7.8,-21015.6,7,-63,-21007.8,14.8,Minimum,Minimum,Correct TS
OBESAP,0,-11.8,20.3,9.5,-63,32.1,21.3,Minimum,Minimum,Correct TS
OBIDEI,0,-5.7,11.9,11.9,-63,17.6,17.6,Minimum,Minimum,Correct TS
OBITUO,0,-9.6,4.4,10.2,-63,14,19.8,Minimum,Minimum,Correct TS
OBOBOW,0,-4.5,15.5,14.2,-63,19.9,18.6,Minimum,Minimum,Correct TS
OBTFOL10,0,-6.3,15,13.3,-63,21.3,19.6,Minimum,Minimum,Correct TS
OBUBAQ,0,-22.7,-5.2,7.2,-63,17.5,30,Minimum,Minimum,Correct TS
OBUMEF,0,-16.5,4.1,8.8,-63,20.6,25.3,Minimum,Minimum,Correct TS
OCADAZ,0,-3.8,17,16.4,-63,20.8,20.2,Minimum,Minimum,Correct TS
OCANOV,0,-15.8,-1.9,2,-63,13.9,17.8,Minimum,Minimum,Correct TS
OCAVOG,0,-3.8,18.1,13.2,-63,21.9,17,Minimum,Minimum,Correct TS
OCEBAA,0,-12.7,13.6,8.9,-63,26.3,21.6,Minimum,Minimum,Correct TS
OCEBEF,0,-3.4,17.2,16.4,-63,20.7,19.8,Minimum,Minimum,Correct TS
OCEBOP,0,-15.4,1.1,8.6,-63,16.6,24,Minimum,Minimum,Correct TS
OCEXEB,0,-3.4,16.8,16.7,-63,20.2,20.1,Minimum,Minimum,Correct TS
OCIKOD,0,-4.2,15.7,12.1,-63,19.9,16.3,Minimum,Minimum,Correct TS
OCINIY,0,-14.4,18.3,7.7,-63,32.7,22,Minimum,Minimum,Correct TS
ODAPIV,0,-12.5,3.6,6.3,-63,16.1,18.9,Minimum,Minimum,Correct TS
ODEFOT,0,-17.3,-2,4.2,-63,15.3,21.6,Minimum,Minimum,Correct TS
ODIBUA01,0,-13.8,14.5,9.2,-63,28.3,23,Minimum,Minimum,Correct TS
ODIMAP,0,-4.4,11.7,13.6,-63,16.1,17.9,Minimum,Minimum,Correct TS
ODUSAJ,0,-4.1,5.3,9.4,-63,9.4,13.4,Minimum,Minimum,Correct TS
OFASUJ,0,-8,8.6,11.5,-63,16.5,19.5,Minimum,Minimum,Correct TS
OFAYOM,0,-14.3,14.6,13,-63,28.9,27.3,Minimum,Minimum,Correct TS
OFECIL,0,-1.3,18,13.9,-63,19.3,15.2,Minimum,Minimum,Correct TS
OFIZUB,0,-18.5,2.9,11.9,-63,21.4,30.4,Minimum,Minimum,Correct TS
OFUYIZ,0,-3.7,16,12.7,-63,19.7,16.4,Minimum,Minimum,Correct TS
OGEFAI,0,-4.6,6.6,11,-63,11.2,15.6,Minimum,Minimum,Correct TS
OGEROI,0,-12.8,8.1,9.4,-63,20.9,22.3,Minimum,Minimum,Correct TS
OGOFUO,0,-11.3,9.9,11.5,-63,21.1,22.8,Minimum,Minimum,Correct TS
OGOYOB,0,-8.6,14.4,18.5,-63,23,27.1,Minimum,Minimum,Correct TS
OGOZES,0,-3.9,20,16.1,-63,24,20.1,Minimum,Minimum,Correct TS
OHAFUB,0,-11.6,9.2,8.6,-63,20.7,20.2,Minimum,Minimum,Correct TS
OHEHAN,0,-5.4,16.9,13.5,-63,22.3,18.9,Minimum,Minimum,Correct TS
OHOHAV,0,-9.9,23.3,7.6,-63,33.1,17.5,Minimum,Minimum,Correct TS
OHOTOX,0,-12.1,5.4,10.7,-63,17.5,22.8,Minimum,Minimum,Correct TS
OHOYES,0,-4.7,15.8,9,-63,20.5,13.6,Minimum,Minimum,Correct TS
OJACAE,0,-5.9,15.6,13.5,-63,21.5,19.4,Minimum,Minimum,Correct TS
OJADEK,0,-14.9,8.9,5.3,-63,23.8,20.2,Minimum,Minimum,Correct TS
OJAKUH,0,-3.7,15.8,12.3,-63,19.5,16.1,Minimum,Minimum,Correct TS
OJEDIR,0,-4.8,16.7,13,-63,21.5,17.8,Minimum,Minimum,Correct TS
OJEHUI,0,-9.4,15.3,10.1,-63,24.7,19.6,Minimum,Minimum,Correct TS
OJOXAN,0,-7.9,12.1,8.1,-63,19.9,16,Minimum,Minimum,Correct TS
OJUGIM,0,-5.7,9.1,8.7,-63,14.8,14.3,Minimum,Minimum,Correct TS
OJUSIY,0,-7.2,11.5,9,-63,18.7,16.2,Minimum,Minimum,Correct TS
OJUTOF,0,-2.2,16.2,11.5,-63,18.4,13.7,Minimum,Minimum,Correct TS
OKAJAL,0,-9.7,8,8.8,-63,17.7,18.5,Minimum,Minimum,Correct TS
OKATAW,0,-7.8,-11.5,8.8,-63,-3.7,16.6,Minimum,Minimum,Correct TS
OKATEA,0,-6.1,8.9,9.4,-63,14.9,15.5,Minimum,Minimum,Correct TS
OKELEW,0,-9.5,4.8,10.6,-63,14.3,20.1,Minimum,Minimum,Correct TS
OKIFUL,0,-7.4,12.5,9.8,-63,19.9,17.1,Minimum,Minimum,Correct TS
OKOHIH,0,-9.7,9.9,8.1,-63,19.6,17.9,Minimum,Minimum,Correct TS
OKOLOR,0,-6.5,7.7,9.5,-63,14.2,16,Minimum,Minimum,Correct TS
OKOXUK,0,-0.5,19.7,13.6,-63,20.1,14.1,Minimum,Minimum,Correct TS
OKUGEG,0,-5.8,15.6,13.4,-63,21.4,19.2,Minimum,Minimum,Correct TS
OLALOC,0,-5.2,10.1,12,-63,15.2,17.1,Minimum,Minimum,Correct TS
OLOBIA,0,-7.6,14.5,8.7,-63,22.1,16.3,Minimum,Minimum,Correct TS
OLOBOG,0,-3.1,16.2,5.6,-63,19.3,8.7,Minimum,Minimum,Correct TS
OLUTAS,0,-3.5,16.5,14.8,-63,20.1,18.3,Minimum,Minimum,Correct TS
OLUVIC,0,-4.6,19.3,14.4,-63,23.9,19,Minimum,Minimum,Correct TS
OMIGIA,0,-6.9,9.7,11.2,-63,16.6,18.1,Minimum,Minimum,Correct TS
OMODAV,0,-2.8,22.3,13.4,-63,25,16.2,Minimum,Minimum,Correct TS
ONEXOV,0,-4.3,14.5,13.1,-63,18.8,17.4,Minimum,Minimum,Correct TS
OPATUV,0,-6.1,1.7,8.5,-63,7.8,14.6,Minimum,Minimum,Correct TS
OPIJIH,0,-9,14.1,9,-63,23.1,17.9,Minimum,Minimum,Correct TS
OPITOX01,0,-0.4,22.7,13.8,-63,23.1,14.2,Minimum,Minimum,Correct TS
OPOGAD,0,-4.5,15.5,11.9,-63,20,16.5,Minimum,Minimum,Correct TS
OPUPIA,0,-2.8,16.8,15.8,-63,19.5,18.6,Minimum,Minimum,Correct TS
OPUREY,0,-10.1,3.7,7.6,-63,13.8,17.8,Minimum,Minimum,Correct TS
OQEKOM,0,-7.4,14.9,12.6,-63,22.4,20,Minimum,Minimum,Correct TS
OQODOP,0,-7.6,8.7,9.1,-63,16.3,16.7,Minimum,Minimum,Correct TS
OQOPOA,0,-17.1,4.1,0.2,-63,21.3,17.3,Minimum,Minimum,Correct TS
OQOSOD,0,-5.2,0.1,12.5,-63,5.4,17.8,Minimum,Minimum,Correct TS
ORACAN,0,-16.5,7.3,6.5,-63,23.7,23,Minimum,Minimum,Correct TS
OREKAY,0,-13.4,9.6,7.5,-63,23,20.8,Minimum,Minimum,Correct TS
ORUXEF,0,-10.1,61.4,8.1,-63,71.4,18.1,Minimum,Minimum,Correct TS
OSEXUG,0,-6.7,13.1,12.1,-63,19.8,18.8,Minimum,Minimum,Correct TS
OSIDAX,0,-9.5,1.4,8.5,-63,10.9,18,Minimum,Minimum,Correct TS
OSIVUJ,0,-5.2,14.8,15.9,-63,20,21.1,Minimum,Minimum,Correct TS
OTAWAJ,0,-6.9,6.4,9,-63,13.3,15.9,Minimum,Minimum,Correct TS
OTOFEK,0,-8.5,15.3,13.1,-63,23.8,21.6,Minimum,Minimum,Correct TS
OTUBEM,0,-6.6,17.5,9.6,-63,24.1,16.2,Minimum,Minimum,Correct TS
OVEBAU,0,-8.7,-10,35.2,-63,-1.3,43.9,Minimum,Minimum,Correct TS
OVUGUI,0,-8.8,11.1,9.4,-63,19.9,18.2,Minimum,Minimum,Correct TS
OXABOG,0,-7.7,3.9,9.3,-63,11.5,16.9,Minimum,Minimum,Correct TS
OXANEI,0,-3.4,15.7,13.7,-63,19.1,17.1,Minimum,Minimum,Correct TS
OXEGEF,0,-2.4,20.2,16.4,-63,22.6,18.8,Minimum,Minimum,Correct TS
OXOBUA,0,-3.7,17.2,11.7,-63,20.9,15.4,Minimum,Minimum,Correct TS
OXOFMB,0,-5.3,12.1,14.6,-63,17.4,19.9,Minimum,Minimum,Correct TS
OXOPUN,0,-1.2,16.2,14.9,-63,17.4,16.1,Minimum,Minimum,Correct TS
OXUDUI,0,-7.7,3.9,8.5,-63,11.5,16.2,Minimum,Minimum,Correct TS
OXUJOI,0,-5.3,16.9,11.6,-63,22.2,16.9,Minimum,Minimum,Correct TS
OXUMAW,0,-4,18.6,11.2,-63,22.6,15.1,Minimum,Minimum,Correct TS
OYIFOS,0,-4.9,8.5,9.3,-63,13.4,14.2,Minimum,Minimum,Correct TS
OYINUG,0,-13.2,3.6,7.1,-63,16.8,20.3,Minimum,Minimum,Correct TS
OYIPAO,0,-12,3.1,7,-63,15.1,18.9,Minimum,Minimum,Correct TS
OYIPES,0,-10.6,5.5,8.1,-63,16.1,18.7,Minimum,Minimum,Correct TS
OYIPIW,0,-11.9,5,6.3,-63,16.9,18.2,Minimum,Minimum,Correct TS
OYIPOC,0,-10.1,8.7,7,-63,18.8,17,Minimum,Minimum,Correct TS
OYIVOJ,0,-2.2,23.6,16.5,-63,25.8,18.6,Minimum,Minimum,Correct TS
OYOHAN,0,-2.9,23.1,16.7,-63,26,19.6,Minimum,Minimum,Correct TS
OYOSAY,0,-13.8,83.3,5,-63,97.1,18.8,Minimum,Minimum,Correct TS
OYUKAW,0,-7.2,18,12.7,-63,25.1,19.9,Minimum,Minimum,Correct TS
OZAZEV,0,-6.2,8.7,10.9,-63,14.9,17.1,Minimum,Minimum,Correct TS
OZIZEE,0,-9.1,6.5,11.2,-63,15.5,20.3,Minimum,Minimum,Correct TS
OZUCUJ,0,-14.4,12.6,10.5,-63,26.9,24.8,Minimum,Minimum,Correct TS
OZUNAA,0,-8.8,13.5,13,-63,22.2,21.8,Minimum,Minimum,Correct TS
OZUPEG,0,-6.5,8.4,10.8,-63,15,17.4,Minimum,Minimum,Correct TS
PABLIQ,0,-2.6,15.5,12.8,-63,18.1,15.5,Minimum,Minimum,Correct TS
PABSOC,0,-8.3,4.1,11,-63,12.5,19.3,Minimum,Minimum,Correct TS
PACPUG,0,-8.5,13.2,12.2,-63,21.7,20.7,Minimum,Minimum,Correct TS
PADGEK,0,-8.2,8.3,9.8,-63,16.5,18,Minimum,Minimum,Correct TS
PADJEM,0,-6.6,2.5,5.9,-63,9.1,12.4,Minimum,Minimum,Correct TS
PADXUP,0,-7.1,12.7,10.9,-63,19.8,18,Minimum,Minimum,Correct TS
PADYEY,0,-9.2,5.2,9.5,-63,14.4,18.7,Minimum,Minimum,Correct TS
PAGNIX,0,-11.6,2.8,9.2,-63,14.5,20.8,Minimum,Minimum,Correct TS
PAHCOU,0,-10.7,11.1,10.3,-63,21.7,20.9,Minimum,Minimum,Correct TS
PAJFAK,0,-5.7,13.2,10.6,-63,18.9,16.4,Minimum,Minimum,Correct TS
PALQUQ,0,-7,12,8.3,-63,19.1,15.3,Minimum,Minimum,Correct TS
PAMQOM,0,-4.6,12.6,10.7,-63,17.2,15.4,Minimum,Minimum,Correct TS
PAMRIF,0,-7.9,5.1,8.3,-63,13,16.1,Minimum,Minimum,Correct TS
PAMXEI,0,-8,11.9,11.3,-63,19.9,19.3,Minimum,Minimum,Correct TS
PAMZIN,0,-14.8,4.8,4.5,-63,19.6,19.3,Minimum,Minimum,Correct TS
PANHUI,0,-11.4,-3.3,4,-63,8.1,15.4,Minimum,Minimum,Correct TS
PANHUK,0,-4,6.1,14.7,-63,10.1,18.7,Minimum,Minimum,Correct TS
PANLEV,0,-15.1,0.7,6,-63,15.9,21.1,Minimum,Minimum,Correct TS
PAPBIU,0,-6,20.2,26.1,-63,26.2,32.1,Minimum,Minimum,Correct TS
PAPMOJ,0,-4.6,10.1,44.5,-63,14.6,49.1,Minimum,Minimum,Correct TS
PAPREE,0,-7.2,7.5,8.9,-63,14.7,16.1,Minimum,Minimum,Correct TS
PARLIE,0,-3.3,14.3,11.7,-63,17.7,15.1,Minimum,Minimum,Correct TS
PARLOK,0,2.6,14.2,11.7,-63,14.2,11.7,Minimum,Minimum,Correct TS
PARLUP10,0,-9.8,0.9,10.4,-63,10.7,20.2,Minimum,Minimum,Correct TS
PARLUQ,0,-5.2,17.1,13.6,-63,22.3,18.7,Minimum,Minimum,Correct TS
PASMIF,0,-21,-4.1,-4.1,-63,16.9,16.9,Minimum,Minimum,Correct TS
PATBEU,0,-6.4,8.1,9.4,-63,14.4,15.8,Minimum,Minimum,Correct TS
PATHID,0,-6.8,13.5,12.2,-63,20.2,19,Minimum,Minimum,Correct TS
PATTEJ,0,-14.7,12.4,9.7,-63,27.1,24.4,Minimum,Minimum,Correct TS
PAVCUM,0,-10.5,4.1,9.4,-63,14.6,19.8,Minimum,Minimum,Correct TS
PAWRIR,0,-4,21.5,13.5,-63,25.5,17.5,Minimum,Minimum,Correct TS
PAWSEN,0,-14.5,10.6,9.1,-63,25,23.6,Minimum,Minimum,Correct TS
PAXCEZ,0,-17.9,-1.2,3,-63,16.7,20.8,Minimum,Minimum,Correct TS
PAXTIT,0,-7.3,9.2,10.5,-63,16.4,17.8,Minimum,Minimum,Correct TS
PAZDAW,0,-8.1,8.9,9.7,-63,17,17.8,Minimum,Minimum,Correct TS
