Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 2 (TSSig)
MORPUF,0,-3.3,14.8,15,-63,18.2,18.3,Minimum,Minimum,Correct TS
MORQES,0,-9.7,8.7,7.7,-63,18.5,17.5,Minimum,Minimum,Correct TS
MORVAR02,0,0.6,5.4,20.6,-63,5.4,20.6,Minimum,Minimum,Correct TS
MORXOJ,0,-15.3,7.6,9.4,-63,22.9,24.7,Minimum,Minimum,Correct TS
MOSCON,0,-61.4,-59.8,-38,-63,1.6,23.4,Minimum,Minimum,Correct TS
MOSLOW,0,-3.8,15.7,12.4,-63,19.5,16.1,Minimum,Minimum,Correct TS
MOSRAQ,0,-30.3,-5.3,6.8,-63,25,37,Minimum,Minimum,Correct TS
MOSRIW,0,-5.6,3.9,12.3,-63,9.5,17.9,Minimum,Minimum,Correct TS
MOSSOD,0,-5,-5.4,14.3,-63,-0.5,19.2,Minimum,Minimum,Correct TS
MOSYAV,0,-12.2,11.2,10.1,-63,23.3,22.2,Minimum,Minimum,Correct TS
MOTCII,0,-12.3,11.1,10.1,-63,23.4,22.4,Minimum,Minimum,Correct TS
MOTDUV,0,-9.9,-5.2,11.2,-63,4.7,21.2,Minimum,Minimum,Correct TS
MOWKOZ,0,-8.5,-7.2,16.1,-63,1.3,24.6,Minimum,Minimum,Correct TS
MOXCPB10,0,1.6,19,9.4,-63,19,9.4,Minimum,Minimum,Correct TS
MOXRUM,0,-1,-9.1,15.3,-63,-8,16.3,Minimum,Minimum,Correct TS
MOXSAT,0,-1,-6.9,15.9,-63,-5.9,16.8,Minimum,Minimum,Correct TS
MOXXAZ,0,-13.4,-8.2,12.9,-63,5.2,26.3,Minimum,Minimum,Correct TS
MOYKAP,0,-13.4,-4,16.1,-63,9.4,29.4,Minimum,Minimum,Correct TS
MOYSID,0,-14.2,-10.8,12.8,-63,3.4,27,Minimum,Minimum,Correct TS
MOYWOO,0,-4.7,-14.1,12.4,-63,-9.4,17.1,Minimum,Minimum,Correct TS
MOYWUU,0,-7.9,11.1,9.8,-63,19,17.7,Minimum,Minimum,Correct TS
MOYXAB01,0,-7.8,11.2,9.8,-63,19,17.6,Minimum,Minimum,Correct TS
MOZQEY,0,-4.8,14.6,11.3,-63,19.5,16.1,Minimum,Minimum,Correct TS
MPYDCX,0,-11.4,9.2,9.6,-63,20.5,20.9,Minimum,Minimum,Correct TS
MPYDCX01,0,0.1,20.9,14.5,-63,20.9,14.5,Minimum,Minimum,Correct TS
MPYTPA,0,-13.7,-8.6,13.7,-63,5.1,27.4,Minimum,Minimum,Correct TS
MQUCXA10,0,-3.3,-2,13.9,-63,1.3,17.2,Minimum,Minimum,Correct TS
MSEHPD,0,-12.6,0.4,9.4,-63,13,21.9,Minimum,Minimum,Correct TS
MUBKIE,0,-5.8,-6.4,12.3,-63,-0.6,18.1,Minimum,Minimum,Correct TS
MUBQAC,0,-0.7,-0.6,15.8,-63,0.2,16.6,Minimum,Minimum,Correct TS
MUCHUO,0,-3.4,14.2,13.5,-63,17.6,16.9,Minimum,Minimum,Correct TS
MUCWOZ,0,-15.4,-3,5.8,-63,12.3,21.2,Minimum,Minimum,Correct TS
MUCWUF,0,-4.9,15.6,12.9,-63,20.6,17.8,Minimum,Minimum,Correct TS
MUDBEV,0,-5.1,17.9,13,-63,23.1,18.1,Minimum,Minimum,Correct TS
MUDCIX,0,-9.1,-2.6,9.4,-63,6.5,18.5,Minimum,Minimum,Correct TS
MUDDEU,0,-11,-1.4,16.1,-63,9.5,27.1,Minimum,Minimum,Correct TS
MUDFAV,0,-7.1,-6.4,17.1,-63,0.8,24.3,Minimum,Minimum,Correct TS
MUDGEA,0,-8.4,1.2,8.9,-63,9.6,17.3,Minimum,Minimum,Correct TS
MUDKAZ,0,-7.4,10.3,9.9,-63,17.7,17.3,Minimum,Minimum,Correct TS
MUDYEP,0,3.5,-22.7,10,-63,-22.7,10,Minimum,Minimum,Correct TS
MUDZER,0,-2.3,-5.1,13.1,-63,-2.8,15.4,Minimum,Minimum,Correct TS
MUDZIV,0,-3.8,-4.6,14,-63,-0.7,17.8,Minimum,Minimum,Correct TS
MUDZOB,0,-4.1,-3.6,12,-63,0.5,16.1,Minimum,Minimum,Correct TS
MUDZUJ,0,0.3,-6.6,22.2,-63,-6.6,22.2,Minimum,Minimum,Correct TS
MUFLAA,0,-4.5,11.3,12.6,-63,15.8,17.1,Minimum,Minimum,Correct TS
MUFSIP,0,-15.6,44,2.1,-63,59.6,17.6,Minimum,Minimum,Correct TS
MUFSUE,0,-6.8,5.5,9.9,-63,12.3,16.7,Minimum,Minimum,Correct TS
MUGCUO,0,-7.7,21.1,8.9,-63,28.8,16.5,Minimum,Minimum,Correct TS
MUGMIK,0,-16.5,14.3,9.1,-63,30.8,25.7,Minimum,Minimum,Correct TS
MUGNEH,0,-6,-5.5,19.3,-63,0.5,25.3,Minimum,Minimum,Correct TS
MUGNOR,0,-6.8,-6.4,12.5,-63,0.4,19.3,Minimum,Minimum,Correct TS
MUGQOW,0,-1.7,16.3,11.6,-63,18,13.3,Minimum,Minimum,Correct TS
MUGRAI,0,-10.1,8.7,8.4,-63,18.8,18.5,Minimum,Minimum,Correct TS
MUHZUK,0,-13.9,1.2,7.3,-63,15.1,21.2,Minimum,Minimum,Correct TS
MUJFIG,0,-3,2.5,9.1,-63,5.5,12.1,Minimum,Minimum,Correct TS
MUJFOM,0,-4.1,16.6,12.7,-63,20.7,16.8,Minimum,Minimum,Correct TS
MUJKEH,0,-10.7,12.3,6.4,-63,23,17.1,Minimum,Minimum,Correct TS
MUKBEA,0,-3.3,-13.7,15.1,-63,-10.4,18.4,Minimum,Minimum,Correct TS
MULHEH,0,-6,15,14.5,-63,21,20.5,Minimum,Minimum,Correct TS
MULMIR,0,-4.9,16.3,12.4,-63,21.2,17.3,Minimum,Minimum,Correct TS
MUMNOZ,0,-46.1,18.2,11.6,-63,64.3,57.6,Minimum,Minimum,Correct TS
MUNHUZ,0,-10.9,14.7,12.5,-63,25.6,23.4,Minimum,Minimum,Correct TS
MUPBOR,0,-2.3,-8.5,19.5,-63,-6.2,21.8,Minimum,Minimum,Correct TS
MUQKIT,0,-2.7,-6.2,12.7,-63,-3.6,15.3,Minimum,Minimum,Correct TS
MUQVIE,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS
MUQXIH,0,-14,4.6,9.2,-63,18.5,23.2,Minimum,Minimum,Correct TS
MURDAE,0,-4.5,122.9,11.7,-63,127.4,16.2,Minimum,Minimum,Correct TS
MURDOS,0,-5.7,16.5,12.6,-63,22.2,18.3,Minimum,Minimum,Correct TS
MURDUY,0,-10.7,10.8,11.2,-63,21.5,21.9,Minimum,Minimum,Correct TS
MUSBIN,0,-13.2,-11.7,13.5,-63,1.5,26.7,Minimum,Minimum,Correct TS
MUSNET,0,-3.6,0.3,14.9,-63,3.9,18.5,Minimum,Minimum,Correct TS
MUSTIF,0,-15,-9.7,5.9,-63,5.3,20.9,Minimum,Minimum,Correct TS
MUSVUR,0,0.8,19.9,17.5,-63,19.9,17.5,Minimum,Minimum,Correct TS
MUTWON,0,-7.7,6.7,12.9,-63,14.4,20.5,Minimum,Minimum,Correct TS
MUTWOP,0,-16.4,-10.8,12.8,-63,5.6,29.2,Minimum,Minimum,Correct TS
MUVGEQ,0,-16.5,-9.7,10.4,-63,6.8,26.8,Minimum,Minimum,Correct TS
MUVNAS,0,1.1,3,18.3,-63,3,18.3,Minimum,Minimum,Correct TS
MUXBIR,0,-12.2,13.3,13.7,-63,25.5,25.9,Minimum,Minimum,Correct TS
MUXGIX,0,-15.8,-26,7.1,-63,-10.1,23,Minimum,Minimum,Correct TS
MUYSEF,0,-14.2,-10.9,11.4,-63,3.3,25.6,Minimum,Minimum,Correct TS
MUZHIA,0,-4.3,-2.3,9.1,-63,2,13.4,Minimum,Minimum,Correct TS
MUZSUW,0,-10,11.4,11,-63,21.4,21,Minimum,Minimum,Correct TS
MUZXIQ,0,-6.2,3.3,11.6,-63,9.5,17.8,Minimum,Minimum,Correct TS
MXNSAC20,0,-9.9,9,7.9,-63,18.9,17.8,Minimum,Minimum,Correct TS
MXURID01,0,-13.6,-10.5,15.3,-63,3,28.8,Minimum,Minimum,Correct TS
MXZTCE10,0,-5.7,7.9,11.8,-63,13.7,17.6,Minimum,Minimum,Correct TS
NAAMPH10,0,-12.1,-2,12.1,-63,10.1,24.3,Minimum,Minimum,Correct TS
NABFEE,0,-8.2,-8.9,12,-63,-0.7,20.2,Minimum,Minimum,Correct TS
NABKAF,0,2.2,-2.6,No Value,-63,-2.6,No Value,Minimum,Minimum,Correct TS
NABSUI,0,-11.5,-22,7.9,-63,-10.5,19.4,Minimum,Minimum,Correct TS
NACBUA,0,-12.9,-11.6,12.9,-63,1.3,25.8,Minimum,Minimum,Correct TS
NACVAL,0,-11.5,18,12.6,-63,29.5,24.1,Minimum,Minimum,Correct TS
NACWAP,0,-5.2,-13.1,18.8,-63,-7.9,24,Minimum,Minimum,Correct TS
NADGIL,0,-10.2,2.5,13.8,-63,12.7,24,Minimum,Minimum,Correct TS
NADJEK,0,-2.7,-11.2,18.6,-63,-8.4,21.3,Minimum,Minimum,Correct TS
NADMIO,0,-12.4,-16.8,13.2,-63,-4.5,25.5,Minimum,Minimum,Correct TS
NADMUB,0,-8.1,-6.6,14,-63,1.5,22.1,Minimum,Minimum,Correct TS
NADNIP,0,0.1,-14.4,21.2,-63,-14.4,21.2,Minimum,Minimum,Correct TS
NADPAK,0,-1.1,-8.2,21.5,-63,-7.1,22.6,Minimum,Minimum,Correct TS
NADREN,0,-1.1,-11,17.6,-63,-9.9,18.7,Minimum,Minimum,Correct TS
NADRHC,0,-2.6,-9.3,17.4,-63,-6.7,20,Minimum,Minimum,Correct TS
NADTRT,0,-1.8,-7.3,21.6,-63,-5.6,23.4,Minimum,Minimum,Correct TS
NADVUN,0,-9,9.9,13.2,-63,18.9,22.2,Minimum,Minimum,Correct TS
NAFHOR,0,-15.3,-10.8,19.4,-63,4.6,34.7,Minimum,Minimum,Correct TS
NAFNUE,0,-1.9,13.2,13.2,-63,15.1,15.1,Minimum,Minimum,Correct TS
NAFSIA,0,-21.2,-4.1,3.1,-63,17.1,24.3,Minimum,Minimum,Correct TS
NAFTEU,0,-3.8,19.1,28.3,-63,22.9,32.1,Minimum,Minimum,Correct TS
NAFYUR,0,-2.4,-3.9,12.1,-63,-1.4,14.5,Minimum,Minimum,Correct TS
NAFZOL,0,-8.2,-3.1,10.3,-63,5.2,18.6,Minimum,Minimum,Correct TS
NAGBAY,0,-1.3,2,14.3,-63,3.3,15.6,Minimum,Minimum,Correct TS
NAGCED,0,-12.1,2.9,7.5,-63,15.1,19.7,Minimum,Minimum,Correct TS
NAGFIK,0,-2.2,3.6,26.9,-63,5.8,29,Minimum,Minimum,Correct TS
NAGLAI,0,-11.9,-12.8,8.8,-63,-0.9,20.7,Minimum,Minimum,Correct TS
NAGNUG,0,-7.8,-1.2,12,-63,6.5,19.7,Minimum,Minimum,Correct TS
NAGTAU,0,-2.7,-10.3,12.4,-63,-7.5,15.1,Minimum,Minimum,Correct TS
NAGZOL,0,-0.1,-15.5,22.3,-63,-15.4,22.4,Minimum,Minimum,Correct TS
NAHCUY,0,-10.3,14.1,12.9,-63,24.4,23.2,Minimum,Minimum,Correct TS
NAHRIX,0,-19.2,-9.8,2.8,-63,9.4,22,Minimum,Minimum,Correct TS
NAHTAS,0,-4.9,17.5,13.3,-63,22.5,18.2,Minimum,Minimum,Correct TS
NAKHUG,0,-13.9,-9.6,13.5,-63,4.3,27.4,Minimum,Minimum,Correct TS
NAKKIX,0,-3.3,14.8,11.2,-63,18.1,14.5,Minimum,Minimum,Correct TS
NAKZUU,0,-12.8,-6,7,-63,6.8,19.9,Minimum,Minimum,Correct TS
NAMALN10,0,-2.5,-6.4,17.2,-63,-3.9,19.7,Minimum,Minimum,Correct TS
NAMLUL,0,-3.3,-348010.2,16.3,-63,-348007,19.6,Minimum,Minimum,Correct TS
NAMPIB,0,-6.2,11.9,10.5,-63,18,16.6,Minimum,Minimum,Correct TS
NAMQIE,0,-17.7,-0.4,13.1,-63,17.3,30.8,Minimum,Minimum,Correct TS
NAMVOM,0,-1.6,-12.8,19.3,-63,-11.2,20.8,Minimum,Minimum,Correct TS
NAMYIJ,0,-7.9,-1.3,14.8,-63,6.7,22.7,Minimum,Minimum,Correct TS
NANMAQ,0,-8.3,-5.9,13.7,-63,2.4,22,Minimum,Minimum,Correct TS
NANPCX,0,-13.2,282.5,306.8,-63,295.6,320,Minimum,Minimum,Correct TS
NANQEZ,0,-7.3,-10.2,12.9,-63,-3,20.2,Minimum,Minimum,Correct TS
NAPDCX,0,-6.7,-11.4,13.2,-63,-4.7,19.8,Minimum,Minimum,Correct TS
NAPRUT,0,-9.9,9.7,14.1,-63,19.6,24,Minimum,Minimum,Correct TS
NAQLUO,0,-1.5,-6,20.6,-63,-4.5,22.2,Minimum,Minimum,Correct TS
NAQXEL,0,-7.4,11.4,12.8,-63,18.8,20.2,Minimum,Minimum,Correct TS
NARBAJ,0,-2.4,17.2,23.5,-63,19.6,25.8,Minimum,Minimum,Correct TS
NARCAN,0,-3.8,33.9,28.7,-63,37.7,32.5,Minimum,Minimum,Correct TS
NARDAO,0,-6.3,-11.4,12.8,-63,-5.1,19.1,Minimum,Minimum,Correct TS
NARXEJ,0,-11.8,-10.5,10.7,-63,1.3,22.5,Minimum,Minimum,Correct TS
NARYEK,0,-13.4,-17.5,8,-63,-4.1,21.4,Minimum,Minimum,Correct TS
NASQAZ,0,-14.2,-10.1,12.1,-63,4.1,26.3,Minimum,Minimum,Correct TS
NASREE,0,-11,15.9,13.6,-63,26.9,24.6,Minimum,Minimum,Correct TS
NASVAF,0,-13.9,-14.3,11.7,-63,-0.4,25.6,Minimum,Minimum,Correct TS
NASWAI,0,-0.2,14.9,14,-63,15.1,14.1,Minimum,Minimum,Correct TS
NATHOG,0,-17.1,3.6,4.9,-63,20.7,21.9,Minimum,Minimum,Correct TS
NATHQU,0,-3.9,19.2,13.8,-63,23.1,17.7,Minimum,Minimum,Correct TS
NATPUT,0,-5.4,10,16.6,-63,15.4,22,Minimum,Minimum,Correct TS
NATSEJ,0,-8.8,11.4,8.1,-63,20.2,16.9,Minimum,Minimum,Correct TS
NATSIN,0,-9,11.9,8.5,-63,21,17.5,Minimum,Minimum,Correct TS
NATTIO,0,-8.2,11.8,8.5,-63,20,16.7,Minimum,Minimum,Correct TS
NAWHID,0,-6.8,14.3,12.3,-63,21.1,19,Minimum,Minimum,Correct TS
NAXCIA,0,-9.3,-9.4,12.7,-63,-0.1,22,Minimum,Minimum,Correct TS
NAXCIY,0,-6.3,14,12.2,-63,20.3,18.5,Minimum,Minimum,Correct TS
NAXJIH,0,-10.2,28.2,7.2,-63,38.4,17.5,Minimum,Minimum,Correct TS
NAXTEM,0,-13,-12.1,11.6,-63,0.9,24.6,Minimum,Minimum,Correct TS
NAYKIK,0,-8.4,-10.3,11.6,-63,-1.9,20.1,Minimum,Minimum,Correct TS
NAYLAB,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Correct TS
NAYTAJ,0,-6.9,14.2,10.5,-63,21.1,17.4,Minimum,Minimum,Correct TS
NAZPUC,0,-11.7,4.2,7.8,-63,15.9,19.5,Minimum,Minimum,Correct TS
NAZQOV,0,-4.5,-9.7,11.7,-63,-5.2,16.2,Minimum,Minimum,Correct TS
NBZOAO03,0,-8.8,12.9,11.7,-63,21.8,20.5,Minimum,Minimum,Correct TS
NEBFIM,0,-3.2,4.9,25.2,-63,8.1,28.4,Minimum,Minimum,Correct TS
NEBPIW,0,-12.4,-31.3,6.9,-63,-18.9,19.2,Minimum,Minimum,Correct TS
NEBYID,0,-5,-5.5,14,-63,-0.5,19,Minimum,Minimum,Correct TS
NECCAC,0,-11.3,5.5,9.8,-63,16.8,21.1,Minimum,Minimum,Correct TS
NECCEG,0,-11.3,6,9.5,-63,17.3,20.8,Minimum,Minimum,Correct TS
NEDJIS,0,-9.6,2.4,7.9,-63,12.1,17.6,Minimum,Minimum,Correct TS
NEDPOB,0,-16.7,0.7,10.9,-63,17.4,27.6,Minimum,Minimum,Correct TS
NEFGEN,0,-3.1,-5,18.5,-63,-1.9,21.6,Minimum,Minimum,Correct TS
NEFGOX,0,-12.7,-10.2,13.3,-63,2.5,26,Minimum,Minimum,Correct TS
NEFHOY,0,-3.1,-6.7,20.2,-63,-3.6,23.3,Minimum,Minimum,Correct TS
NEFQOF,0,-3.4,-6.3,14.6,-63,-2.8,18,Minimum,Minimum,Correct TS
NEFSUN,0,-5.6,17.3,14.6,-63,22.9,20.2,Minimum,Minimum,Correct TS
NEFVEZ,0,-5.2,-9,11.3,-63,-3.8,16.6,Minimum,Minimum,Correct TS
NEGRUP,0,-9.5,-3.7,10.7,-63,5.8,20.2,Minimum,Minimum,Correct TS
NEHBIO,0,-3.9,20.7,18.4,-63,24.6,22.3,Minimum,Minimum,Correct TS
NEHFIP,0,-8.8,10.2,8.7,-63,19,17.5,Minimum,Minimum,Correct TS
NEHKIV,0,-6.8,4.2,9.7,-63,10.9,16.4,Minimum,Minimum,Correct TS
NEHSEA,0,-15.6,5.4,5.9,-63,21,21.6,Minimum,Minimum,Correct TS
NEKNIA,0,-4.6,9.7,10.6,-63,14.3,15.1,Minimum,Minimum,Correct TS
NEKRUT,0,-6.2,3.8,12.3,-63,9.9,18.4,Minimum,Minimum,Correct TS
NELNID,0,-5.7,11.1,13.3,-63,16.8,19,Minimum,Minimum,Correct TS
NELTON,0,-2.2,-9.5,19.5,-63,-7.4,21.6,Minimum,Minimum,Correct TS
NENGAQ,0,-14.5,-11,13,-63,3.4,27.5,Minimum,Minimum,Correct TS
NENKOH,0,-11.6,7.9,6.5,-63,19.5,18,Minimum,Minimum,Correct TS
NEPNTH,0,-13.5,9.5,10.1,-63,23,23.5,Minimum,Minimum,Correct TS
NEQGEY,0,-6.1,-4.7,12,-63,1.4,18.1,Minimum,Minimum,Correct TS
NEQJEY,0,-0.2,-5.1,13.2,-63,-4.9,13.5,Minimum,Minimum,Correct TS
NEQNEE,0,-6.2,-6.5,12.6,-63,-0.3,18.9,Minimum,Minimum,Correct TS
NEQTEJ,0,-8.3,1,10.9,-63,9.3,19.2,Minimum,Minimum,Correct TS
NERDOE,0,-14.3,13,7.7,-63,27.2,22,Minimum,Minimum,Correct TS
NERJOK,0,-4,-6.3,14.2,-63,-2.3,18.2,Minimum,Minimum,Correct TS
NERPUX,0,-15.5,4,4.6,-63,19.5,20.2,Minimum,Minimum,Correct TS
NERVIQ,0,-6.1,-4.3,15.7,-63,1.8,21.8,Minimum,Minimum,Correct TS
NESDOH,0,-15.7,-10.7,14.3,-63,5.1,30,Minimum,Minimum,Correct TS
NESKUT,0,-9.7,59.7,16.9,-63,69.4,26.6,Minimum,Minimum,Correct TS
NESSAI,0,-14,-11.4,12.4,-63,2.5,26.4,Minimum,Minimum,Correct TS
NESTEL,0,-9,11.2,12,-63,20.2,21,Minimum,Minimum,Correct TS
NESVEN,0,-2.1,-5.6,13.4,-63,-3.5,15.5,Minimum,Minimum,Correct TS
NETJUR04,0,-17.2,-1.9,4.2,-63,15.3,21.4,Minimum,Minimum,Correct TS
NETZEU,0,-9.7,10.9,10.8,-63,20.6,20.5,Minimum,Minimum,Correct TS
NEVLUX,0,-12.3,15.3,11.2,-63,27.6,23.5,Minimum,Minimum,Correct TS
NEWBOH,0,-2.8,-6,12.9,-63,-3.2,15.6,Minimum,Minimum,Correct TS
NEWLIK,0,-4.2,15.8,15.4,-63,20,19.7,Minimum,Minimum,Correct TS
NEXJOQ,0,-4,2.8,13.3,-63,6.8,17.3,Minimum,Minimum,Correct TS
NEXMUA,0,-4.9,7.9,9.8,-63,12.7,14.7,Minimum,Minimum,Correct TS
NEXNAH,0,-2.4,-3.8,21.8,-63,-1.5,24.2,Minimum,Minimum,Correct TS
NEXZIZ,0,-9.5,24.4,6.4,-63,33.9,15.9,Minimum,Minimum,Correct TS
NEYKIN,0,-10.8,8.4,7.6,-63,19.3,18.4,Minimum,Minimum,Correct TS
NEZKAH,0,-6.2,-12,14.2,-63,-5.8,20.4,Minimum,Minimum,Correct TS
NHQUSA,0,-8.6,14.1,13.9,-63,22.7,22.5,Minimum,Minimum,Correct TS
NIBYAY,0,-3.8,-8.3,20.3,-63,-4.5,24.1,Minimum,Minimum,Correct TS
NIBYEC,0,-3,-6.7,18.6,-63,-3.8,21.6,Minimum,Minimum,Correct TS
NICCEH,0,-6.5,9.8,9.9,-63,16.3,16.3,Minimum,Minimum,Correct TS
NICNOE,0,-3.2,14.1,14.1,-63,17.4,17.4,Minimum,Minimum,Correct TS
NIDNAP,0,-13.8,1.1,7,-63,14.8,20.7,Minimum,Minimum,Correct TS
NIDNOG,0,-1.2,15.1,11.3,-63,16.4,12.6,Minimum,Minimum,Correct TS
NIFFIS,0,-12.5,-2,7.8,-63,10.5,20.3,Minimum,Minimum,Correct TS
NIFGUE,0,-13.5,-10,12.5,-63,3.5,26,Minimum,Minimum,Correct TS
NIFHES,0,-6.6,15.3,10.3,-63,21.9,16.8,Minimum,Minimum,Correct TS
NIFJOB,0,-3.4,19.9,13.7,-63,23.3,17.1,Minimum,Minimum,Correct TS
NIFLUM10,0,-14.5,-6.6,12.4,-63,8,27,Minimum,Minimum,Correct TS
NIFVAC,0,-10.4,9.5,9.8,-63,19.9,20.2,Minimum,Minimum,Correct TS
NIFVEG,0,-4,16.6,12.5,-63,20.6,16.5,Minimum,Minimum,Correct TS
NIFVIK,0,-11.4,9.3,9.2,-63,20.7,20.6,Minimum,Minimum,Correct TS
NIGMUO,0,1.8,15,10.5,-63,15,10.5,Minimum,Minimum,Correct TS
NIGNEY,0,-11.7,-1.8,8.8,-63,9.9,20.5,Minimum,Minimum,Correct TS
NIGVIK,0,-7.3,2.3,7.8,-63,9.6,15.1,Minimum,Minimum,Correct TS
NIGZEJ,0,-7,16,12.4,-63,23,19.4,Minimum,Minimum,Correct TS
NIJXEL,0,-12.7,-10.1,8.4,-63,2.6,21.1,Minimum,Minimum,Correct TS
NIKBAN,0,-4.6,21,15.1,-63,25.6,19.7,Minimum,Minimum,Correct TS
NIKJID,0,-0.5,20.3,14.4,-63,20.8,14.8,Minimum,Minimum,Correct TS
NIKJUP,0,-1.3,19.8,19,-63,21.1,20.3,Minimum,Minimum,Correct TS
NIKMAY,0,-7.9,-1.1,8.8,-63,6.8,16.7,Minimum,Minimum,Correct TS
NIKXAG,0,-7.9,-8.4,11.3,-63,-0.5,19.2,Minimum,Minimum,Correct TS
NILLEB,0,-5.7,17,11.1,-63,22.6,16.8,Minimum,Minimum,Correct TS
NILQUW,0,-5.1,17.2,13.1,-63,22.3,18.2,Minimum,Minimum,Correct TS
NILVEL,0,-3.7,86.1,11.5,-63,89.8,15.2,Minimum,Minimum,Correct TS
NILZAM,0,-14.3,10.3,9.7,-63,24.6,24,Minimum,Minimum,Correct TS
NIMFUN,0,-3.3,1.4,10.1,-63,4.7,13.4,Minimum,Minimum,Correct TS
NIMHIB,0,-7.4,-9.8,13,-63,-2.4,20.4,Minimum,Minimum,Correct TS
NIMJIE,0,-7,-9.5,13.4,-63,-2.4,20.4,Minimum,Minimum,Correct TS
NIMKIE,0,-54.8,-43.4,-41.5,-63,11.4,13.3,Minimum,Minimum,Correct TS
NIMSOU,0,-4.9,3.3,16.1,-63,8.2,21,Minimum,Minimum,Correct TS
NINHYD01,0,-8.4,13.3,13.1,-63,21.6,21.5,Minimum,Minimum,Correct TS
NINLEB,0,-10,13.6,9.1,-63,23.6,19.1,Minimum,Minimum,Correct TS
NINRAE,0,3.2,-18.6,4.9,-63,-18.6,4.9,Minimum,Minimum,Correct TS
NIPGAW,0,-10.3,9.1,8.5,-63,19.4,18.8,Minimum,Minimum,Correct TS
NIPLED01,0,-8,13.9,12.2,-63,21.9,20.2,Minimum,Minimum,Correct TS
NIPLIH,0,-6.9,-6.1,14.8,-63,0.8,21.6,Minimum,Minimum,Correct TS
NIPQOU,0,-17.1,-10.7,10,-63,6.4,27,Minimum,Minimum,Correct TS
NIPVEO,0,-7,17.1,12.5,-63,24.1,19.5,Minimum,Minimum,Correct TS
NIPVUG,0,-9.6,15,9.2,-63,24.6,18.8,Minimum,Minimum,Correct TS
NIQJAB,0,-13.5,-4.9,8.6,-63,8.6,22,Minimum,Minimum,Correct TS
NIQNUX,0,-7.8,6.6,9.4,-63,14.4,17.2,Minimum,Minimum,Correct TS
NIRJII04,0,0.3,18.9,18.5,-63,18.9,18.5,Minimum,Minimum,Correct TS
NIRLUX,0,-5.6,-43,6.6,-63,-37.5,12.2,Minimum,Minimum,Correct TS
NISPAH,0,-6.8,-10.4,13.4,-63,-3.7,20.1,Minimum,Minimum,Correct TS
NIVJIM,0,-24.2,18.6,15.5,-63,42.8,39.8,Minimum,Minimum,Correct TS
NIVNAK,0,-13.2,-11.6,13.4,-63,1.7,26.6,Minimum,Minimum,Correct TS
NIVSAO,0,-2.6,-3.4,7.6,-63,-0.8,10.2,Minimum,Minimum,Correct TS
NIVYEZ,0,-12.1,1.1,10.6,-63,13.2,22.6,Minimum,Minimum,Correct TS
NIVYUM,0,-9.7,-7.4,19.7,-63,2.4,29.4,Minimum,Minimum,Correct TS
NIWQIU,0,-3.4,-3.3,17,-63,0.1,20.4,Minimum,Minimum,Correct TS
NIWZAV,0,-4.5,-10.2,11.1,-63,-5.7,15.6,Minimum,Minimum,Correct TS
NIWZOJ,0,-2.6,-9.7,11.9,-63,-7,14.5,Minimum,Minimum,Correct TS
NIXTAR,0,-6.9,-0.9,11.2,-63,6.1,18.1,Minimum,Minimum,Correct TS
NIXXAV,0,-2.4,-7.6,10.2,-63,-5.2,12.7,Minimum,Minimum,Correct TS
NIXXOK,0,-3.5,-13.3,23.5,-63,-9.8,27.1,Minimum,Minimum,Correct TS
NIYDUU01,0,-22.1,-6.7,2.3,-63,15.5,24.4,Minimum,Minimum,Correct TS
NIYKAK,0,-11.3,-2.7,4.4,-63,8.6,15.7,Minimum,Minimum,Correct TS
NIYSUL,0,-7.9,13.4,8.4,-63,21.3,16.3,Minimum,Minimum,Correct TS
NIYTEV,0,-25.7,-7.7,9.3,-63,18,35,Minimum,Minimum,Correct TS
NIYTOH,0,-5.4,-3.9,14.3,-63,1.5,19.7,Minimum,Minimum,Correct TS
NIZDAD,0,-3.5,-5.6,13.9,-63,-2.1,17.4,Minimum,Minimum,Correct TS
NIZMER,0,-6.1,-9.1,13,-63,-3,19.1,Minimum,Minimum,Correct TS
NIZPEU,0,-9,15.5,13.2,-63,24.6,22.2,Minimum,Minimum,Correct TS
NIZTUM,0,-6.9,2.3,10.4,-63,9.2,17.3,Minimum,Minimum,Correct TS
NIZYAY,0,-1.2,11.6,8.2,-63,12.8,9.4,Minimum,Minimum,Correct TS
NOBYAE,0,-8.7,19.9,10.3,-63,28.6,19.1,Minimum,Minimum,Correct TS
NOBYEI,0,-6.7,19.4,12.9,-63,26.1,19.6,Minimum,Minimum,Correct TS
NOCNEA,0,-7.3,18.6,7.7,-63,25.9,15,Minimum,Minimum,Correct TS
NOCNUQ,0,-9.1,0.5,16.9,-63,9.6,26,Minimum,Minimum,Correct TS
NODGAO,0,-3.7,1.4,11.1,-63,5.1,14.8,Minimum,Minimum,Correct TS
