Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
ULEJEC,0,-3.2,-9.6,13.2,-63,-6.4,16.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULEKAY,0,-5.8,13.6,11.3,-63,19.4,17,Minimum,Minimum,Correct TS,Correct TS
ULEPUX,0,-4.1,17.3,15.4,-63,21.4,19.5,Minimum,Minimum,Correct TS,Correct TS
ULEPUY,0,-8.3,-0.6,13.8,-63,7.7,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULEQAF,0,-6.2,17.9,13.4,-63,24.1,19.6,Not Minimum,Minimum,Correct TS,Correct TS
ULEREJ,0,-50.2,-46.9,9.2,-63,3.3,59.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULERUY,0,-9.7,-19.1,12.1,-63,-9.4,21.8,Minimum,Not Minimum,Incorrect TS,Correct TS
ULEWIR,0,-2.6,-7.9,16.1,-63,-5.3,18.7,Minimum,Not Minimum,Incorrect TS,Correct TS
ULEWIS,0,-12.3,-5.7,13.2,-63,6.6,25.5,Minimum,Not Minimum,Incorrect TS,Correct TS
ULEYAN,0,-12.4,-8.6,7.9,-63,3.8,20.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ULICOJ,0,-14.6,-10.3,12.1,-63,4.3,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULIHED,0,-13.6,-10.6,11.7,-63,2.9,25.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULIHUT,0,-14.5,10.1,12.6,-63,24.6,27.1,Not Minimum,Minimum,Correct TS,Correct TS
ULIKOQ,0,-9,9.8,8.7,-63,18.8,17.7,Minimum,Minimum,Correct TS,Correct TS
ULILOR01,0,-7.4,-9,10.4,-63,-1.6,17.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ULINOS01,0,-8.6,-13.9,13.8,-63,-5.3,22.4,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ULINUZ,0,0.6,20.1,12.8,-63,20.1,12.8,Minimum,Minimum,Correct TS,Correct TS
ULIPOV,0,-5,-8.5,11.7,-63,-3.5,16.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ULIPUB,0,-5.6,14.7,12.6,-63,20.3,18.2,Minimum,Minimum,Correct TS,Correct TS
ULUHUE,0,-14.7,7.4,10,-63,22.1,24.7,Minimum,Minimum,Correct TS,Correct TS
ULUVII,0,-4,15.3,13.5,-63,19.3,17.5,Minimum,Minimum,Correct TS,Correct TS
ULUVUS,0,-5,19.1,14,-63,24.1,19,Minimum,Minimum,Correct TS,Correct TS
ULUWAZ,0,-4.5,19.2,13.3,-63,23.7,17.8,Minimum,Minimum,Correct TS,Correct TS
ULUWED,0,-11,3.4,9.2,-63,14.4,20.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UMAKOK,0,-5.5,15.2,12.5,-63,20.7,18,Minimum,Minimum,Correct TS,Correct TS
UMAQEE,0,-2.3,18.1,13.1,-63,20.4,15.4,Minimum,Not Minimum,Correct TS,Correct TS
UMASAE,0,-4012.1,-4025.7,-3993.6,-63,-13.6,18.6,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UMAYOW,0,2.5,-10.7,22.8,-63,-10.7,22.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UMEXIV,0,-4,15.7,13.8,-63,19.7,17.8,Minimum,Minimum,Correct TS,Correct TS
UMEYOC,0,-12.9,2.1,8.3,-63,15.1,21.2,Minimum,Minimum,Incorrect TS,Correct TS
UMEZAP,0,-5.5,19.2,13,-63,24.7,18.5,Minimum,Minimum,Correct TS,Correct TS
UMICIE,0,-22.6,2.5,-13.7,-63,25.1,8.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
UMIDAX,0,-44,-26,-23,-63,18,21,Minimum,Minimum,Correct TS,Correct TS
UMIJAB,0,-10,0.5,14.4,-63,10.5,24.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UMILIL,0,-8.7,3.6,8.1,-63,12.2,16.8,Not Minimum,Minimum,Correct TS,Correct TS
UMIPOX,0,-13,-4.2,15.3,-63,8.8,28.3,Minimum,Minimum,Incorrect TS,Correct TS
UMIQUE,0,-4.9,14.6,13.6,-63,19.5,18.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UMIRAL,0,-7.1,14,13.7,-63,21.1,20.8,Minimum,Minimum,Correct TS,Correct TS
UMIWET,0,-13.6,1.2,8,-63,14.8,21.6,Not Minimum,Minimum,Correct TS,Correct TS
UMIYUM,0,-13.7,-7.5,15.9,-63,6.2,29.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UMOROD,0,-1.6,-9.9,12.2,-63,-8.4,13.8,Minimum,Minimum,Incorrect TS,Correct TS
UMOSAQ,0,-32.6,-53.6,-14.2,-63,-21,18.4,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UMUNUM,0,-8.2,-2.7,12.1,-63,5.5,20.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNALEB,0,-12.5,-5.4,7.8,-63,7.1,20.3,Minimum,Minimum,Incorrect TS,Correct TS
UNAZEQ,0,-4.5,15.7,11.7,-63,20.2,16.2,Minimum,Not Minimum,Correct TS,Correct TS
UNICEB,0,-3.7,11.4,11.2,-63,15,14.9,Not Minimum,Not Minimum,Correct TS,Correct TS
UNICIF,0,-5.7,-8.1,25.1,-63,-2.4,30.8,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UNIHII,0,-0.7,-8.3,21.8,-63,-7.6,22.5,Minimum,Not Minimum,Incorrect TS,Correct TS
UNITAN,0,-7.2,36.4,13.6,-63,43.6,20.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNODOQ,0,-12.4,14.2,12,-63,26.6,24.4,Minimum,Minimum,Incorrect TS,Correct TS
UNOJAI,0,-6.2,-8.1,12.8,-63,-1.8,19,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNOJEM,0,2.1,-39.2,-1.5,-63,-39.2,-1.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UNOJOW,0,-14.2,-9.5,12.6,-63,4.7,26.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNOPEU,0,-13.6,-9.7,14.9,-63,3.9,28.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UNOROG,0,-3.3,-10,10.5,-63,-6.7,13.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UNOZAZ,0,-3.5,-10.5,11.2,-63,-7,14.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UNUCEM,0,-1.2,17.6,15.6,-63,18.8,16.8,Minimum,Minimum,Correct TS,Correct TS
UNUDUD02,0,-9.8,-8.7,7.2,-63,1.1,17,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNUGAM,0,-8.3,9.9,8.6,-63,18.3,16.9,Minimum,Minimum,Correct TS,Correct TS
UNUHIV,0,-11.2,3.5,6.7,-63,14.7,17.9,Minimum,Minimum,Correct TS,Correct TS
UNUNIB,0,-8.2,13.3,12.5,-63,21.5,20.7,Not Minimum,Minimum,Correct TS,Correct TS
UNUPEA,0,-1.4,-7.8,12.8,-63,-6.4,14.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNURIF,0,-9.8,4.9,7.9,-63,14.6,17.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UNUTUT,0,-7.3,22.8,10.2,-63,30.1,17.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UNUWEG,0,0.5,20.4,12.3,-63,20.4,12.3,Minimum,Minimum,Correct TS,Correct TS
UNUZIN,0,-13.2,-8.7,13.3,-63,4.5,26.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPABOD,0,-0.9,9.8,12.8,-63,10.7,13.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPACUK,0,-2.8,-8.3,13.8,-63,-5.5,16.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UPAGOI,0,-8.9,-12.1,11.1,-63,-3.2,20,Not Minimum,Not Minimum,Incorrect TS,Correct TS
UPAHEA,0,-4.5,-10.3,13,-63,-5.8,17.5,Minimum,Minimum,Incorrect TS,Correct TS
UPAHEZ,0,-12.9,13.4,10.1,-63,26.2,23,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPAHUQ,0,-20.4,-6.6,-6,-63,13.8,14.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UPALED,0,-6.6,15.4,13.9,-63,22,20.5,Minimum,Minimum,Correct TS,Correct TS
UPANIJ,0,-8.1,14,12.2,-63,22.1,20.4,Minimum,Minimum,Correct TS,Correct TS
UPANUW,0,-9.4,0.7,5.3,-63,10.2,14.7,Minimum,Not Minimum,Correct TS,Correct TS
UPAPEH,0,-8.8,10,8.9,-63,18.7,17.6,Minimum,Minimum,Correct TS,Correct TS
UPATEM,0,-3.7,11.8,10.7,-63,15.6,14.4,Minimum,Not Minimum,Correct TS,Correct TS
UPAVEO,0,6.2,17.2,13.6,-63,17.2,13.6,Minimum,Minimum,Correct TS,Correct TS
UPAXAL,0,-7,14.1,13.8,-63,21.1,20.9,Minimum,Minimum,Correct TS,Correct TS
UPAYAM,0,-2,-3.4,16,-63,-1.4,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPEBOH,0,0.7,3.8,14.7,-63,3.8,14.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPEJAC,0,-2.5,-10.1,11.8,-63,-7.5,14.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPENEJ,0,-5.9,-10.2,13.5,-63,-4.3,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPENIN,0,-4.3,-8.6,13.7,-63,-4.2,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPENOT,0,-4.2,-1.5,15.8,-63,2.8,20,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UPENUZ,0,-7.9,-3.1,14.2,-63,4.8,22.1,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
UPEPAH,0,-3.6,-4.5,15.7,-63,-0.9,19.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UPEPIP,0,-7.9,-5.5,15.6,-63,2.4,23.5,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
UPETOA,0,-4.1,-4.5,18.6,-63,-0.3,22.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPIBIF,0,-5.6,5.1,13.8,-63,10.7,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPIHIM,0,-5.1,-4.2,16.1,-63,0.9,21.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UPIQUH,0,-12.2,15,10.4,-63,27.3,22.6,Minimum,Minimum,Correct TS,Correct TS
UPIVIZ,0,-10.8,-12,18.4,-63,-1.2,29.2,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UPOBAD,0,-13.7,-10.4,12.8,-63,3.4,26.5,Minimum,Minimum,Incorrect TS,Correct TS
UPOBIM,0,-56.7,-41.8,4.3,-63,14.9,61,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UPOBUY,0,-10.7,-4.1,3.9,-63,6.5,14.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPOCEJ,0,-17,-5.8,-13.8,-63,11.1,3.2,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
UPOCOT,0,-11.5,-11.1,9.8,-63,0.4,21.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UPOGAJ,0,-1.7,-5.4,22.4,-63,-3.7,24.1,Minimum,Minimum,Incorrect TS,Correct TS
UPUMAU,0,-4.8,12.1,12.5,-63,16.9,17.3,Minimum,Minimum,Correct TS,Correct TS
UQAFAV,0,-2.5,-4.8,17.2,-63,-2.3,19.6,Minimum,Minimum,Incorrect TS,Correct TS
UQAFEZ,0,-17.1,15.2,13.8,-63,32.2,30.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
UQEFIH,0,3.4,-11.6,22.3,-63,-11.6,22.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
UQEHAA,0,-2.7,-10.9,14,-63,-8.2,16.7,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UQEKIL,0,-61.1,-42.8,-48.5,-63,18.3,12.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UQENEK,0,-10.3,13,8.6,-63,23.3,18.9,Not Minimum,Minimum,Correct TS,Correct TS
UQENIO,0,-6,7.2,17.3,-63,13.2,23.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQETUG,0,-9.4,64.9,13.1,-63,74.2,22.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQETUH,0,-10,6.7,8.4,-63,16.6,18.4,Minimum,Minimum,Incorrect TS,Correct TS
UQEVUJ,0,-8.9,-0.6,11.2,-63,8.3,20.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQEXOE,0,-8.2,12.7,10.4,-63,20.9,18.6,Minimum,Minimum,Correct TS,Correct TS
UQEZUM,0,-3.4,-7.9,10.4,-63,-4.5,13.9,Not Minimum,Minimum,Incorrect TS,Correct TS
UQIBAZ,0,-3.5,16.4,14.4,-63,19.9,17.9,Minimum,Minimum,Correct TS,Correct TS
UQIBED,0,-3.1,14.7,11.4,-63,17.7,14.5,Minimum,Minimum,Correct TS,Correct TS
UQIHAE,0,-1.4,-0.8,14.7,-63,0.6,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQIHEI,0,-5.2,-6.6,12.7,-63,-1.4,17.9,Minimum,Minimum,Incorrect TS,Correct TS
UQIQOB,0,-15.4,-10.6,2.6,-63,4.8,18.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQOJIU,0,-20.8,-8.9,-11.4,-63,11.9,9.4,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
UQUDOA,0,-6.7,11.2,10.7,-63,17.9,17.4,Minimum,Minimum,Correct TS,Correct TS
UQUDUG,0,0.5,-10.1,12.9,-63,-10.1,12.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UQUDUH01,0,-3.4,-1.7,13.9,-63,1.7,17.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URAHIF,0,-13.7,-10.8,12.3,-63,2.9,26,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URAHIG,0,-12.8,1.9,8.7,-63,14.7,21.5,Minimum,Minimum,Incorrect TS,Correct TS
URAJUT,0,-14.1,-11.3,12.5,-63,2.8,26.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URAKUU,0,-5.6,16.9,12.5,-63,22.5,18.1,Minimum,Minimum,Correct TS,Correct TS
URALUV,0,-13.5,-8.3,13.8,-63,5.2,27.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URANEH,0,-14.4,-6.6,12,-63,7.8,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URAQEK07,0,2.7,25.2,14,-63,25.2,14,Minimum,Not Minimum,Correct TS,Correct TS
URASIQ,0,-13.4,-5.5,18.6,-63,7.9,32.1,Minimum,Minimum,Incorrect TS,Correct TS
URATIS,0,-6,-3.4,13.4,-63,2.6,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URAYAO,0,-12.8,8.1,9.2,-63,20.9,22,Minimum,Minimum,Correct TS,Correct TS
URECOK,0,-5.4,-4.1,12.5,-63,1.3,18,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URECUQ,0,-6.1,0.4,17.1,-63,6.5,23.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UREDAX,0,-5.6,-3.8,11.9,-63,1.8,17.4,Minimum,Minimum,Incorrect TS,Correct TS
UREDEB,0,-10.4,-6.4,15.1,-63,3.9,25.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UREGOO,0,-11.9,-28.8,6,-63,-16.9,17.9,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UREGUU,0,-5,15.5,8.5,-63,20.5,13.5,Minimum,Minimum,Correct TS,Correct TS
UREJIL01,0,-19.4,-12.4,-9.3,-63,7,10.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UREJUX,0,-43.4,-21.9,-22.7,-63,21.5,20.7,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
URELIO,0,-6.5,-11,14.1,-63,-4.5,20.7,Minimum,Minimum,Incorrect TS,Correct TS
UREPAJ,0,-29.4,-22.7,-23.9,-63,6.7,5.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
URESIU,0,-13.9,13.4,12.1,-63,27.3,26,Minimum,Minimum,Correct TS,Correct TS
URESOA,0,-7.8,-9.9,13.2,-63,-2.1,21,Not Minimum,Minimum,Incorrect TS,Correct TS
UREWEU,0,-8.3,13.4,13.2,-63,21.7,21.5,Minimum,Not Minimum,Correct TS,Correct TS
URICAC02,0,-10.5,-5.2,11.6,-63,5.3,22.2,Minimum,Minimum,Incorrect TS,Correct TS
UROAME,0,-12.9,-9.1,14.9,-63,3.8,27.8,Minimum,Not Minimum,Incorrect TS,Correct TS
UROHOZ,0,-12.5,1.4,8.3,-63,13.9,20.8,Minimum,Minimum,Incorrect TS,Correct TS
UROHUF,0,-11.8,-1.4,7.6,-63,10.4,19.4,Minimum,Not Minimum,Incorrect TS,Correct TS
UROJIW,0,-6.4,12.9,8.6,-63,19.2,15,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UROTIG,0,-10.8,15,11.8,-63,25.8,22.6,Not Minimum,Minimum,Correct TS,Correct TS
UROWAB,0,-3.7,-1.6,15.7,-63,2.2,19.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
URUPED,0,-2.7,-9.6,14.8,-63,-6.9,17.5,Minimum,Not Minimum,Incorrect TS,Correct TS
URUQUU,0,-3.7,-13.5,10.6,-63,-9.8,14.4,Minimum,Minimum,Incorrect TS,Correct TS
URURIJ,0,-6.5,15,10.6,-63,21.5,17.1,Minimum,Not Minimum,Correct TS,Correct TS
USALIK,0,-5.4,-12.1,13.7,-63,-6.7,19.1,Minimum,Minimum,Incorrect TS,Correct TS
USAVAN,0,-3.9,19.3,13.7,-63,23.1,17.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
USEGAC,0,-14.2,-10.2,12.2,-63,3.9,26.3,Not Minimum,Minimum,Incorrect TS,Correct TS
USEWAS,0,-4.1,19,17.1,-63,23.1,21.2,Minimum,Minimum,Correct TS,Correct TS
USEWIA,0,-3.3,-2.1,13.7,-63,1.2,17,Minimum,Not Minimum,Incorrect TS,Correct TS
USIJUC,0,-23.4,-8,-12.5,-63,15.4,10.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
USIWEZ,0,-5.1,-15.5,13.1,-63,-10.3,18.2,Minimum,Minimum,Incorrect TS,Correct TS
USNICA11,0,-2.9,14.7,8.3,-63,17.7,11.3,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
USOGEQ,0,-13.7,-9.7,13,-63,4,26.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
USOKET,0,-6.9,15.1,9,-63,22,15.9,Not Minimum,Minimum,Correct TS,Correct TS
USOMEV,0,-12.4,7.2,10.4,-63,19.6,22.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
USOMIZ,0,-11.7,14.1,10,-63,25.8,21.7,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
USOMOF,0,-4.9,-5.1,18.4,-63,-0.2,23.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
USOTEC,0,-11.2,10.2,8.2,-63,21.5,19.4,Minimum,Minimum,Correct TS,Correct TS
USUGOF,0,4.8,-7.4,23.4,-63,-7.4,23.4,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
USUHEW,0,-3.9,23.9,16.5,-63,27.8,20.4,Minimum,Minimum,Correct TS,Correct TS
USULUQ,0,-7.1,5.9,9.6,-63,13,16.7,Minimum,Not Minimum,Correct TS,Correct TS
USUNED,0,-14.8,1.5,4.7,-63,16.3,19.5,Minimum,Minimum,Correct TS,Correct TS
UTANEK,0,-32.8,191.6,6.1,-63,224.4,38.9,Minimum,Not Minimum,Incorrect TS,Correct TS
UTAQOX,0,-4.8,16.3,17.2,-63,21.1,22,Minimum,Not Minimum,Correct TS,Correct TS
UTEPAL,0,-13.6,-10.5,13.5,-63,3.1,27.1,Minimum,Minimum,Incorrect TS,Correct TS
UTEVAS,0,-11.6,7.4,8.4,-63,19,20,Minimum,Not Minimum,Correct TS,Correct TS
UTEZIE,0,-13.7,-11.7,13.5,-63,2,27.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UTIDIL,0,-7.3,15.4,12.1,-63,22.6,19.4,Minimum,Not Minimum,Correct TS,Correct TS
UTILIU,0,-3.2,-8.9,17.6,-63,-5.7,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UTOHAN,0,-6.5,12.4,13,-63,18.9,19.5,Minimum,Minimum,Correct TS,Correct TS
UTOHOB,0,-2.3,-8.8,17.7,-63,-6.5,20,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UTOJUJ,0,-18.7,-7.7,-5.6,-63,10.9,13.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UTUKAX,0,-7.1,-8.6,13.1,-63,-1.5,20.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UTUVIQ,0,-6.4,17.7,18.6,-63,24.1,25,Minimum,Not Minimum,Correct TS,Correct TS
UTUYEP,0,-0.3,17.7,12.6,-63,18,12.9,Not Minimum,Minimum,Correct TS,Correct TS
UVASOA,0,-15.1,-5.5,-1.1,-63,9.6,14.1,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UVAYIA,0,-8.2,-9.7,14,-63,-1.5,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UVEKEM,0,-5.1,20.3,13.1,-63,25.4,18.2,Minimum,Minimum,Correct TS,Correct TS
UVESUL,0,-4.3,13.4,12.9,-63,17.7,17.2,Minimum,Minimum,Correct TS,Correct TS
UVETAS,0,-5.3,-9.4,13,-63,-4.1,18.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UVIMIX,0,-6.4,-7.6,10.5,-63,-1.2,17,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UVOJEV,0,-8.2,14.2,10.6,-63,22.4,18.8,Minimum,Minimum,Correct TS,Correct TS
UVOJOG02,0,-5.4,18.3,10.9,-63,23.7,16.4,Minimum,Minimum,Correct TS,Correct TS
UVOYEK,0,-9.6,-5.7,11.6,-63,4,21.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UVUQOS,0,-2.5,14.1,13.1,-63,16.6,15.5,Minimum,Minimum,Correct TS,Correct TS
UVURAF,0,-6.7,14,11.9,-63,20.6,18.6,Minimum,Not Minimum,Correct TS,Correct TS
UVUTIQ,0,-16.4,1.7,7.9,-63,18.1,24.3,Minimum,Minimum,Correct TS,Correct TS
UVUYAN,0,-3.7,-9,11.4,-63,-5.3,15.1,Minimum,Minimum,Incorrect TS,Correct TS
UWABAW,0,-28.6,-19.4,-3.9,-63,9.2,24.7,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UWAHUW,0,0.5,-9,20.9,-63,-9,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UWAJAE,0,0.5,-14.7,23.5,-63,-14.7,23.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UWAKOU,0,-6.1,-5.3,12.3,-63,0.8,18.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UWATES,0,-2.3,14.9,11.6,-63,17.2,13.8,Minimum,Minimum,Correct TS,Correct TS
UWEJIQ,0,-18.6,-7.5,-7.1,-63,11.1,11.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UWEQEU,0,-13.2,-9.6,11.8,-63,3.6,25,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UWEQUJ,0,-7.5,-16.6,13,-63,-9,20.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UWOCUG,0,-69.3,-78.1,-47.4,-63,-8.8,21.9,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
UWOSOP,0,-14.8,-32.8,8,-63,-18.1,22.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UWUJAZ,0,-12.2,-1.3,4.1,-63,10.9,16.4,Minimum,Minimum,Correct TS,Correct TS
UWURUB,0,-16,2.3,0.2,-63,18.3,16.2,Minimum,Minimum,Correct TS,Correct TS
UXAMOX02,0,-9,12.5,7.6,-63,21.5,16.7,Minimum,Minimum,Correct TS,Correct TS
UXEFUA,0,-13444.2,-13456.3,No Value,-63,-12.1,No Value,Not Minimum,Minimum,Incorrect TS,Calc Fail
UXEPUK02,0,-2.8,-7.9,12.6,-63,-5.1,15.5,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UXEYEC,0,-5.5,20.8,12.3,-63,26.2,17.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UXEYIG,0,-5.2,19.8,12.3,-63,25,17.6,Minimum,Minimum,Correct TS,Correct TS
UXICAH01,0,-13,-7.4,10.9,-63,5.7,23.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UXILOE02,0,-8.6,14.4,9.7,-63,23,18.3,Minimum,Minimum,Correct TS,Correct TS
UXIPOH,0,-5.4,-6.4,21.6,-63,-1,27,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
UXOBIT,0,-12.3,-11.5,13.2,-63,0.8,25.6,Minimum,Not Minimum,Incorrect TS,Correct TS
UXOPAA,0,-6,-5.6,10.8,-63,0.4,16.9,Minimum,Minimum,Incorrect TS,Correct TS
UXUGEB,0,-13.7,-10.1,11,-63,3.7,24.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UXUHAX,0,-13.7,-13.8,11.7,-63,-0.1,25.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UXUJON,0,-10.3,1.3,7.8,-63,11.6,18.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
UXUKII,0,45.3,-18.8,18.9,-63,-18.8,18.9,Minimum,Minimum,Incorrect TS,Correct TS
