Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
WEZCUA,101.06,2.83,212.46,2.74,-3.2386,-3.1924,0.2904,-0.1697,1.2962,3.2141,5.8036,8.4374,0.262,0.9856,10.145,6.3373,12.6408,9.7315,1.4932,0.0543,16.3
TUVZIU,87.07,-21.95,176.67,1.52,-3.0251,-1.8692,0.2644,-0.2159,1.4293,2.0605,5.9122,6.9971,0.263,1.0749,10.1729,6.337,12.5647,9.8339,1.3407,0.0092,27.4
TEZZUU01,80.06,1.21,205.35,1.6,-3.6933,-2.9782,0.2644,-0.1857,1.3526,3.2437,5.8707,8.4103,0.2632,0.9997,10.1515,6.3295,12.6523,9.7538,1.4571,0.0599,17.3
KAXWUB,59.7,2.96,164.93,3.3,-2.6726,-2.0555,0.3526,-0.2157,1.3532,2.007,5.9084,8.5801,0.2634,1.021,10.1815,6.3361,12.52,9.7913,1.5238,0.0544,24.1
KAYGEY,64.19,1.07,190.68,2.23,-2.6389,-1.9463,0.2113,-0.2191,1.3686,2.8876,5.9111,7.0099,0.264,1.0383,10.1916,6.3644,12.6009,9.8234,1.4332,0.0101,25.1
LAPVUV,77.69,11.49,205.8,3.43,-3.051,-2.138,0.3214,-0.2033,1.2588,3.0469,5.756,8.4433,0.265,1.1012,10.1561,6.3362,12.5901,9.7523,1.489,0.1218,15.3
ANOVEG,87.01,8.6,185.68,2.77,-2.8931,-2.8565,0.3691,-0.2045,1.3216,1.9838,5.9013,8.3439,0.2653,1.0063,10.163,6.292,12.5859,9.7531,1.4743,0.0531,18.5
MUTWON,82.09,10.5,189.62,2.05,-3.5606,-2.7264,0.2927,-0.211,1.3332,1.9516,5.9765,7.1025,0.2656,1.0877,10.1559,6.3185,12.6407,9.7481,1.2658,0.0098,14.4
BEYPOL,64.34,0.82,206.6,2.76,-2.5986,-2.044,0.1905,-0.2125,1.3673,2.8293,5.9142,7.0236,0.2657,1.0244,10.195,6.3642,12.6117,9.8336,1.4317,0.01,29.5
XIFNIK02,64.18,1.17,196.54,2.54,-2.6564,-1.5829,0.2008,-0.2268,1.3694,2.9034,5.9049,7.036,0.2661,1.0757,10.1968,6.3632,12.6086,9.8274,1.427,0.011,25.1
UCOKUV,75.25,2.27,162.16,2,-2.8941,-2.0659,0.2871,-0.1961,1.3308,2.8075,5.8473,8.4451,0.2665,1.0055,10.1647,6.346,12.5891,9.7778,1.4797,0.0544,14.9
JEDZAT,84.04,0.08,175.86,2.39,-2.9796,-1.8696,0.3656,-0.2083,1.3726,1.9888,5.9591,8.3641,0.2666,1.0291,10.1632,6.3054,12.5319,9.7971,1.4574,0.0534,12
ZITMAS,84.54,9.48,171.81,3.56,-2.9733,-2.5294,0.3791,-0.1807,1.371,2.0299,5.8484,8.3835,0.2674,1.008,10.1518,6.3145,12.5574,9.7489,1.4407,0.0817,15.3
CELCAX,77.17,1.66,180.04,1.7,-3.2033,-2.0453,0.1993,-0.2261,1.3461,3.234,5.8547,7.0369,0.2674,1.0572,10.1751,6.357,12.6529,9.7908,1.341,0.0135,17.3
FAPLUD,63.57,1.46,168.58,1.98,-3.5462,-2.3327,0.2921,-0.072,0.7559,3.1179,5.2212,8.4749,0.2674,0.9678,10.061,6.3614,12.7035,9.6431,1.5836,0.0571,11.3
BTYRSB10,58.54,-10.93,144.05,2.28,-2.7183,-1.8025,0.3422,-0.2126,1.3545,1.8472,5.8794,8.4884,0.2695,1.018,10.1774,6.3507,12.5048,9.8023,1.5153,0.0432,25.1
RUWNAY,90.42,1.71,183.55,4.54,-2.4952,-2.0935,0.3673,-0.2104,1.3302,1.7665,5.8149,8.5033,0.2696,1.0231,10.1948,6.3113,12.5562,9.7652,1.5037,0.0725,26
OJUGIM,83.61,8.08,196.94,4.19,-2.8938,-1.918,0.3765,-0.2038,1.3433,1.9301,5.7591,8.4841,0.2698,1.0316,10.1751,6.3083,12.5363,9.7789,1.5283,0.1076,14.8
HUPNUE,79.07,0.51,209.61,2.14,-3.6672,-2.6886,0.2645,-0.1712,1.3487,3.1121,5.8639,8.4164,0.2705,0.9854,10.1438,6.3457,12.6356,9.7542,1.4604,0.0592,15.7
BIJFOR,81,1.32,217.91,3.57,-3.0441,-2.1143,0.2016,-0.2112,1.3732,3.2385,5.8731,7.0302,0.2709,1.0133,10.1704,6.3587,12.6163,9.8233,1.4335,0.0136,14.6
MILFAP,87.24,-16.67,176.37,1.63,-2.6599,-1.7471,0.2836,-0.211,1.4015,2.0483,5.8845,7.0635,0.2712,1.0299,10.1791,6.3324,12.5501,9.8339,1.4107,0.0093,30.7
VIVTAV,72.03,4.48,158.43,2.12,-2.812,-2.6332,0.2894,-0.2029,1.3622,2.7103,5.9532,8.4395,0.2718,1.0423,10.1639,6.3357,12.5873,9.7876,1.4584,0.0581,15.9
JOPGED,74.15,10.46,242.75,4.11,-2.2874,-1.9452,0.2487,-0.2212,1.3392,2.7612,5.761,8.3752,0.2721,1.1024,10.1903,6.3815,12.5587,9.8111,1.6221,0.1856,112.5
XIKZUP,86.34,2.57,175.42,3.33,-3.4259,-3.3946,0.3772,-0.1734,1.3358,1.9303,5.8415,8.4017,0.273,1.0044,10.1437,6.3094,12.5652,9.7482,1.4451,0.053,11
IHIPOG,80.39,7.38,185.4,1.97,-3.5804,-3.2218,0.3703,-0.175,1.3303,2.086,5.8052,8.3879,0.2743,1.0292,10.1394,6.3009,12.5911,9.7378,1.4442,0.0619,13.2
WAJQAC,84.84,0.66,178.33,1.7,-2.9651,-2.175,0.1815,-0.2163,1.3916,3.0236,5.9313,6.9591,0.2747,1.0409,10.175,6.3615,12.6131,9.8439,1.3666,0.0133,27.3
HAXLOJ,64.24,1.15,191.88,2.37,-2.6833,-1.6665,0.2025,-0.2265,1.3644,2.9021,5.9178,7.0309,0.2753,1.0634,10.1939,6.3601,12.612,9.8254,1.4357,0.0103,25
WOLJUF,82.17,1.79,182.76,1.84,-3.7727,-2.6982,0.2633,-0.1948,1.3556,3.2149,5.9054,8.4581,0.2753,1.1102,10.1528,6.3228,12.6541,9.7598,1.517,0.0545,18.8
KOFNIC,60.36,2.01,148.63,2.57,-2.4977,-1.6893,0.3196,-0.2057,1.4177,1.9931,5.8428,8.4903,0.2757,1.018,10.1891,6.3475,12.525,9.8079,1.5984,0.0531,30.2
ODIBUA01,86.16,-0.71,180.84,1.66,-3.3208,-2.6759,0.3077,-0.205,1.3347,2.0161,5.8161,6.9551,0.2759,1.0031,10.1605,6.3093,12.6043,9.7787,1.4092,0.0092,28.3
VEWJEO,84.12,4.23,177,3.37,-2.998,-2.1111,0.3562,-0.2066,1.3709,1.9816,5.9806,8.4274,0.276,1.0231,10.1656,6.3162,12.5208,9.8068,1.4477,0.0613,13.7
TUFDAC,80.57,2.99,173.07,3.95,-2.5107,-1.53,0.3472,-0.2134,1.323,1.6411,5.884,8.4535,0.276,1.0327,10.19,6.3133,12.5473,9.7922,1.5137,0.0478,21.4
GEQQUO,84.94,5.24,176.21,4.7,-3.3972,-2.1718,0.3903,-0.2111,1.3635,2.0341,5.918,8.4397,0.2765,1.0181,10.1612,6.3168,12.5099,9.7831,1.4534,0.0718,13
ICIGAC,79.82,0.67,173.86,1.89,-3.4693,-2.5962,0.311,-0.1979,1.3475,2.0732,5.8481,6.9136,0.2771,1.007,10.1547,6.3125,12.6043,9.7723,1.3588,0.0149,24.3
RIZZEH,74.85,2.62,162.05,3.07,-2.8963,-2.0274,0.2857,-0.1972,1.3222,2.7894,5.8407,8.474,0.2777,1.0039,10.1663,6.3452,12.5858,9.7832,1.4659,0.0516,17
DAYNUN,79.9,3.9,172.9,1.77,-2.4728,-1.5386,0.3301,-0.2138,1.3445,1.6727,5.9719,8.398,0.2777,1.0638,10.19,6.3132,12.56,9.7967,1.536,0.0495,27.5
AQINAP,84.79,6.24,212.28,3.48,-3.5167,-3.2013,0.2903,-0.2054,1.3494,2.8459,5.9768,8.3819,0.278,1.0884,10.1527,6.3123,12.6585,9.739,1.4857,0.088,13
MIYTUM,84.65,0.95,206.36,2.62,-3.308,-2.4479,0.2604,-0.2004,1.3697,3.0927,5.9159,8.4006,0.2783,1.0166,10.1608,6.3324,12.6209,9.7863,1.4867,0.0555,23.2
AKAWAK,80.6,1.88,196.47,2.77,-2.8646,-1.7803,0.2068,-0.2264,1.3285,2.9104,5.8029,7.1097,0.2785,1.0469,10.1854,6.3576,12.6269,9.8088,1.3778,0.0097,24.2
LAQBIQ,86.63,3.18,178.14,1.8,-3.4342,-3.2674,0.3843,-0.1668,1.3413,1.8324,5.8573,8.4341,0.2789,0.988,10.148,6.2978,12.5819,9.736,1.4402,0.0991,15.8
RUGCII,81.49,1.62,176.1,1.7,-2.9278,-2.3914,0.2936,-0.218,1.4055,2.0437,5.8992,7.1324,0.2791,1.0388,10.1766,6.3118,12.5777,9.8168,1.2722,0.0135,28.3
AVAJIR,79.85,8.27,184.55,4.45,-2.7052,-1.7608,0.3005,-0.2234,1.3505,1.991,5.8905,7.1308,0.2795,1.0646,10.1873,6.3111,12.5716,9.8167,1.2613,0.0171,22.1
WIBNUT,82.83,0.73,178.6,1.7,-2.7377,-2.3894,0.2825,-0.2177,1.3809,2.0056,5.9031,6.9052,0.2796,1.04,10.1831,6.3153,12.5936,9.8086,1.3743,0.0135,26.7
ACETSC10,73.7,5.11,202.01,1.86,-2.8099,-1.7246,0.2864,-0.22,1.3252,3.1164,6.0521,8.5224,0.2799,1.0533,10.1756,6.3446,12.5473,9.8218,1.4725,0.0676,19.9
QUYGOH,100.06,1.74,194.69,1.75,-2.8617,-2.1943,0.3645,-0.2153,1.2893,1.9101,5.8631,8.6024,0.2799,1.0338,10.172,6.2905,12.5576,9.7874,1.6709,0.0626,16.2
ODUSAJ,98.69,3.12,186.05,3.7,-3.391,-2.1934,0.3828,-0.2133,1.3591,1.9787,5.9047,8.4699,0.2804,1.0259,10.1653,6.3106,12.5178,9.7889,1.4608,0.056,9.4
ZAPYEU,79.01,4.09,202.28,3.55,-3.5084,-2.7006,0.2141,-0.186,1.3229,3.1655,5.691,7.0242,0.2806,0.9961,10.1634,6.3504,12.6679,9.7676,1.3741,0.009,22.5
CITARC01,78.79,4.78,169.99,3.08,-2.5103,-1.5383,0.3542,-0.2096,1.3253,1.6531,5.8766,8.4353,0.2821,1.0393,10.1918,6.3166,12.5468,9.7825,1.5515,0.058,25.5
NIVJIM,95.21,3.69,184.79,2.27,-2.5273,-1.6183,0.3403,-0.2104,1.3392,1.7077,5.8413,8.4592,0.2823,1.0298,10.1877,6.3147,12.5461,9.799,1.449,0.0515,42.8
TAWPEN,81.88,0.11,178.1,1.63,-3.0668,-2.3023,0.3029,-0.2164,1.3631,2.052,5.8435,6.9623,0.2827,1.0155,10.1688,6.3161,12.5778,9.8031,1.4194,0.0128,25.2
HECPAJ02,78.77,3.52,210.52,4.45,-3.4109,-2.5857,0.1955,-0.1893,1.3509,2.9547,5.7266,7.1502,0.2837,0.9922,10.1646,6.3554,12.6677,9.7815,1.3969,0.0093,20.8
XEHZAL,60.65,2.25,159.07,2.32,-2.546,-1.6117,0.3158,-0.2119,1.4147,1.9735,5.9146,8.4906,0.2843,1.0865,10.1904,6.3436,12.5319,9.8088,1.5177,0.0676,28.1
DUJQOP,82.92,11.25,179.09,1.7,-2.846,-2.4552,0.3619,-0.2173,1.3562,2.0077,5.9215,8.4426,0.285,1.0431,10.1727,6.2928,12.5747,9.7706,1.4661,0.0564,19.9
MECXAV,81.9,2.94,205.14,1.73,-2.5385,-1.4849,0.3135,-0.2164,1.3221,3.0091,5.8458,8.4106,0.2852,1.022,10.1867,6.326,12.556,9.8045,1.4557,0.0517,21.8
PETREM,82.51,9.15,190.28,1.68,-3.3821,-2.9397,0.3624,-0.1784,1.3294,1.961,5.8161,8.428,0.2852,1.0493,10.1437,6.2989,12.5965,9.7423,1.4665,0.0585,14.2
YOWJOK,83.1,6.33,177.04,2.15,-3.7259,-3.3017,0.3724,-0.1561,1.2965,1.9772,5.8304,8.4138,0.2854,0.9817,10.1295,6.2972,12.6096,9.7208,1.452,0.0606,13.9
WEWSOG10,79.68,1.23,173.71,1.95,-3.4486,-2.949,0.3073,-0.1817,1.3151,2.0734,5.756,6.8584,0.2858,0.9968,10.1451,6.3175,12.626,9.7492,1.3609,0.0147,23.9
UPIQUH,80.15,0.89,187.02,2.07,-2.9065,-2.0947,0.2608,-0.217,1.4122,2.0102,6.0598,7.1097,0.2863,1.0573,10.1707,6.3243,12.5769,9.8381,1.3365,0.0127,27.3
OTOFEK,80.12,3.59,172.94,2.73,-2.5016,-1.5248,0.3415,-0.2155,1.3403,1.6883,5.9393,8.4162,0.2863,1.0343,10.1897,6.3115,12.5521,9.7948,1.5408,0.0471,23.8
WOKPAO,84.07,8.37,176.54,1.7,-3.3989,-2.8932,0.3642,-0.1768,1.3281,1.9574,5.8124,8.4484,0.2873,1.0244,10.1428,6.2998,12.5946,9.7413,1.4517,0.0554,14
DUDFOY,103.02,3.97,191.27,1.7,-2.8709,-1.8164,0.3501,-0.219,1.3646,2.025,6.0193,8.4443,0.2884,1.0405,10.1681,6.3049,12.517,9.828,1.4696,0.0594,16.1
SUWGOG,80.98,1.07,186.28,2.04,-3.1765,-2.2061,0.2006,-0.2135,1.3416,3.2007,5.8654,7.1109,0.2891,1.013,10.1692,6.3472,12.654,9.7982,1.3773,0.0101,21.7
YIHDID,86.23,2.91,222.41,2.16,-3.1129,-2.7576,0.2149,-0.2306,1.3386,3.133,5.9201,6.9256,0.2892,1.0977,10.1686,6.3331,12.6658,9.7862,1.355,0.0116,8.2
WIFYEP,84.08,5.07,177.13,1.7,-3.216,-2.4511,0.3701,-0.1873,1.3043,1.9966,5.8544,8.4219,0.2901,0.9974,10.1495,6.299,12.5857,9.7452,1.4645,0.056,16.4
BACTIJ,84.6,-1.01,178.08,3.52,-3.0909,-2.3907,0.3111,-0.2204,1.3914,2.0681,5.9151,6.9643,0.2901,1.0312,10.1709,6.3112,12.566,9.8117,1.378,0.0148,28.7
POFLUS,79.01,0.94,237.84,2.38,-3.1894,-2.5968,0.2925,-0.2275,1.3818,2.0133,5.9742,7.0069,0.2902,1.0449,10.1788,6.3007,12.612,9.7949,1.2295,0.0125,20.4
EMIKUG,75.76,3.81,198.03,2.99,-2.9614,-1.9482,0.1963,-0.2169,1.3792,3.0611,5.831,7.068,0.2905,1.0195,10.1802,6.3623,12.6116,9.8298,1.2431,0.0126,27.4
SIGDIY,86.16,1.33,178.64,2.52,-3.5134,-2.6732,0.3706,-0.1872,1.3727,2.026,5.9255,8.4285,0.2906,1.0539,10.1503,6.2949,12.5825,9.752,1.4743,0.0655,19.3
HUDHUK01,78.18,0.09,181.36,1.45,-3.5601,-2.6968,0.2957,-0.1891,1.3315,2.0459,5.7507,7.0291,0.291,0.9985,10.1482,6.3255,12.6223,9.7566,1.3609,0.0123,16.6
CILDOQ,74.39,8.34,230.78,2.29,-3.8931,-2.5963,0.2722,-0.1473,1.2713,1.8307,5.7122,6.9152,0.2912,1.0145,10.1421,6.313,12.6759,9.7389,1.2326,0.0261,8.2
LIQMIJ,82.21,1.81,172.89,2.03,-2.9617,-2.4173,0.3626,-0.1875,1.3332,2.0284,5.8236,8.38,0.2913,0.9937,10.1503,6.3084,12.5714,9.7576,1.4515,0.0537,14.4
ZOJREY,76.28,3.84,243.52,1.98,-3.174,-2.5476,0.2817,-0.2263,1.3699,1.9512,5.9682,6.9933,0.2923,1.0757,10.1735,6.3158,12.6243,9.7782,1.2121,0.0167,13.1
AGADIX,75.06,4.54,204.95,2.72,-2.9426,-2.4424,0.2937,-0.2192,1.326,1.9884,6.0578,7.0409,0.2925,1.0289,10.1719,6.3301,12.5803,9.7958,1.2653,0.0141,14.5
DOBBUS,83.84,9.8,183.58,2.21,-2.662,-2.1468,0.3478,-0.1983,1.3455,2.0238,5.9186,8.4129,0.293,1.0417,10.1697,6.3067,12.5561,9.7894,1.4739,0.0703,16.3
OKATEA,83.91,7.14,177.66,1.72,-3.3412,-2.7934,0.3669,-0.1843,1.3222,1.9596,5.9007,8.4619,0.2934,1.0276,10.1483,6.2931,12.5928,9.7472,1.4626,0.0617,14.9
BUKFIZ,73.6,3.69,230,2.5,-3.0322,-2.466,0.3188,-0.2281,1.3374,1.9457,6.0436,6.9803,0.2937,1.0847,10.168,6.3142,12.6116,9.7553,1.1285,0.0124,13.2
DUMJUQ01,81.43,3.86,173.7,2.09,-2.4831,-1.5561,0.3417,-0.2117,1.3175,1.7117,5.9179,8.4049,0.2937,1.045,10.1906,6.3163,12.5507,9.7914,1.5358,0.0494,21.4
HUKKED,82.44,0.74,181.4,3.25,-2.6557,-1.817,0.2474,-0.2098,1.3594,3.1735,5.9271,8.4895,0.2938,1.0415,10.189,6.3312,12.6248,9.7966,1.4575,0.0586,25.2
POJTOZ,82.42,7.81,175.48,1.71,-3.4234,-3.2185,0.3703,-0.191,1.3445,2.0649,5.8738,8.3947,0.2942,1.0458,10.1487,6.2958,12.5821,9.7518,1.4649,0.0614,14.3
QEDWEE,78.11,3.51,209.1,2.53,-3.4821,-3.4631,0.2826,-0.1955,1.3271,2.8796,5.9069,8.4231,0.2944,1.0888,10.1471,6.3193,12.653,9.7451,1.5312,0.0576,11.8
UQUDOA,84.43,7.5,179.99,3.11,-2.8848,-2.3753,0.3671,-0.2103,1.3587,1.9222,5.9119,8.406,0.2944,1.1281,10.1704,6.2903,12.5686,9.774,1.4522,0.0635,17.9
NATSEJ,80.44,1.08,185.14,1.68,-3.4026,-2.4185,0.1883,-0.1952,1.3384,3.199,5.8844,6.9181,0.2945,0.9939,10.1581,6.3508,12.6783,9.7827,1.3915,0.0127,20.2
OPUREY,78.78,2.16,211.85,2.31,-3.2464,-2.3718,0.282,-0.2234,1.3598,2.9269,6.0185,8.4124,0.2946,1.1063,10.1655,6.3156,12.6248,9.7777,1.5041,0.0618,13.8
SEWROD,88.92,8.01,182.98,3.89,-2.6681,-2.1174,0.3877,-0.2037,1.2581,1.6072,5.8938,8.4221,0.2951,1.0018,10.1713,6.2937,12.567,9.7516,1.4296,0.0627,22.6
POJXIW,80.42,5.46,174.64,2.39,-2.5089,-1.937,0.3507,-0.2192,1.348,1.6393,5.837,8.3818,0.2951,1.0592,10.1933,6.3095,12.5652,9.7746,1.4839,0.0567,22.1
