Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-N,Cu-C,C-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
KEPFAO,85.18,-0.23,188.13,1.84,4.49,5.72,31.5,19.2,7.8,504.21,-2.7867,-1.3491,1.99,1.97,-0.05,0,1.98,3.12,2.23,79.76,86.92,94.04,0.0608,-0.3317,-0.156,0.0965,-0.1413,-0.3982,2.3427,2.627,3.3757,1.3479,3.021,2.905,28.9049,7.2525,5.7382,25.2502,7.0453,7.511,0.4637,0.7394,0.5484,0.4661,0.5209,2.9424,0.9813,1.1096,1.0299,3.2445,1.336,1.2145,1.4611,3.717,3.5046,3.8929,3.5786,10.2103,2.0265,2.0865,2.0264,2.045,2.0259,6.3826,12.6949,4.1956,4.2272,4.2721,9.8617,1.9737,1.9599,1.9773,1.9741,1.9767,1.3035,1.2249,1.2845,0.1217,0.0189,0.0166,0.0255,0.0139,1.4676,1.1995,1.4276,0.0607,0.0064,0.0083,0.0082,-112.66,21.2
KOPBAV,86.37,0.8,211.33,2.01,9.41,11.06,31.4,25,20.1,828.83,-2.9552,-2.4196,1.97,1.92,-0.04,-0.01,1.98,3.15,2.26,79.89,88.07,99.03,0.3327,-0.2877,-0.1378,0.077,-0.838,-0.5669,2.4736,2.6227,3.4471,1.3257,1.7297,2.1292,28.8686,7.2411,5.7727,25.2575,8.5602,8.404,0.4548,0.7229,0.5585,0.5666,0.5361,2.9398,0.9875,1.1104,1.0051,3.2465,1.3385,1.2155,1.411,3.7276,3.4393,3.8951,3.6647,10.1962,2.025,2.0803,2.021,2.0475,2.0224,6.3058,12.5765,4.1808,4.1666,4.229,9.785,1.9303,1.9829,1.9822,1.9494,1.9403,1.7748,1.5634,1.5226,0.4194,0.0614,0.0841,0.1253,0.0476,1.5142,1.6615,1.4619,0.4178,0.0405,0.0801,0.0542,-195.26,21.2
SAKGIV,87.81,0.79,187.18,2.51,5.24,7.74,33.2,21.7,11.7,566.16,-2.1613,-1.3362,2.01,1.98,-0.03,-0.03,1.94,3.1,2.33,78.37,83.75,90.72,0.3053,-0.3096,-0.1597,-0.0526,-0.8641,-0.8881,2.5431,2.6974,3.2857,1.2525,1.7158,1.7937,28.9191,7.2303,5.7597,25.4169,8.5386,8.5078,0.5485,0.5155,0.6165,0.5463,0.5491,2.9585,0.9729,1.0774,1.0635,3.2419,1.3086,1.2467,1.4354,3.7349,3.5524,3.8969,3.6253,10.2431,2.0281,2.1233,2.0259,2.0398,2.026,6.3261,12.5964,4.1827,4.1813,4.2324,9.7722,1.9639,1.9016,1.9523,1.9891,1.9653,1.7765,1.5816,1.5231,0.4204,0.0611,0.0697,0.1186,0.0545,1.7912,1.6864,1.4046,0.4374,0.0433,0.0897,0.0629,-95.17,21.2
KASGIV,97.37,0.57,201.55,3.5,12.13,9.91,32.9,23.7,17.3,830.12,-3.1426,-2.443,1.91,1.95,-0.04,-0.04,1.99,3.18,2.22,79.72,88.9,98.9,0.3728,-0.3036,-0.1468,0.1112,-0.6392,-0.7137,2.4408,2.5931,3.4707,1.2964,1.9943,1.9852,28.823,7.2512,5.7704,25.2344,8.4547,8.572,0.3894,0.7825,0.5664,0.5253,0.5686,2.9376,0.9844,1.107,1.0222,3.2463,1.3599,1.181,1.4413,3.7239,3.6182,3.7657,3.594,10.187,2.0343,2.0623,2.0367,2.0325,2.0211,6.294,12.5515,4.1627,4.1647,4.2241,9.7817,1.9877,1.9727,1.9871,1.9603,1.8739,1.5683,1.6041,1.515,0.4453,0.0677,0.0825,0.1145,0.0579,1.638,1.6718,1.4787,0.4097,0.0362,0.0914,0.0517,-156.78,21.2
FRTMNE,89.7,0.31,190.05,3.21,5.98,8.8,31.5,21.8,14.8,656.5,-2.1883,-1.4788,1.98,1.98,-0.01,-0.01,1.94,3.11,2.38,78.61,83.01,90.01,0.289,-0.2985,-0.1524,-0.0878,-0.9038,-0.8941,2.667,2.7027,3.2688,1.2342,1.8012,1.7793,28.9482,7.2098,5.7638,25.4407,8.4739,8.504,0.6005,0.4356,0.6141,0.5436,0.5694,2.9635,0.9802,1.0694,1.0542,3.2451,1.2975,1.2586,1.4204,3.7431,3.5408,3.9183,3.6505,10.2351,2.0269,2.1236,2.0214,2.0368,2.0264,6.3181,12.6236,4.191,4.1977,4.2349,9.7694,1.9624,1.9266,1.9442,1.9803,1.9559,1.7907,1.6888,1.4088,0.4469,0.0363,0.0959,0.123,0.0614,1.7642,1.576,1.54,0.4493,0.068,0.0734,0.0732,-108.13,21.2
EDAFAT,89.38,0.12,189.12,2.59,3.42,5.56,30.6,15.3,5.6,474.24,-2.1906,-1.4636,2,1.98,-0.03,-0.01,1.95,3.11,2.38,78.68,83.19,90.06,0.2667,-0.2977,-0.1506,-0.0829,-0.9244,-0.908,2.6741,2.6942,3.2856,1.2491,1.7202,1.7366,28.9561,7.2158,5.7722,25.433,8.4951,8.4867,0.6113,0.4383,0.5995,0.5339,0.5932,2.9629,0.9557,1.0955,1.0512,3.2472,1.3338,1.2203,1.42,3.7409,3.59,3.8971,3.6198,10.2352,2.0277,2.1102,2.0276,2.0388,2.0309,6.326,12.6333,4.2051,4.193,4.2352,9.774,1.9639,1.8929,1.9667,1.9832,1.9673,1.7993,1.7041,1.4256,0.4225,0.0359,0.0995,0.1188,0.045,1.7754,1.5449,1.5971,0.4225,0.0791,0.048,0.0613,-111.94,21.2
DIQPEB,86.26,-1.95,202.86,2.21,8.18,9.32,36.1,26.6,17.4,699.99,-3.831,-3.3498,2.11,1.91,-0.02,0.07,1.95,3.08,2.28,78.65,88.1,99.02,0.2513,-0.2714,-0.1142,0.1689,-0.6001,-0.0853,2.5527,2.6715,3.4778,1.4599,2.035,3.2493,28.8908,7.2246,5.7754,25.1483,8.4856,7.1363,0.5285,0.7256,0.5957,0.3857,0.6825,2.9355,0.9822,1.0973,1.0031,3.2402,1.329,1.2331,1.3914,3.7276,3.4744,3.8998,3.5605,10.1687,2.0238,2.0618,2.0183,2.0444,2.0204,6.3414,12.6277,4.2173,4.1486,4.2619,9.7796,1.9826,1.8439,1.9887,1.9827,1.9818,1.5282,1.7035,1.4553,0.3789,0.0297,0.0778,0.1109,0.0465,1.2296,1.1933,1.4362,0.0931,0.0151,0.011,0.0089,-281.28,21.2
YEHCOD,101.73,-5.67,197.68,4.68,6.79,10.38,36.8,27,19.4,781.43,-3.5761,-2.6714,1.93,2.19,0.01,-0.1,1.99,3.06,2.24,77.48,89.65,96.3,0.3543,-0.2863,-0.1337,0.1673,-0.4898,-0.5113,2.1816,2.6258,3.3623,1.3745,2.0705,1.99,28.8415,7.249,5.7153,25.1937,8.4948,8.4648,0.4711,0.738,0.5854,0.5111,0.2659,2.9354,1.0541,0.9963,1.0507,3.246,1.2145,1.3322,1.4182,3.7189,3.5357,3.839,3.5573,10.1818,2.036,2.0652,2.0239,2.0298,2.0268,6.3006,12.5064,4.1265,4.1703,4.2096,9.8388,1.989,1.9793,1.9454,1.9617,1.9633,1.5654,1.6353,1.4233,0.3866,0.0386,0.0839,0.1154,0.0535,1.5824,1.5479,1.5039,0.3732,0.0671,0.065,0.0593,-229.42,21.1
CUBJOZ,93.85,2.13,207.87,4.53,7.8,8.96,47.7,38.3,25.7,774.19,-3.6936,-2.6864,1.94,2.26,-0.02,-0.1,2.03,3.06,2.23,76.63,91.03,95.76,0.3145,-0.2854,-0.1401,0.1523,-0.605,-0.1605,2.1546,2.641,3.383,1.3506,1.9835,2.6815,28.781,7.2472,5.7279,25.2013,8.4128,7.0591,0.3659,0.7568,0.5473,0.5105,0.2852,2.9349,0.9912,1.1033,1.0124,3.2489,1.3478,1.1938,1.4208,3.7204,3.6446,3.7387,3.5616,10.1824,2.0384,2.0528,2.0403,2.0296,2.0213,6.3359,12.5152,4.1654,4.1672,4.1826,9.8345,1.9747,1.959,1.9714,1.9775,1.9519,1.6415,1.5311,1.4882,0.4484,0.0483,0.0926,0.1163,0.0678,1.2634,1.2433,1.403,0.0988,0.0189,0.0144,0.0263,-204.79,21.1
AMHPYR,81.85,1.41,173.57,1.7,4.38,7.44,27.6,17.6,9.6,542.91,-3.1083,-1.2558,2.06,2.18,-0.04,-0.02,1.93,3.24,2.16,74.71,92.2,104.13,0.3671,-0.3223,-0.1736,0.1216,-0.6878,-0.6715,1.7917,2.6138,3.4,1.1482,1.6507,1.929,28.8178,7.2815,5.7154,25.249,8.4541,8.5422,0.1513,0.9059,0.6618,0.4566,0.3324,2.9354,1.014,1.0892,1.0361,3.2371,1.3009,1.2812,1.4249,3.7191,3.6309,3.911,3.4427,10.1747,2.0199,2.0658,2.0187,2.0389,2.0313,6.397,12.4099,4.0818,4.1178,4.2103,9.826,1.9714,1.9686,1.9631,1.952,1.971,1.6215,1.5105,1.5838,0.3657,0.0677,0.0624,0.0859,0.068,1.6294,1.6403,1.4742,0.3809,0.0498,0.0943,0.0469,-89.82,21.1
NULMOY,64.16,0.99,202.07,1.7,7.9,11.83,33,23.3,14.9,713.77,-3.1766,-1.7801,2.02,2.16,-0.01,-0.05,1.95,3.12,2.19,77.03,90.16,96.79,0.2466,-0.3272,-0.1634,0.1323,-0.1367,-0.6962,2.0731,2.6282,3.439,1.2645,3.0787,1.897,28.8933,7.2539,5.7592,25.2048,7.1835,8.556,0.3049,0.8509,0.6195,0.4775,0.381,2.9374,0.9824,1.1109,1.0365,3.2368,1.3476,1.2065,1.4602,3.7206,3.5468,3.8571,3.5574,10.1859,2.0262,2.0711,2.0244,2.0423,2.0219,6.4013,12.5071,4.1539,4.1321,4.221,9.845,1.9792,1.9224,1.9827,1.9841,1.9766,1.2938,1.2189,1.3927,0.0841,0.0123,0.0118,0.0229,0.0101,1.5998,1.6919,1.5016,0.3413,0.0424,0.0637,0.0457,-112.16,21.1
MEKPUQ,80.59,-2.16,185.17,1.7,9.03,11.3,29.4,20.4,11.3,687.67,-3.824,-3.0233,1.94,2.12,0.09,-0.03,1.95,3.1,2.3,79,88.4,99.67,0.2294,-0.2791,-0.1136,0.1265,-0.5728,-0.0465,2.4018,2.6549,3.4768,1.4369,2.1612,2.9697,28.8758,7.2433,5.7646,25.1783,8.4425,7.0205,0.551,0.7113,0.594,0.5247,0.3862,2.937,0.9813,1.1114,0.9883,3.2415,1.3319,1.2265,1.4016,3.731,3.4782,3.9157,3.5759,10.1727,2.0214,2.0691,2.018,2.044,2.0202,6.3328,12.6124,4.2157,4.1508,4.246,9.8253,1.9708,1.8919,1.9948,1.9821,1.9858,1.4723,1.6456,1.5339,0.4154,0.0464,0.0821,0.1138,0.0522,1.2853,1.2424,1.208,0.1152,0.019,0.0159,0.0129,-278.11,21.1
MIGNUL,62.96,0.02,162.5,2.14,9.06,9.86,24.6,17.3,13.2,698.02,-3.0632,-2.0001,2.05,2.12,0.03,-0.04,1.94,3.12,2.22,79.75,88.13,96.27,0.2992,-0.3217,-0.1558,0.1392,-0.6292,-0.594,2.1194,2.6309,3.4159,1.3625,1.9053,1.9769,28.9368,7.2658,5.7497,25.2146,8.5965,8.5459,0.4733,0.7621,0.621,0.4885,0.4214,2.9405,1.0111,1.1005,1.0095,3.2375,1.2756,1.2783,1.4533,3.7127,3.4335,3.911,3.6005,10.203,2.0261,2.0904,2.0194,2.0435,2.0237,6.3561,12.5037,4.1581,4.1364,4.2092,9.8411,1.9643,1.9614,1.9636,1.9711,1.9807,1.5637,1.4696,1.6826,0.3828,0.0656,0.0518,0.1028,0.0515,1.5514,1.6602,1.5004,0.3473,0.0458,0.0587,0.0469,-120.53,21.1
LERBEP,81.88,-2.19,184.93,1.97,6.13,9.06,32.2,24.8,15.5,653.64,-3.9429,-3.1825,1.92,2.05,0.07,0.01,1.94,3.07,2.31,77.97,87.97,98.79,0.2599,-0.2777,-0.1075,0.1471,-0.6544,-0.3234,2.4504,2.6413,3.4199,1.4448,2.157,3.0714,28.7766,7.2298,5.7391,25.1594,8.5236,7.1892,0.5366,0.7049,0.591,0.4979,0.4286,2.9358,0.9795,1.1026,0.994,3.2378,1.3403,1.2178,1.4037,3.7335,3.5087,3.8715,3.5738,10.1655,2.0278,2.0592,2.0214,2.0388,2.0181,6.3295,12.6186,4.2204,4.1579,4.2403,9.7919,1.9649,1.8776,1.9887,1.9843,1.9765,1.5863,1.5799,1.5155,0.4745,0.0659,0.1004,0.1329,0.0594,1.3444,1.2719,1.3199,0.0906,0.0179,0.0152,0.0118,-279.46,21.1
THPDCB,86.41,-1.32,193.07,1.53,8.77,11.08,32.8,21.1,12.4,707.98,-3.4367,-2.3724,1.94,2.02,0.03,0,1.97,3.13,2.28,80.67,87.73,98.61,0.1889,-0.2931,-0.1289,0.1124,-0.0871,-0.5846,2.4304,2.6447,3.4594,1.4117,3.246,2.0041,28.8768,7.2417,5.7651,25.2135,7.0324,8.4664,0.5387,0.7176,0.567,0.5262,0.4324,2.9397,0.9869,1.1323,0.9758,3.2445,1.3667,1.1992,1.4061,3.722,3.4543,3.892,3.6273,10.192,2.0246,2.074,2.0253,2.0452,2.0229,6.3297,12.6517,4.2186,4.2008,4.2324,9.8296,1.9578,1.9651,1.9919,1.9386,1.9761,1.2117,1.3288,1.3015,0.0982,0.0143,0.0138,0.0234,0.0095,1.5479,1.6232,1.5284,0.371,0.0406,0.0703,0.0514,-203.3,21.1
GOCKIV,63.02,-0.04,156.57,2.13,5.52,13.43,24,14,9.2,757.38,-3.003,-2.0159,2.09,2.08,-0.02,0.01,1.93,3.11,2.21,79.34,88.42,96.53,0.2958,-0.322,-0.1572,0.1306,-0.5984,-0.6188,2.0938,2.6209,3.4078,1.3439,1.9372,1.8962,28.9151,7.2691,5.7422,25.2223,8.5494,8.5589,0.4485,0.7712,0.6196,0.4487,0.4455,2.9403,0.9863,1.1182,1.0179,3.2369,1.3187,1.2352,1.4538,3.714,3.4949,3.9186,3.5385,10.2035,2.0236,2.09,2.0182,2.0451,2.0267,6.3618,12.5017,4.1648,4.1263,4.2105,9.8407,1.9692,1.9374,1.9713,1.9815,1.9813,1.5545,1.6621,1.5078,0.3351,0.0459,0.053,0.0934,0.0447,1.5674,1.4784,1.6822,0.3566,0.0603,0.0411,0.0479,-123.55,21.1
GEXTOU,63.41,-0.18,157.45,1.78,5.13,11.34,24.2,14.2,8.6,634.25,-3.0747,-1.9511,2.1,2.06,-0.02,0.02,1.94,3.11,2.22,79.89,88.09,96.29,0.2916,-0.3199,-0.1539,0.1383,-0.591,-0.5983,2.1364,2.6244,3.4216,1.3713,1.9352,1.9216,28.9208,7.2663,5.7501,25.2153,8.5411,8.5453,0.4855,0.7548,0.6186,0.4297,0.4628,2.9406,0.9847,1.1235,1.0111,3.2378,1.3253,1.2295,1.4502,3.7127,3.4862,3.9174,3.5419,10.2035,2.0235,2.0893,2.0186,2.0453,2.0268,6.3528,12.5143,4.1759,4.1265,4.2119,9.8413,1.9676,1.9377,1.9714,1.9793,1.9853,1.5477,1.6637,1.5015,0.3426,0.0461,0.0535,0.1,0.045,1.5579,1.4738,1.6847,0.3508,0.0602,0.0444,0.0455,-125.09,21.1
RIQBIC,63.73,-0.43,159.55,1.84,9.89,8.85,24.4,15,11.2,700.66,-3.0062,-2.0624,2.1,2.03,-0.02,0.04,1.94,3.11,2.22,79.89,87.78,95.71,0.2915,-0.32,-0.1548,0.1393,-0.6004,-0.6204,2.1838,2.6304,3.4113,1.3856,1.9382,1.8895,28.9216,7.2605,5.7539,25.2135,8.5463,8.5519,0.4989,0.7456,0.6076,0.4421,0.4758,2.9411,1.0241,1.0912,1.0045,3.2388,1.2619,1.2972,1.4452,3.7113,3.3872,3.8907,3.6653,10.2062,2.0296,2.0824,2.0229,2.0479,2.0235,6.3516,12.5246,4.1551,4.1534,4.2162,9.8323,1.9565,1.9756,1.9668,1.9622,1.9713,1.5579,1.6586,1.5085,0.3324,0.0478,0.0614,0.084,0.047,1.5669,1.4771,1.6758,0.369,0.0676,0.0549,0.0514,-127.35,21.1
DUPFEA,82.52,-0.34,176.99,1.72,5.17,8.47,28.4,19,10.3,574.81,-3.4544,-2.2161,2.22,1.98,-0.15,0.12,1.95,3.11,2.23,79.72,89.64,98.46,0.2304,-0.3081,-0.1434,0.1417,-0.092,-0.5797,2.1532,2.6237,3.4653,1.3885,2.8723,2.0633,28.8666,7.2583,5.75,25.1916,7.135,8.5086,0.4848,0.7618,0.6046,0.3291,0.4992,2.9383,0.9866,1.1123,1.0104,3.2401,1.3218,1.2286,1.4411,3.7168,3.4653,3.9185,3.5682,10.1894,2.0222,2.0808,2.0183,2.0449,2.0233,6.3465,12.5599,4.1936,4.1364,4.2298,9.8632,1.9678,1.9394,1.9883,1.9821,1.9856,1.2968,1.2583,1.2093,0.115,0.0166,0.0151,0.0281,0.0126,1.5243,1.619,1.5425,0.3849,0.0418,0.0771,0.0461,-175.98,21.1
ZIBSUB,85.35,1.12,187.83,2.81,6.29,10.19,29.8,22.6,16.7,718.55,-2.4887,-1.7589,1.95,1.95,-0.06,0,1.96,3.13,2.21,79.98,86.81,95.29,0.3066,-0.3122,-0.1607,0.0984,-0.6661,-0.7682,2.3226,2.6284,3.4139,1.3257,1.9987,1.9454,28.845,7.2408,5.7762,25.2683,8.5034,8.6011,0.4403,0.7294,0.5705,0.4875,0.5269,2.9416,0.9877,1.0983,1.0394,3.2414,1.3413,1.2113,1.4417,3.7126,3.4668,3.8526,3.651,10.2187,2.0319,2.0885,2.0289,2.0463,2.023,6.3066,12.5823,4.1739,4.1785,4.2299,9.8045,1.9643,1.9426,1.9823,1.9546,1.9608,1.5846,1.6876,1.4234,0.4538,0.0457,0.0887,0.119,0.0527,1.6494,1.5915,1.546,0.4492,0.0621,0.0889,0.049,-123.87,21.1
GABYER,77.97,3.1,197.24,3.62,13.33,7.5,33.5,30.9,23.9,913.93,-3.1118,-1.6666,2.2,1.97,0.01,-0.04,1.93,3.27,2.13,75.61,89.9,104.01,0.3915,-0.3344,-0.1901,0.171,-0.747,-0.8304,1.7676,2.5907,3.3695,1.2038,1.8368,1.7704,28.78,7.2774,5.7049,25.215,8.5523,8.6848,0.1266,0.9357,0.6439,0.2489,0.5296,2.9325,1.0375,1.0129,1.1078,3.2376,1.2988,1.3013,1.4189,3.698,3.783,3.5027,3.6538,10.1914,2.0426,2.0262,2.0605,2.0266,2.0355,6.3905,12.408,4.0637,4.1128,4.2314,9.81,1.975,1.9854,1.9833,1.9397,1.9266,1.5151,1.7258,1.4888,0.4964,0.1,0.1132,0.0979,0.0767,1.7503,1.5787,1.5096,0.444,0.0637,0.0922,0.0643,-58.96,21.1
FOQPIN,86.96,0.92,186.64,2.24,6.1,10.46,28.8,16.9,10.4,666.66,-2.3039,-1.3634,1.99,1.99,-0.03,-0.03,1.94,3.11,2.27,79.12,85.19,91.4,0.2915,-0.3199,-0.1598,0.032,-0.7477,-0.7587,2.4208,2.6611,3.3333,1.3017,1.8953,1.8993,28.9277,7.2363,5.7444,25.3393,8.5489,8.5699,0.517,0.6196,0.6089,0.5405,0.5344,2.9509,0.988,1.0796,1.0521,3.2399,1.3024,1.2506,1.4501,3.7253,3.4945,3.9062,3.6134,10.2285,2.0278,2.1136,2.0221,2.0409,2.0242,6.3162,12.5888,4.1741,4.182,4.2328,9.8035,1.9597,1.9319,1.9638,1.9757,1.9724,1.6607,1.6017,1.5432,0.3968,0.0432,0.076,0.115,0.0458,1.6712,1.7218,1.4233,0.3969,0.0268,0.0925,0.046,-90.29,21.1
XAMSAI,86.13,1.25,185.73,1.7,5.68,13.43,28.7,16.9,9.7,707.06,-2.4123,-1.325,1.99,1.99,-0.06,-0.02,1.95,3.12,2.25,79.82,85.97,92.92,0.288,-0.3194,-0.1607,0.0677,-0.7204,-0.7392,2.3698,2.6417,3.3642,1.3272,1.9334,1.893,28.9121,7.2417,5.7513,25.3057,8.5414,8.5591,0.5063,0.6628,0.5936,0.5025,0.5397,2.947,0.9879,1.0976,1.0373,3.2411,1.3322,1.2208,1.4486,3.7176,3.4581,3.8817,3.6495,10.2254,2.0283,2.1017,2.027,2.0453,2.0232,6.3139,12.5831,4.181,4.1715,4.2306,9.815,1.9593,1.9558,1.9788,1.9553,1.9658,1.6265,1.7263,1.4298,0.3991,0.029,0.0909,0.1187,0.0451,1.6603,1.5945,1.5484,0.3952,0.0442,0.0767,0.045,-96.23,21.1
FIZDOJ,92.56,5.39,195.89,1.7,13.74,8.55,33.5,23.7,14.4,754.2,-3.2475,-2.7573,1.93,1.96,-0.04,-0.06,2.01,3.22,2.25,81.9,88.68,100.91,0.3539,-0.299,-0.1381,0.1056,-0.6612,-0.6971,2.4154,2.6197,3.5216,1.3483,2.0123,1.9867,28.8111,7.2633,5.7963,25.2257,8.602,8.5386,0.464,0.7586,0.5515,0.4722,0.5497,2.9391,0.988,1.1153,1.0011,3.2498,1.3665,1.1865,1.4213,3.7271,3.5032,3.8391,3.6391,10.1859,2.03,2.0711,2.0255,2.0384,2.0209,6.2963,12.5572,4.1777,4.1524,4.2271,9.7926,1.9831,1.9892,1.9588,1.9517,1.9098,1.5857,1.6215,1.4913,0.46,0.0691,0.0891,0.1167,0.0707,1.6297,1.7029,1.4463,0.4031,0.027,0.0931,0.049,-180.75,21.1
ESEGOA,96.62,1.79,204.66,1.72,11.29,7.97,32.8,23.1,15.1,703.76,-3.226,-2.6904,1.9,1.94,-0.04,-0.05,2,3.16,2.23,79.03,88.97,98.82,0.38,-0.2991,-0.142,0.1053,-0.6377,-0.7046,2.4528,2.5874,3.4517,1.292,2.0389,1.9927,28.8128,7.256,5.7603,25.2352,8.4509,8.5567,0.3871,0.7765,0.563,0.5241,0.5697,2.9372,0.9854,1.0948,1.0287,3.247,1.3572,1.1834,1.4364,3.7275,3.648,3.7192,3.6169,10.183,2.0374,2.055,2.04,2.0303,2.0203,6.2956,12.5499,4.1615,4.1628,4.2256,9.7745,1.9869,1.9766,1.984,1.9607,1.8663,1.5323,1.6323,1.5207,0.4464,0.0693,0.08,0.1162,0.0579,1.6377,1.6747,1.4732,0.4013,0.0323,0.0876,0.0491,-170.24,21.1
CADVOS,84.63,1.22,178.65,1.7,8.03,8.71,29.9,19.8,11.3,635.7,-2.8853,-1.3646,2.2,1.98,-0.07,-0.02,1.95,3.15,2.21,79.27,88.15,97.35,0.3214,-0.3229,-0.1614,0.1114,-0.4626,-0.7901,2.0865,2.6254,3.4039,1.2891,2.0608,1.8207,28.8602,7.2644,5.7433,25.2481,8.4195,8.5741,0.3701,0.802,0.6227,0.2396,0.605,2.9401,0.9823,1.1227,1.022,3.2392,1.3315,1.2471,1.4284,3.718,3.6125,3.9202,3.4333,10.2046,2.0232,2.0787,2.0169,2.0511,2.0347,6.3553,12.4958,4.1537,4.1553,4.1868,9.8275,1.9661,1.945,1.9507,1.986,1.9797,1.5606,1.5753,1.4807,0.3305,0.042,0.0624,0.0962,0.0409,1.7628,1.6968,1.4028,0.3789,0.0366,0.0929,0.0494,-116.1,21.1
DAQCOQ,83.4,-1.91,203.84,2.12,9.53,8.44,33.8,22.3,12.9,690.09,-3.9834,-3.3686,2.03,1.93,0.01,0.06,1.96,3.13,2.33,79.5,87.47,101.41,0.2352,-0.2613,-0.099,0.1155,-0.6439,-0.0657,2.576,2.6825,3.5291,1.4462,2.0766,3.2542,28.8676,7.228,5.7887,25.178,8.4808,7.1261,0.5637,0.6978,0.5866,0.4246,0.6187,2.9363,0.9896,1.1203,0.9578,3.2445,1.3132,1.2553,1.3701,3.7388,3.5041,3.9212,3.5562,10.1642,2.0208,2.065,2.0165,2.0413,2.0205,6.332,12.6493,4.2256,4.1797,4.244,9.7835,1.9296,1.8972,1.9978,1.9779,1.9809,1.5689,1.6392,1.5151,0.3971,0.0533,0.0913,0.1047,0.0495,1.279,1.2361,1.3064,0.0964,0.0181,0.0154,0.0125,-313.91,21.1
DIQPUR,86.47,-2.19,203.96,2.68,8.18,9.23,36.2,27.6,19.4,750.29,-3.8934,-3.4494,2.09,1.91,-0.02,0.08,1.95,3.08,2.29,78.48,87.92,99.06,0.2543,-0.2642,-0.109,0.1704,-0.5959,-0.0852,2.5783,2.6805,3.4877,1.4686,2.0395,3.2631,28.8967,7.2177,5.7818,25.1415,8.4831,7.1333,0.5355,0.7236,0.5956,0.3933,0.6862,2.9352,0.9818,1.0896,1.0065,3.2408,1.3304,1.2358,1.3794,3.7299,3.4754,3.8937,3.565,10.1656,2.0246,2.0589,2.0185,2.0442,2.0194,6.3384,12.6327,4.2186,4.1521,4.262,9.7746,1.9827,1.8369,1.9906,1.9828,1.9815,1.5187,1.7011,1.4531,0.3924,0.0346,0.0788,0.1133,0.0481,1.2323,1.1943,1.4326,0.0928,0.015,0.011,0.009,-297.54,21.1
CIGPOX,80.93,-0.22,176.93,2.14,11.87,9.56,29.8,21.9,15.6,788.67,-3.5338,-2.2295,1.9,2.3,0.05,-0.08,1.94,3.1,2.24,79,89.2,98.09,0.21,-0.3121,-0.1362,0.1611,-0.0421,-0.4913,2.204,2.6409,3.468,1.381,3.3117,1.9777,28.8704,7.2625,5.7642,25.1759,6.908,8.456,0.4619,0.7623,0.6243,0.634,0.178,2.9366,0.9783,1.0932,1.0323,3.2357,1.3316,1.221,1.4478,3.7209,3.5271,3.8644,3.5496,10.1769,2.0262,2.0636,2.0222,2.0439,2.021,6.3895,12.5755,4.205,4.1074,4.2631,9.8251,1.9794,1.9096,1.9848,1.9922,1.959,1.233,1.1393,1.3819,0.13,0.0254,0.0154,0.0469,0.0137,1.4778,1.6824,1.4579,0.3496,0.0339,0.0651,0.0437,-182.97,21
