Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
UNODOQ,79.75,172.48,1.77,5.53,7.31,29.7,20.2,11.8,483.54,-3.3728,-0.6603,1.88,2.42,1.87,0.351,-0.2576,-0.8098,-0.4724,1.6545,2.9364,1.8764,2.0316,28.8554,7.265,8.5474,8.4432,0.6695,0.6839,0.136,3.1613,1.2938,1.2802,1.4392,6.4843,12.3908,4.1677,4.1277,4.0954,9.7739,1.8715,1.973,1.9789,1.9706,1.98,1.7167,1.6544,1.503,0.3917,0.0696,0.0807,0.096,0.063,0.0824,1.4717,1.4811,1.679,0.3145,0.0739,0.062,0.0528,0.0543,0.0715,49.1
ELATES,63.03,185.89,2.69,7.76,6.38,31.7,28.4,16.8,564.82,-3.1879,-0.698,1.86,2.34,1.87,0.179,-0.2691,-0.2985,-0.4423,1.7608,2.9421,2.8746,2.6466,28.9614,7.2751,7.2766,7.29,0.6808,0.6992,0.1364,3.1646,1.3686,1.3884,1.2658,6.5526,12.4674,4.1509,4.2135,4.1029,9.8011,1.8819,1.9885,1.9854,1.9907,1.9546,1.4471,1.2986,1.3129,0.078,0.0122,0.0151,0.0157,0.0111,0.0239,1.4493,1.2914,1.3333,0.0732,0.0124,0.0176,0.0122,0.0092,0.0217,47.2
WANSEM,77.23,218.42,3.14,13.49,5.74,53.2,44.3,24.2,779.12,-3.5037,-0.5999,1.93,2.38,1.9,0.3046,-0.2573,-0.2208,-0.4941,1.7617,2.9723,2.8618,2.0023,28.9311,7.2635,7.2761,8.4517,0.685,0.6402,0.1372,3.1644,1.4322,1.3867,1.1928,6.4576,12.4293,4.128,4.25,4.0512,9.8085,1.9652,1.983,1.9775,1.9698,1.913,1.3892,1.4114,1.1861,0.0786,0.0104,0.0122,0.0276,0.0107,0.0176,1.6272,1.4628,1.5436,0.3323,0.0716,0.0673,0.0673,0.0691,0.057,48.7
PUKDUW,61.2,220.84,2.28,7.39,5.8,39.5,33.4,16.8,536.55,-3.7524,-1.4453,1.92,2.38,1.87,0.2757,-0.262,-0.2684,-0.1168,1.8225,2.9965,3.0996,2.7631,28.8874,7.2689,7.2362,7.1241,0.735,0.5816,0.1377,3.1622,1.2231,1.4071,1.3883,6.4886,12.4265,4.1527,4.1285,4.1453,9.8093,1.9357,1.9338,1.9676,1.987,1.9852,1.445,1.3869,1.1968,0.0814,0.0087,0.0276,0.0166,0.0107,0.0179,1.4479,1.3441,1.042,0.1033,0.0079,0.041,0.0182,0.0103,0.0259,32.3
JUPCII,61.56,163.41,2.66,5.23,10.24,27.9,22.7,14.1,583.37,-3.9596,-1.9127,1.9,2.42,1.87,0.2932,-0.2758,-0.1867,-0.4152,1.7199,2.9685,3.2738,2.8079,28.817,7.3051,7.188,7.3419,0.7195,0.6042,0.1385,3.1639,1.3572,1.3649,1.3091,6.5042,12.3978,4.176,4.1312,4.0906,9.8048,1.9345,1.9493,1.9741,1.9528,1.9941,1.345,1.3217,1.2746,0.0897,0.013,0.0176,0.0183,0.0183,0.0225,1.4048,1.2923,1.3504,0.075,0.0095,0.0165,0.0128,0.0139,0.0223,36
POBQON,84.56,198.85,2.24,7.95,8.19,44.3,37.9,22.3,626.76,-2.9163,-0.6583,1.89,2.41,1.87,0.3169,-0.2532,-0.8763,-0.216,1.6906,2.9282,1.8267,2.6286,28.8513,7.2581,8.6031,6.9671,0.6508,0.6851,0.1396,3.1598,1.2723,1.3556,1.3812,6.4652,12.4275,4.1141,4.1384,4.175,9.7904,1.9603,1.911,1.9605,1.9818,1.9768,1.6349,1.5067,1.7411,0.4484,0.1006,0.0763,0.0973,0.0822,0.092,1.2117,1.5752,1.1955,0.098,0.0162,0.0321,0.014,0.0197,0.016,44.4
ROXLEY,76.35,173.2,1.72,10.13,6.8,34.1,25.4,16.4,645.02,-3.7798,-2.8498,1.89,2.35,2,0.4977,-0.2307,-0.5635,-0.3279,1.977,2.9,2.0731,3.0009,28.699,7.2477,8.5686,7.5836,0.4815,0.4881,0.1397,3.1833,1.2696,1.3216,1.376,6.2861,12.394,4.1864,4.148,4.0595,9.8223,1.9685,1.9915,1.9423,1.9579,1.9621,1.5428,1.5491,1.5744,0.4197,0.0926,0.0586,0.1059,0.066,0.0966,1.5732,1.2446,1.2591,0.0608,0.0076,0.0111,0.0178,0.0054,0.0188,24.7
SOWRAY,76.97,193.59,2.15,10.25,7.87,32.9,24.2,14.2,612.03,-3.4166,-1.8485,1.94,2.41,1.91,0.3247,-0.2619,-0.2095,-0.4769,1.6262,2.9336,2.9364,2.0761,28.8223,7.2767,7.2956,8.436,0.6581,0.5925,0.1417,3.1682,1.2186,1.3748,1.4201,6.4953,12.3823,4.1044,4.2038,4.074,9.7977,1.9084,1.9869,1.973,1.9738,1.9556,1.403,1.4013,1.1723,0.0774,0.0077,0.0189,0.0243,0.0103,0.0162,1.4671,1.4941,1.6673,0.3234,0.0663,0.051,0.0726,0.0463,0.0873,45.6
SANRAD,76.91,184.29,1.7,7.79,6.93,34.4,26.3,17.7,606.17,-3.9154,-2.574,1.86,2.33,1.98,0.5114,-0.2242,-0.6513,-0.331,2.1088,2.943,2.1751,2.9388,28.7033,7.2328,8.5377,7.6399,0.5038,0.5714,0.1425,3.1761,1.3085,1.3068,1.3519,6.2865,12.4163,4.1945,4.1414,4.0804,9.7859,1.9464,1.9798,1.9607,1.9311,1.9679,1.4639,1.5567,1.6829,0.4577,0.0972,0.0558,0.1209,0.0754,0.1084,1.5079,1.2429,1.3312,0.0603,0.0058,0.0136,0.0201,0.0072,0.0135,22.7
PASNED,81.5,192.8,3.7,9.17,11.52,41.4,35.8,23.8,760.45,-2.8978,-1.4875,1.89,2.35,1.89,0.3097,-0.2546,-0.8987,-0.2114,1.649,2.9431,1.7564,2.8273,28.8177,7.2523,8.5491,7.0013,0.6422,0.6433,0.1434,3.162,1.351,1.2663,1.3919,6.4617,12.433,4.1658,4.1215,4.1458,9.7955,1.944,1.9166,1.9826,1.9652,1.9872,1.6753,1.4607,1.7346,0.4936,0.1049,0.0788,0.109,0.0851,0.1158,1.2169,1.5596,1.1999,0.0989,0.0141,0.031,0.0177,0.0221,0.0141,41
YASKEJ,95.05,188.68,2.01,4.04,6.57,35.1,23.1,10,427.55,-3.5372,0.0628,1.89,2.35,1.88,0.3956,-0.2501,-0.6042,-0.7683,1.6594,2.9499,1.9934,1.7778,28.7484,7.2771,8.4938,8.6216,0.6828,0.5356,0.1446,3.1608,1.2461,1.405,1.3558,6.416,12.3934,4.1356,4.1572,4.1007,9.795,1.9101,1.9518,1.9747,1.981,1.9773,1.5847,1.5727,1.583,0.3729,0.0734,0.0883,0.052,0.0806,0.0785,1.4191,1.7504,1.6346,0.4172,0.0678,0.0893,0.0728,0.1021,0.0851,42.7
XIFKON01,61.75,167.96,2.62,6.85,9.26,28.9,23.9,15.5,609.95,-3.7919,-1.2785,1.91,2.39,1.88,0.2719,-0.2733,-0.1966,-0.429,1.6793,2.9542,3.2428,2.874,28.8279,7.3054,7.1691,7.3228,0.7037,0.5764,0.1451,3.1651,1.2389,1.4329,1.3559,6.5135,12.401,4.1142,4.1442,4.1426,9.8136,1.9468,1.9452,1.9531,1.9745,1.9941,1.368,1.3238,1.265,0.0886,0.011,0.019,0.0222,0.0121,0.0242,1.4608,1.3426,1.2643,0.0745,0.0082,0.0177,0.0202,0.0114,0.017,45.3
TIQJIO,80.31,205.21,1.68,13.93,7.76,38.3,33,23.2,831.61,-3.396,-1.5775,1.89,2.39,1.87,0.3627,-0.2502,-0.8309,-0.48,1.7143,2.9483,1.8846,1.9773,28.8806,7.244,8.555,8.4475,0.685,0.6579,0.1451,3.1597,1.3061,1.2637,1.4376,6.4582,12.4042,4.1842,4.1216,4.0983,9.7749,1.8887,1.9834,1.9684,1.9557,1.9787,1.547,1.6965,1.6265,0.4219,0.0831,0.0952,0.0807,0.1055,0.0574,1.5509,1.4931,1.5665,0.3488,0.0797,0.0807,0.0613,0.0791,0.0479,47.4
DUHTUW,94.77,238.73,2.72,5.63,6.5,46.3,31.8,13.6,468.92,-4.5483,-3.0221,2.66,2.42,1.94,0.5242,-0.2027,0.168,0.2507,2.8014,3.0242,2.5286,2.6031,28.9303,7.1543,7.1695,6.943,0.5661,0.1922,0.1455,3.1671,1.2373,1.3821,1.3335,6.2385,12.4923,4.1754,4.1346,4.1823,9.745,1.9981,1.9928,1.9076,1.8736,1.9728,1.143,1.1664,1.1623,0.1441,0.0209,0.0222,0.0336,0.0439,0.0234,1.1995,0.9923,1.2328,0.1551,0.0392,0.0186,0.0408,0.0302,0.0263,16.8
AGISAN,87.43,235.49,2.68,8.64,4.9,56.2,44.1,25.6,672.5,-4.9693,-2.5688,1.82,2.34,1.9,0.425,-0.1826,-0.1667,-0.3865,3.2628,3.0671,3.1327,2.9146,29.24,7.0622,7.1483,7.6769,0.6292,0.745,0.1457,3.1569,1.1919,1.3989,1.3524,6.2418,12.585,4.2162,4.2027,4.1661,9.7482,1.8107,1.9627,1.9802,1.9816,2.013,1.2012,1.2179,1.4792,0.1025,0.0228,0.0256,0.0161,0.0254,0.0125,1.2529,1.2883,1.5812,0.058,0.017,0.0092,0.0105,0.0176,0.0036,9.9
KEGKUC,80.93,195.81,3.83,7.05,6.51,41.6,36.5,24.6,600.6,-3.3638,-0.6966,1.88,2.35,1.89,0.3196,-0.2478,-0.8536,-0.2258,1.6815,2.9975,1.9843,2.8947,28.8377,7.2272,8.5159,7.3389,0.673,0.6677,0.1466,3.1606,1.4135,1.4136,1.1774,6.4625,12.422,4.1384,4.1973,4.0864,9.7959,1.8945,1.9822,1.9807,1.9879,1.9507,1.709,1.6567,1.4929,0.4684,0.0862,0.0878,0.1067,0.0783,0.1095,1.2472,1.1853,1.5744,0.0828,0.0254,0.011,0.0135,0.0199,0.013,44.3
PAJBIM,81.13,192.9,2.04,6.13,8.15,28.2,21.6,13.1,491,-3.7587,-2.3504,1.82,2.44,1.94,0.4203,-0.2224,-0.565,-0.0728,2.0999,2.9618,2.2304,2.8246,28.8072,7.184,8.5617,7.113,0.5222,0.593,0.1487,3.1686,1.3548,1.3631,1.2531,6.3001,12.4647,4.1812,4.1053,4.1782,9.8149,1.9755,1.9631,1.9729,1.9292,1.9742,1.5621,1.496,1.6279,0.4047,0.0932,0.0596,0.0883,0.0874,0.0763,1.2047,1.3927,1.137,0.115,0.0157,0.0277,0.0192,0.0235,0.0289,26.2
KEMPIB,82.04,174.37,2.58,4.89,11.42,30.4,23.4,15.4,599.02,-3.2828,0.0398,1.88,2.44,1.87,0.3509,-0.2553,-0.8226,-0.6052,1.6518,2.9336,1.9026,2.0915,28.8807,7.252,8.5911,8.4862,0.671,0.6986,0.1489,3.1604,1.3371,1.3719,1.3022,6.485,12.3923,4.1682,4.1073,4.1168,9.7719,1.9558,1.8983,1.9775,1.9553,1.985,1.6184,1.5282,1.7047,0.4304,0.0995,0.095,0.0842,0.0689,0.0828,1.5149,1.7042,1.5042,0.334,0.0597,0.0761,0.0632,0.0643,0.0707,43
CERWAX02,61.99,168.93,2.4,7.23,9.31,29,24.1,14.8,590.75,-3.7832,-1.4711,1.91,2.38,1.88,0.2767,-0.2748,-0.1883,-0.4256,1.6896,2.9643,3.2481,2.8697,28.8244,7.2968,7.1685,7.3293,0.7063,0.5712,0.1497,3.1657,1.3501,1.3197,1.3588,6.5113,12.3998,4.1711,4.1143,4.1144,9.8122,1.9476,1.9415,1.9798,1.9486,1.9947,1.3642,1.3161,1.2679,0.0888,0.0122,0.0187,0.0204,0.0144,0.0231,1.4502,1.34,1.2762,0.0747,0.0083,0.0169,0.0198,0.0122,0.0176,35.9
IQEPUP,82.98,222.54,2.33,14.5,8.11,40.2,27.6,15.1,702.55,-2.896,-0.8904,1.89,2.37,1.9,0.291,-0.2587,-0.913,-0.3024,1.6755,2.8424,1.8538,2.677,28.8018,7.4034,8.5261,7.3863,0.6241,0.6782,0.1497,3.1691,1.3057,1.2995,1.4015,6.4687,12.4407,4.1928,4.14,4.108,9.7996,1.931,1.9423,1.9844,1.9606,1.9812,1.7238,1.4442,1.7779,0.4093,0.116,0.0404,0.0984,0.0731,0.0814,1.2231,1.5995,1.2079,0.0783,0.0125,0.0232,0.0145,0.0182,0.0098,43.7
TENSAJ,75,214.38,2.04,9.47,8.64,44.6,34.7,24.4,735.06,-2.9165,-2.2161,1.93,2.36,1.9,0.4759,-0.2262,-0.8191,-0.4688,1.9896,2.9895,1.7809,2.0719,28.9026,7.2162,8.5881,8.3999,0.6846,0.6357,0.15,3.1598,1.3983,1.403,1.1832,6.3643,12.4145,4.1866,4.1664,4.0615,9.7453,1.8976,1.978,1.9687,1.9412,1.9597,1.6177,1.6859,1.5106,0.4723,0.0745,0.1047,0.1005,0.111,0.0817,1.4186,1.5069,1.674,0.3462,0.066,0.0542,0.0784,0.0594,0.0882,45.7
DERMOC,75.8,177.69,2.43,10.02,9.29,33.8,25.2,17.3,695.26,-3.4583,-1.0431,1.95,2.41,1.9,0.3297,-0.2652,-0.2031,-0.478,1.6177,2.929,2.8514,2.0735,28.8356,7.2907,7.3358,8.4209,0.6732,0.5878,0.1505,3.1667,1.1689,1.4097,1.439,6.4885,12.3816,4.0367,4.2351,4.1098,9.8001,1.9718,1.9827,1.9432,1.9562,1.9463,1.2291,1.3903,1.3629,0.0776,0.0211,0.0162,0.0109,0.0167,0.0126,1.4612,1.4847,1.6822,0.3272,0.0715,0.0538,0.0733,0.0462,0.0824,47.4
KECTET,77.91,188.87,1.55,9.51,6.75,33,26.9,18.4,646.72,-3.22,-0.3209,1.88,2.38,1.87,0.3615,-0.2534,-0.8306,-0.4635,1.666,2.9733,1.8605,2.0648,28.8628,7.2641,8.6044,8.4091,0.6824,0.695,0.151,3.1595,1.4017,1.3448,1.264,6.4693,12.3943,4.2029,4.117,4.0744,9.775,1.908,1.9848,1.9847,1.9168,1.9807,1.6862,1.6918,1.477,0.4448,0.0789,0.0934,0.105,0.0792,0.0882,1.4569,1.5141,1.6486,0.3218,0.0674,0.0542,0.0683,0.0482,0.0837,45.9
YOLNUK,94.21,218.7,1.52,8.12,6.45,50.2,38.8,24.6,601.89,-4.9533,-1.9207,1.73,2.39,1.86,0.5669,-0.1877,-0.6034,-0.4116,3.294,3.0594,2.0391,2.0094,29.2825,7.0715,8.3736,8.3421,0.6759,0.9435,0.151,3.1446,1.2639,1.3706,1.325,6.2236,12.5335,4.1916,4.1938,4.1481,9.6761,1.8938,1.9843,1.9283,1.8609,2.0088,1.4752,1.4794,1.7183,0.4381,0.0915,0.1003,0.0664,0.1114,0.0685,1.4715,1.6637,1.4692,0.286,0.0605,0.0731,0.0431,0.0644,0.0449,17.7
KUJKOS,77.67,218.57,1.99,8.98,6.28,40.3,32.6,23.7,706.9,-3.5109,-2.151,1.94,2.31,1.97,0.4411,-0.2247,-0.6919,-0.3476,1.9283,2.9317,2.1886,2.9419,28.7618,7.2265,8.5878,7.6731,0.5417,0.4547,0.1513,3.1747,1.3153,1.3993,1.2541,6.2972,12.4142,4.0835,4.1831,4.1476,9.8475,1.9678,1.9774,1.9407,1.9695,1.992,1.5057,1.5857,1.638,0.4715,0.0878,0.0927,0.0978,0.0929,0.1003,1.2281,1.3593,1.5085,0.0604,0.0209,0.0136,0.0076,0.0135,0.0047,27.8
DOCCII,77.49,226.99,3.11,7.72,7.81,46.8,39,25.1,729.16,-3.6313,-1.2938,1.93,2.33,1.9,0.3323,-0.2581,-0.1998,-0.4763,1.7526,3.0203,2.9082,2.0714,28.8611,7.2417,7.3026,8.3781,0.6801,0.6104,0.152,3.1653,1.3998,1.4247,1.1876,6.456,12.4077,4.1677,4.1935,4.0464,9.804,1.9022,1.9868,1.9704,1.9838,1.9607,1.4222,1.3931,1.1482,0.0777,0.0065,0.0252,0.0174,0.0099,0.0186,1.4569,1.5508,1.5985,0.3452,0.0587,0.0576,0.0811,0.058,0.0898,43.5
PEMXEL,78.73,173.46,1.74,8.92,7.23,32.7,23.2,15.1,600.8,-3.6341,-2.2112,1.9,2.34,2,0.468,-0.2349,-0.6863,-0.3306,1.982,2.8935,2.08,3.016,28.7296,7.2551,8.5888,7.6215,0.4819,0.5307,0.1524,3.1805,1.378,1.399,1.1968,6.2969,12.4102,4.053,4.1843,4.173,9.8249,1.9747,1.9923,1.9693,1.9507,1.9379,1.4965,1.5749,1.6727,0.446,0.1015,0.0744,0.0893,0.11,0.0707,1.2392,1.3169,1.5154,0.0589,0.0205,0.0079,0.01,0.0176,0.0029,28.2
YERKAH,78.79,192.12,2.79,6.09,6.97,40,29.8,15.5,482.72,-3.1173,0.3635,1.94,2.31,1.9,0.3304,-0.2603,-0.9287,-0.1566,1.6083,2.9311,1.776,2.8416,28.7803,7.2887,8.6066,7.0517,0.649,0.5692,0.1541,3.1664,1.2986,1.3969,1.316,6.4452,12.4123,4.0908,4.1267,4.1948,9.8122,1.9658,1.9621,1.9358,1.9707,1.9778,1.439,1.7384,1.7225,0.4682,0.1148,0.1067,0.0551,0.1225,0.0691,1.3034,1.4362,1.1834,0.0963,0.0174,0.0286,0.0144,0.0127,0.0231,44.9
WASKAE,80.47,182.43,1.67,12.24,8.54,33.4,23.7,16.8,812.62,-3.2901,-1.8847,1.89,2.38,1.87,0.3608,-0.2551,-0.8105,-0.4758,1.7074,2.9374,1.8293,2.0335,28.8829,7.263,8.574,8.4445,0.6696,0.7112,0.1544,3.1614,1.2466,1.3934,1.3704,6.4644,12.3981,4.0585,4.2379,4.1016,9.7767,1.9569,1.986,1.9778,1.9503,1.9058,1.5942,1.6414,1.6405,0.3874,0.0621,0.0656,0.0817,0.0951,0.0829,1.4787,1.4759,1.6747,0.322,0.059,0.0458,0.0834,0.0436,0.0903,46.6
YEJNIM,77.14,173.24,3.04,7.43,9.56,34.7,28.7,21.9,675.25,-3.5482,-1.2873,1.9,2.36,1.88,0.375,-0.2503,-0.8005,-0.4686,1.6786,3.0284,1.9162,2.0603,28.8646,7.2351,8.6096,8.3797,0.6862,0.6589,0.1558,3.1605,1.3723,1.4174,1.2178,6.4623,12.3849,4.1492,4.1842,4.0515,9.7778,1.8906,1.9878,1.9659,1.9861,1.9474,1.6693,1.6696,1.4927,0.4251,0.0843,0.0922,0.0916,0.0702,0.0868,1.4504,1.5198,1.6176,0.3633,0.0632,0.0647,0.084,0.0613,0.0901,45.6
WANSUC,77.01,240.58,3.08,13.86,6.18,49.5,40.3,23.8,828.22,-3.478,-0.7153,1.94,2.37,1.91,0.3167,-0.2594,-0.2169,-0.4879,1.7598,2.9592,2.9042,2.0347,28.8582,7.2586,7.2854,8.4342,0.6762,0.6082,0.1559,3.1673,1.3987,1.3367,1.2759,6.4629,12.4107,4.1092,4.2301,4.0714,9.8097,1.9356,1.9836,1.968,1.9701,1.9524,1.4396,1.3952,1.1512,0.0777,0.0077,0.0153,0.0249,0.0089,0.0209,1.5147,1.5098,1.6142,0.3223,0.0557,0.0473,0.0777,0.0459,0.0956,46.1
JASWOP,78.96,200.65,3.08,9.33,9.79,30.8,28.8,22.6,802.17,-3.2956,-0.6352,1.88,2.36,1.86,0.362,-0.2555,-0.8116,-0.4708,1.5873,2.9555,1.8338,2.0703,28.7918,7.2497,8.6106,8.4454,0.6705,0.577,0.1561,3.1593,1.1709,1.4034,1.4383,6.472,12.3924,4.0605,4.2266,4.1053,9.7735,1.964,1.9861,1.954,1.9489,1.9205,1.5013,1.6587,1.69,0.4312,0.0836,0.0845,0.0807,0.1154,0.0669,1.5637,1.5067,1.5474,0.3316,0.0791,0.0641,0.0611,0.064,0.0633,47.7
CAGZUI,77.17,173.75,1.78,10.95,6.29,33.2,24.1,14.6,611.97,-3.8366,-2.7639,1.86,2.32,1.98,0.5122,-0.2265,-0.6853,-0.3402,2.1183,2.926,2.1219,2.9379,28.6898,7.2429,8.564,7.6502,0.496,0.5635,0.1565,3.177,1.385,1.4011,1.1827,6.2885,12.4198,4.0582,4.1867,4.1749,9.7795,1.9532,1.9901,1.9212,1.9639,1.9511,1.489,1.5721,1.6666,0.4682,0.1064,0.0819,0.0832,0.1207,0.0761,1.2551,1.343,1.4819,0.0605,0.0186,0.0096,0.0083,0.0182,0.0058,28.6
ZAPHAZ,79.2,176.85,3.39,9.19,8.31,32.3,28.8,23.5,748.53,-3.2615,-0.3931,1.89,2.39,1.87,0.3607,-0.2564,-0.8204,-0.5061,1.661,2.9278,1.8223,2.0555,28.8444,7.2747,8.5828,8.4677,0.6627,0.666,0.1568,3.1615,1.3292,1.4079,1.2744,6.4706,12.3928,4.0752,4.2243,4.0933,9.7759,1.9349,1.988,1.9725,1.9621,1.9183,1.485,1.6733,1.704,0.4166,0.0865,0.0899,0.0647,0.1093,0.0662,1.4892,1.4829,1.6651,0.3457,0.0694,0.0601,0.078,0.049,0.0892,17.7
NEJTOO,79.82,180.27,1.76,9.2,7.2,34.4,24,14.4,574.82,-3.5721,-2.5274,1.9,2.35,2.02,0.4828,-0.2333,-0.5536,-0.3501,1.9457,2.8797,2.0626,2.9745,28.7113,7.2491,8.5597,7.6313,0.4603,0.4799,0.1573,3.1865,1.3495,1.2896,1.3275,6.2865,12.3922,4.1824,4.1217,4.0882,9.8385,1.9487,1.9718,1.9539,1.9753,1.9887,1.4931,1.5289,1.6429,0.4114,0.0804,0.0582,0.1096,0.0746,0.0886,1.5362,1.2278,1.3257,0.0603,0.0087,0.0119,0.0222,0.0067,0.0109,27.6
KEYYUJ,78.37,172.81,2.21,7.44,8.57,33.5,25.5,16.3,554.07,-3.3974,-1.2079,1.88,2.36,1.87,0.3675,-0.2556,-0.8049,-0.4461,1.6614,2.9782,1.8797,2.0868,28.8362,7.251,8.6022,8.3825,0.6871,0.6422,0.1578,3.1594,1.2051,1.397,1.4109,6.4681,12.3895,4.056,4.2155,4.118,9.7748,1.9652,1.9791,1.9386,1.9493,1.9426,1.5682,1.6857,1.5823,0.4294,0.0666,0.0876,0.1037,0.1012,0.0703,1.5087,1.5198,1.5806,0.3093,0.0735,0.0604,0.0558,0.0632,0.0565,45.4
BIVGAR,81.5,174.73,3.41,7.02,9.56,32.3,26.5,19.8,657.63,-3.3184,-1.5581,1.87,2.42,1.86,0.3625,-0.2534,-0.7659,-0.5146,1.6815,2.9675,2.0087,2.1234,28.8784,7.2582,8.547,8.426,0.6865,0.7016,0.1579,3.1583,1.1963,1.4264,1.3886,6.4709,12.394,4.0898,4.1283,4.1759,9.7725,1.9595,1.9311,1.9364,1.9772,1.9683,1.5631,1.5875,1.6777,0.4078,0.0863,0.0851,0.0896,0.0834,0.0634,1.4404,1.6773,1.4988,0.3566,0.0802,0.0822,0.0716,0.0515,0.0711,43.3
GOVQEN,79.57,173.77,2.46,6.99,8.36,27.8,18.8,10.7,512.62,-3.2125,-0.3015,1.88,2.34,1.87,0.3394,-0.2555,-0.8379,-0.4818,1.6347,2.9351,1.8844,2.0314,28.852,7.2688,8.5443,8.4505,0.6679,0.6451,0.1584,3.1606,1.3857,1.3653,1.2604,6.4828,12.4027,4.1578,4.1605,4.0844,9.7751,1.8635,1.9886,1.9796,1.9743,1.9692,1.7221,1.6618,1.5106,0.4013,0.0738,0.0752,0.1064,0.0634,0.0825,1.4444,1.4938,1.6887,0.3317,0.0563,0.043,0.08,0.0487,0.1037,44.4
HIFDOR,78.22,172.04,2.29,7.25,8.41,32.6,24.9,15.6,553.25,-3.2731,-0.5145,1.88,2.37,1.87,0.3623,-0.2546,-0.8474,-0.4621,1.6221,2.956,1.8048,2.0715,28.8228,7.264,8.595,8.4065,0.6701,0.6337,0.1585,3.1595,1.4048,1.3687,1.238,6.4689,12.3925,4.1767,4.1464,4.0694,9.7762,1.8785,1.9888,1.9797,1.9585,1.9706,1.674,1.6791,1.5025,0.461,0.0862,0.107,0.1073,0.0766,0.0838,1.4708,1.5032,1.6508,0.3106,0.0608,0.0503,0.0698,0.0515,0.0783,43.1
COPHUL,79.17,195.63,3.98,8.54,6.95,39,34,23.2,708.38,-3.6317,-1.721,1.91,2.25,1.97,0.4092,-0.2341,-0.6165,-0.1023,2.0033,2.9079,2.221,3.0381,28.781,7.2305,8.5412,7.4176,0.5001,0.4909,0.159,3.1759,1.2501,1.3939,1.3326,6.291,12.45,4.1903,4.0951,4.1645,9.8499,1.9727,1.9626,1.9808,1.9773,1.9565,1.5833,1.5216,1.5882,0.4414,0.0853,0.0729,0.09,0.0851,0.1081,1.4093,1.3274,1.1092,0.1225,0.0102,0.0217,0.0449,0.013,0.0327,28.9
MUJSUF,73.11,282.28,4.33,8.68,7.97,60.5,49.7,33.4,822.87,-4.0063,-2.7666,2.15,2.41,1.97,0.3869,-0.0685,-0.0394,-0.5014,2.1503,3.1491,2.9528,1.9754,28.7844,7.0978,7.0808,8.4552,0.615,0.3533,0.1592,3.169,1.1886,1.3188,1.3001,6.2671,12.4995,4.1336,4.2022,4.1637,9.8464,1.9696,1.9793,1.9748,1.9533,1.9694,1.2274,1.1857,1.3399,0.1178,0.0228,0.0165,0.0204,0.019,0.0391,1.5208,1.5684,1.5442,0.3443,0.0566,0.0637,0.087,0.0536,0.0834,100.3
XUNMAU,80.84,201.71,2.82,7.25,6.96,43.6,36.8,21.4,585.63,-3.3622,-1.0507,1.9,2.33,1.87,0.3967,-0.2533,-0.7956,-0.4726,1.7468,2.9723,1.8108,2.0168,28.8411,7.2657,8.5575,8.4494,0.6929,0.6286,0.1605,3.1601,1.3551,1.408,1.2466,6.4189,12.3989,4.0751,4.2169,4.1068,9.7855,1.9473,1.9841,1.9587,1.955,1.9405,1.6087,1.6492,1.584,0.4279,0.0676,0.0797,0.0955,0.0957,0.0894,1.4546,1.4999,1.6581,0.3421,0.0533,0.0496,0.0838,0.0486,0.1069,44.3
BAPRAM,76.3,187.95,1.84,7.09,5.69,34.5,27.7,16.2,516.54,-3.562,-2.18,1.91,2.3,1.99,0.4768,-0.2274,-0.6625,-0.3399,1.9707,2.9124,2.0939,2.9256,28.7077,7.2413,8.5538,7.6501,0.4882,0.4794,0.1613,3.1804,1.3445,1.2825,1.3392,6.2916,12.4057,4.1794,4.1386,4.0877,9.8259,1.9405,1.9574,1.9731,1.9767,1.9782,1.5002,1.566,1.6542,0.4462,0.0859,0.0558,0.1281,0.0753,0.1011,1.4864,1.2353,1.3598,0.0613,0.0055,0.0132,0.0212,0.0094,0.012,24.6
